Year,SERIES,OBS_STATUS,UNIT_MULT,UNIT_MEASURE,REPORTING_TYPE,Value
2004,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,0.4
2005,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,0.5
2006,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,0.2
2007,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,0.3
2008,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,0.3
2009,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,0.2
2010,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,0.1
2011,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,0.4
2012,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,0.2
2013,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,0.2
2014,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,0.2
2015,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,0.1
2016,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,0.2
