Year,SERIES,Observation status,Unit measure,Unit multiplier,Reporting type,Value
2000,SP_ACS_BSRVH2O,Normal value,Percentage (%),Units,N,100
2001,SP_ACS_BSRVH2O,Normal value,Percentage (%),Units,N,100
2002,SP_ACS_BSRVH2O,Normal value,Percentage (%),Units,N,100
2003,SP_ACS_BSRVH2O,Normal value,Percentage (%),Units,N,100
2004,SP_ACS_BSRVH2O,Normal value,Percentage (%),Units,N,100
2005,SP_ACS_BSRVH2O,Normal value,Percentage (%),Units,N,100
2006,SP_ACS_BSRVH2O,Normal value,Percentage (%),Units,N,100
2007,SP_ACS_BSRVH2O,Normal value,Percentage (%),Units,N,100
2008,SP_ACS_BSRVH2O,Normal value,Percentage (%),Units,N,100
2009,SP_ACS_BSRVH2O,Normal value,Percentage (%),Units,N,100
2010,SP_ACS_BSRVH2O,Normal value,Percentage (%),Units,N,100
2011,SP_ACS_BSRVH2O,Normal value,Percentage (%),Units,N,100
2012,SP_ACS_BSRVH2O,Normal value,Percentage (%),Units,N,100
2013,SP_ACS_BSRVH2O,Normal value,Percentage (%),Units,N,100
2014,SP_ACS_BSRVH2O,Normal value,Percentage (%),Units,N,100
2015,SP_ACS_BSRVH2O,Normal value,Percentage (%),Units,N,100
2016,SP_ACS_BSRVH2O,Normal value,Percentage (%),Units,N,100
2017,SP_ACS_BSRVH2O,Normal value,Percentage (%),Units,N,100
2018,SP_ACS_BSRVH2O,Normal value,Percentage (%),Units,N,100
2019,SP_ACS_BSRVH2O,Normal value,Percentage (%),Units,N,100
2020,SP_ACS_BSRVH2O,Normal value,Percentage (%),Units,N,100
2000,SP_ACS_BSRVSAN,Normal value,Percentage (%),Units,N,99
2001,SP_ACS_BSRVSAN,Normal value,Percentage (%),Units,N,99
2002,SP_ACS_BSRVSAN,Normal value,Percentage (%),Units,N,99
2003,SP_ACS_BSRVSAN,Normal value,Percentage (%),Units,N,99
2004,SP_ACS_BSRVSAN,Normal value,Percentage (%),Units,N,99
2005,SP_ACS_BSRVSAN,Normal value,Percentage (%),Units,N,99
2006,SP_ACS_BSRVSAN,Normal value,Percentage (%),Units,N,99
2007,SP_ACS_BSRVSAN,Normal value,Percentage (%),Units,N,99
2008,SP_ACS_BSRVSAN,Normal value,Percentage (%),Units,N,99
2009,SP_ACS_BSRVSAN,Normal value,Percentage (%),Units,N,99
2010,SP_ACS_BSRVSAN,Normal value,Percentage (%),Units,N,99
2011,SP_ACS_BSRVSAN,Normal value,Percentage (%),Units,N,99
2012,SP_ACS_BSRVSAN,Normal value,Percentage (%),Units,N,99
2013,SP_ACS_BSRVSAN,Normal value,Percentage (%),Units,N,99
2014,SP_ACS_BSRVSAN,Normal value,Percentage (%),Units,N,99
2015,SP_ACS_BSRVSAN,Normal value,Percentage (%),Units,N,99
2016,SP_ACS_BSRVSAN,Normal value,Percentage (%),Units,N,99
2017,SP_ACS_BSRVSAN,Normal value,Percentage (%),Units,N,99
2018,SP_ACS_BSRVSAN,Normal value,Percentage (%),Units,N,99
2019,SP_ACS_BSRVSAN,Normal value,Percentage (%),Units,N,99
2020,SP_ACS_BSRVSAN,Normal value,Percentage (%),Units,N,99
