Year,SERIES,Urbanisation,OBS_STATUS,UNIT_MULT,UNIT_MEASURE,REPORTING_TYPE,Value
1990,Proportion of population with access to electricity [7.1.1],,Normal value,Units,Percent,National,100
1991,Proportion of population with access to electricity [7.1.1],,Normal value,Units,Percent,National,100
1992,Proportion of population with access to electricity [7.1.1],,Normal value,Units,Percent,National,100
1993,Proportion of population with access to electricity [7.1.1],,Normal value,Units,Percent,National,100
1994,Proportion of population with access to electricity [7.1.1],,Normal value,Units,Percent,National,100
1995,Proportion of population with access to electricity [7.1.1],,Normal value,Units,Percent,National,100
1996,Proportion of population with access to electricity [7.1.1],,Normal value,Units,Percent,National,100
1997,Proportion of population with access to electricity [7.1.1],,Normal value,Units,Percent,National,100
1998,Proportion of population with access to electricity [7.1.1],,Normal value,Units,Percent,National,100
1999,Proportion of population with access to electricity [7.1.1],,Normal value,Units,Percent,National,100
2000,Proportion of population with access to electricity [7.1.1],,Normal value,Units,Percent,National,100
2001,Proportion of population with access to electricity [7.1.1],,Normal value,Units,Percent,National,100
2002,Proportion of population with access to electricity [7.1.1],,Normal value,Units,Percent,National,100
2003,Proportion of population with access to electricity [7.1.1],,Normal value,Units,Percent,National,100
2004,Proportion of population with access to electricity [7.1.1],,Normal value,Units,Percent,National,100
2005,Proportion of population with access to electricity [7.1.1],,Normal value,Units,Percent,National,100
2006,Proportion of population with access to electricity [7.1.1],,Normal value,Units,Percent,National,100
2007,Proportion of population with access to electricity [7.1.1],,Normal value,Units,Percent,National,100
2008,Proportion of population with access to electricity [7.1.1],,Normal value,Units,Percent,National,100
2009,Proportion of population with access to electricity [7.1.1],,Normal value,Units,Percent,National,100
2010,Proportion of population with access to electricity [7.1.1],,Normal value,Units,Percent,National,100
2011,Proportion of population with access to electricity [7.1.1],,Normal value,Units,Percent,National,100
2012,Proportion of population with access to electricity [7.1.1],,Normal value,Units,Percent,National,100
2013,Proportion of population with access to electricity [7.1.1],,Normal value,Units,Percent,National,100
2014,Proportion of population with access to electricity [7.1.1],,Normal value,Units,Percent,National,100
2015,Proportion of population with access to electricity [7.1.1],,Normal value,Units,Percent,National,100
2016,Proportion of population with access to electricity [7.1.1],,Normal value,Units,Percent,National,100
2017,Proportion of population with access to electricity [7.1.1],,Normal value,Units,Percent,National,100
2018,Proportion of population with access to electricity [7.1.1],,Normal value,Units,Percent,National,100
2019,Proportion of population with access to electricity [7.1.1],,Normal value,Units,Percent,National,100
2020,Proportion of population with access to electricity [7.1.1],,Normal value,Units,Percent,National,100
1990,Proportion of population with access to electricity [7.1.1],Urban,Normal value,Units,Percent,National,99.89868927
1991,Proportion of population with access to electricity [7.1.1],Urban,Normal value,Units,Percent,National,99.94800568
1992,Proportion of population with access to electricity [7.1.1],Urban,Normal value,Units,Percent,National,99.98246765
1993,Proportion of population with access to electricity [7.1.1],Urban,Normal value,Units,Percent,National,99.99720001
1994,Proportion of population with access to electricity [7.1.1],Urban,Normal value,Units,Percent,National,100
1995,Proportion of population with access to electricity [7.1.1],Urban,Normal value,Units,Percent,National,100
1996,Proportion of population with access to electricity [7.1.1],Urban,Normal value,Units,Percent,National,100
1997,Proportion of population with access to electricity [7.1.1],Urban,Normal value,Units,Percent,National,100
1998,Proportion of population with access to electricity [7.1.1],Urban,Normal value,Units,Percent,National,99.99960327
1999,Proportion of population with access to electricity [7.1.1],Urban,Normal value,Units,Percent,National,99.99386597
2000,Proportion of population with access to electricity [7.1.1],Urban,Normal value,Units,Percent,National,100
2001,Proportion of population with access to electricity [7.1.1],Urban,Normal value,Units,Percent,National,100
2002,Proportion of population with access to electricity [7.1.1],Urban,Normal value,Units,Percent,National,100
2003,Proportion of population with access to electricity [7.1.1],Urban,Normal value,Units,Percent,National,100
2004,Proportion of population with access to electricity [7.1.1],Urban,Normal value,Units,Percent,National,100
2005,Proportion of population with access to electricity [7.1.1],Urban,Normal value,Units,Percent,National,100
2006,Proportion of population with access to electricity [7.1.1],Urban,Normal value,Units,Percent,National,100
2007,Proportion of population with access to electricity [7.1.1],Urban,Normal value,Units,Percent,National,100
2008,Proportion of population with access to electricity [7.1.1],Urban,Normal value,Units,Percent,National,100
2009,Proportion of population with access to electricity [7.1.1],Urban,Normal value,Units,Percent,National,100
2010,Proportion of population with access to electricity [7.1.1],Urban,Normal value,Units,Percent,National,100
2011,Proportion of population with access to electricity [7.1.1],Urban,Normal value,Units,Percent,National,100
2012,Proportion of population with access to electricity [7.1.1],Urban,Normal value,Units,Percent,National,100
2013,Proportion of population with access to electricity [7.1.1],Urban,Normal value,Units,Percent,National,100
2014,Proportion of population with access to electricity [7.1.1],Urban,Normal value,Units,Percent,National,100
2015,Proportion of population with access to electricity [7.1.1],Urban,Normal value,Units,Percent,National,100
2016,Proportion of population with access to electricity [7.1.1],Urban,Normal value,Units,Percent,National,100
2017,Proportion of population with access to electricity [7.1.1],Urban,Normal value,Units,Percent,National,100
2018,Proportion of population with access to electricity [7.1.1],Urban,Normal value,Units,Percent,National,100
2019,Proportion of population with access to electricity [7.1.1],Urban,Normal value,Units,Percent,National,100
2020,Proportion of population with access to electricity [7.1.1],Urban,Normal value,Units,Percent,National,100
1990,Proportion of population with access to electricity [7.1.1],Rural,Normal value,Units,Percent,National,100
1991,Proportion of population with access to electricity [7.1.1],Rural,Normal value,Units,Percent,National,100
1992,Proportion of population with access to electricity [7.1.1],Rural,Normal value,Units,Percent,National,100
1993,Proportion of population with access to electricity [7.1.1],Rural,Normal value,Units,Percent,National,100
1994,Proportion of population with access to electricity [7.1.1],Rural,Normal value,Units,Percent,National,100
1995,Proportion of population with access to electricity [7.1.1],Rural,Normal value,Units,Percent,National,100
1996,Proportion of population with access to electricity [7.1.1],Rural,Normal value,Units,Percent,National,100
1997,Proportion of population with access to electricity [7.1.1],Rural,Normal value,Units,Percent,National,100
1998,Proportion of population with access to electricity [7.1.1],Rural,Normal value,Units,Percent,National,100
1999,Proportion of population with access to electricity [7.1.1],Rural,Normal value,Units,Percent,National,100
2000,Proportion of population with access to electricity [7.1.1],Rural,Normal value,Units,Percent,National,100
2001,Proportion of population with access to electricity [7.1.1],Rural,Normal value,Units,Percent,National,100
2002,Proportion of population with access to electricity [7.1.1],Rural,Normal value,Units,Percent,National,100
2003,Proportion of population with access to electricity [7.1.1],Rural,Normal value,Units,Percent,National,100
2004,Proportion of population with access to electricity [7.1.1],Rural,Normal value,Units,Percent,National,100
2005,Proportion of population with access to electricity [7.1.1],Rural,Normal value,Units,Percent,National,100
2006,Proportion of population with access to electricity [7.1.1],Rural,Normal value,Units,Percent,National,100
2007,Proportion of population with access to electricity [7.1.1],Rural,Normal value,Units,Percent,National,100
2008,Proportion of population with access to electricity [7.1.1],Rural,Normal value,Units,Percent,National,100
2009,Proportion of population with access to electricity [7.1.1],Rural,Normal value,Units,Percent,National,100
2010,Proportion of population with access to electricity [7.1.1],Rural,Normal value,Units,Percent,National,100
2011,Proportion of population with access to electricity [7.1.1],Rural,Normal value,Units,Percent,National,100
2012,Proportion of population with access to electricity [7.1.1],Rural,Normal value,Units,Percent,National,100
2013,Proportion of population with access to electricity [7.1.1],Rural,Normal value,Units,Percent,National,100
2014,Proportion of population with access to electricity [7.1.1],Rural,Normal value,Units,Percent,National,100
2015,Proportion of population with access to electricity [7.1.1],Rural,Normal value,Units,Percent,National,100
2016,Proportion of population with access to electricity [7.1.1],Rural,Normal value,Units,Percent,National,100
2017,Proportion of population with access to electricity [7.1.1],Rural,Normal value,Units,Percent,National,100
2018,Proportion of population with access to electricity [7.1.1],Rural,Normal value,Units,Percent,National,100
2019,Proportion of population with access to electricity [7.1.1],Rural,Normal value,Units,Percent,National,100
2020,Proportion of population with access to electricity [7.1.1],Rural,Normal value,Units,Percent,National,100
