Year,SERIES,UNIT_MEASURE,PRODUCT,OBS_STATUS,UNIT_MULT,REPORTING_TYPE,Value
2000,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Millions,National,175.263
2001,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Millions,National,168.8858
2002,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Millions,National,175.2724
2003,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Millions,National,170.6334
2004,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Millions,National,173.8599
2005,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Millions,National,172.3503
2006,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Millions,National,167.6477
2007,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Millions,National,161.9506
2008,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Millions,National,169.1748
2009,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Millions,National,163.6012
2010,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Millions,National,160.5682
2011,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Millions,National,165.0108
2012,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Millions,National,159.181
2013,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Millions,National,169.7742
2014,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Millions,National,181.0601
2015,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Millions,National,174.7963
2016,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Millions,National,168.4492
2017,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Millions,National,182.6595
2018,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Millions,National,174.6735
2019,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Millions,National,184.0556
2000,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Fossil fuels (material flows),Normal value,Millions,National,240.5836
2001,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Fossil fuels (material flows),Normal value,Millions,National,242.2288
2002,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Fossil fuels (material flows),Normal value,Millions,National,231.5085
2003,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Fossil fuels (material flows),Normal value,Millions,National,244.3185
2004,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Fossil fuels (material flows),Normal value,Millions,National,254.1608
2005,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Fossil fuels (material flows),Normal value,Millions,National,250.8326
2006,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Fossil fuels (material flows),Normal value,Millions,National,245.6999
2007,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Fossil fuels (material flows),Normal value,Millions,National,239.3964
2008,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Fossil fuels (material flows),Normal value,Millions,National,226.3078
2009,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Fossil fuels (material flows),Normal value,Millions,National,208.7325
2010,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Fossil fuels (material flows),Normal value,Millions,National,193.3404
2011,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Fossil fuels (material flows),Normal value,Millions,National,192.7138
2012,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Fossil fuels (material flows),Normal value,Millions,National,194.1838
2013,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Fossil fuels (material flows),Normal value,Millions,National,183.2887
2014,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Fossil fuels (material flows),Normal value,Millions,National,170.6589
2015,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Fossil fuels (material flows),Normal value,Millions,National,160.871
2016,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Fossil fuels (material flows),Normal value,Millions,National,149.0349
2017,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Fossil fuels (material flows),Normal value,Millions,National,145.5661
2018,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Fossil fuels (material flows),Normal value,Millions,National,144.489
