Year,Source details,SERIES,COMPOSITE_BREAKDOWN,Value
2000,ADB Financial Report 2019,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: Asian Development Bank,1.6949
2005,ADB Financial Report 2019,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: Asian Development Bank,1.5625
2010,ADB Financial Report 2019,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: Asian Development Bank,1.4925
2015,ADB Financial Report 2019,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: Asian Development Bank,1.4925
2016,ADB Financial Report 2019,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: Asian Development Bank,1.4925
2017,ADB Financial Report 2019,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: Asian Development Bank,1.4925
2018,ADB Financial Report 2019,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: Asian Development Bank,1.4925
2019,ADB Financial Report 2019,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: Asian Development Bank,1.4925
2000,African Development Bank Group Annual Report 2019,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: African Development Bank,1.2987
2005,African Development Bank Group Annual Report 2019,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: African Development Bank,1.2987
2010,African Development Bank Group Annual Report 2019,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: African Development Bank,1.2987
2014,African Development Bank Group Annual Report 2019,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: African Development Bank,1.26582
2015,African Development Bank Group Annual Report 2019,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: African Development Bank,1.25
2016,African Development Bank Group Annual Report 2019,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: African Development Bank,1.25
2017,African Development Bank Group Annual Report 2019,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: African Development Bank,1.25
2018,African Development Bank Group Annual Report 2019,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: African Development Bank,1.25
2019,African Development Bank Group Annual Report 2019,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: African Development Bank,1.25
2000,Report of the Economic and Social Council on its 2019 Session (A/74/3),"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Economic and Social Council,1.85185
2005,Report of the Economic and Social Council on its 2019 Session (A/74/3),"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Economic and Social Council,1.85185
2010,Report of the Economic and Social Council on its 2019 Session (A/74/3),"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Economic and Social Council,1.85185
2015,Report of the Economic and Social Council on its 2019 Session (A/74/3),"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Economic and Social Council,1.85185
2016,Report of the Economic and Social Council on its 2019 Session (A/74/3),"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Economic and Social Council,1.85185
2017,Report of the Economic and Social Council on its 2019 Session (A/74/3),"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Economic and Social Council,1.85185
2018,Report of the Economic and Social Council on its 2019 Session (A/74/3),"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Economic and Social Council,1.85185
2019,Report of the Economic and Social Council on its 2019 Session (A/74/3),"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Economic and Social Council,1.85185
2010,FSB Financial Statements March 2020,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: Financial Stability Board,4.16667
2015,FSB Financial Statements March 2020,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: Financial Stability Board,4.16667
2016,FSB Financial Statements March 2020,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: Financial Stability Board,4.16667
