Year,COMMENT_OBS,SDG Series,Custom Breakdown,Label for custom breakdown,Observation-level footnotes,Value
2016,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 04,Afghanistan,Third quarter of the specified year.,9.5771
2017,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 04,Afghanistan,Third quarter of the specified year.,10.34954
2018,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 04,Afghanistan,Third quarter of the specified year.,10.44064
2019,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 04,Afghanistan,Third quarter of the specified year.,9.85659
2016,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 08,Albania,Third quarter of the specified year.,8.57443
2017,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 08,Albania,Third quarter of the specified year.,10.02317
2018,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 08,Albania,Third quarter of the specified year.,8.62522
2019,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 08,Albania,Third quarter of the specified year.,10.55096
2016,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 100,Bulgaria,Third quarter of the specified year.,10.00002
2017,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 100,Bulgaria,Third quarter of the specified year.,9.35523
2018,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 100,Bulgaria,Third quarter of the specified year.,7.7109
2019,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 100,Bulgaria,Third quarter of the specified year.,7.89829
2016,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 144,Sri Lanka,Third quarter of the specified year.,5.12637
2017,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 144,Sri Lanka,Third quarter of the specified year.,5.0389
2018,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 144,Sri Lanka,Third quarter of the specified year.,5.03203
2019,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 144,Sri Lanka,Third quarter of the specified year.,5.29087
2016,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 156,China,Third quarter of the specified year.,6.61364
2017,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 156,China,Third quarter of the specified year.,8.85495
2018,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 156,China,Third quarter of the specified year.,7.63058
2019,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 156,China,Third quarter of the specified year.,8.7324
2016,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 231,Ethiopia,Third quarter of the specified year.,9.42892
2017,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 231,Ethiopia,Third quarter of the specified year.,8.79886
2018,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 231,Ethiopia,Third quarter of the specified year.,8.62765
2019,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 231,Ethiopia,Third quarter of the specified year.,8.83017
2016,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 232,Eritrea,Third quarter of the specified year.,8.80033
2017,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 232,Eritrea,Third quarter of the specified year.,13.11366
2018,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 232,Eritrea,Third quarter of the specified year.,12.21924
2019,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 232,Eritrea,Third quarter of the specified year.,11.3525
2016,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 270,Gambia,Third quarter of the specified year.,12.46131
2017,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 270,Gambia,Third quarter of the specified year.,9.71662
2018,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 270,Gambia,Third quarter of the specified year.,12.67105
2019,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 270,Gambia,Third quarter of the specified year.,13.26285
2016,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 288,Ghana,Third quarter of the specified year.,6.07414
2017,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 288,Ghana,Third quarter of the specified year.,6.01555
2018,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 288,Ghana,Third quarter of the specified year.,5.71583
2019,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 288,Ghana,Third quarter of the specified year.,5.10835
2016,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 356,India,Third quarter of the specified year.,4.18821
2017,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 356,India,Third quarter of the specified year.,4.02775
2018,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 356,India,Third quarter of the specified year.,4.01127
2019,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 356,India,Third quarter of the specified year.,3.65481
2016,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 388,Jamaica,Third quarter of the specified year.,8.07002
2017,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 388,Jamaica,Third quarter of the specified year.,9.05192
2018,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 388,Jamaica,Third quarter of the specified year.,8.56747
2019,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 388,Jamaica,Third quarter of the specified year.,8.85824
2016,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 404,Kenya,Third quarter of the specified year.,6.44315
2017,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 404,Kenya,Third quarter of the specified year.,5.21103
2018,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 404,Kenya,Third quarter of the specified year.,5.95321
2019,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 404,Kenya,Third quarter of the specified year.,5.96043
2016,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 422,Lebanon,Third quarter of the specified year.,14.83535
