Year,SERIES,PRODUCT,UNIT_MEASURE,BASE_PER,Value
2000,EN_MAT_DOMCMPC,,T,,12.37611
2001,EN_MAT_DOMCMPC,,T,,12.62861
2002,EN_MAT_DOMCMPC,,T,,12.1559
2003,EN_MAT_DOMCMPC,,T,,11.98774
2004,EN_MAT_DOMCMPC,,T,,12.25269
2005,EN_MAT_DOMCMPC,,T,,12.01986
2006,EN_MAT_DOMCMPC,,T,,12.08438
2007,EN_MAT_DOMCMPC,,T,,11.78107
2008,EN_MAT_DOMCMPC,,T,,11.03813
2009,EN_MAT_DOMCMPC,,T,,9.41631
2010,EN_MAT_DOMCMPC,,T,,9.09247
2011,EN_MAT_DOMCMPC,,T,,9.14647
2012,EN_MAT_DOMCMPC,,T,,8.76987
2013,EN_MAT_DOMCMPC,,T,,8.87034
2014,EN_MAT_DOMCMPC,,T,,8.88404
2015,EN_MAT_DOMCMPC,,T,,8.40725
2016,EN_MAT_DOMCMPC,,T,,8.12198
2017,EN_MAT_DOMCMPC,,T,,7.84017
2000,EN_MAT_DOMCMPC,MF_AGG3A,T,,6.13693
2001,EN_MAT_DOMCMPC,MF_AGG3A,T,,6.30926
2002,EN_MAT_DOMCMPC,MF_AGG3A,T,,5.93923
2003,EN_MAT_DOMCMPC,MF_AGG3A,T,,5.87143
2004,EN_MAT_DOMCMPC,MF_AGG3A,T,,6.01036
2005,EN_MAT_DOMCMPC,MF_AGG3A,T,,5.77097
2006,EN_MAT_DOMCMPC,MF_AGG3A,T,,5.74766
2007,EN_MAT_DOMCMPC,MF_AGG3A,T,,5.73933
2008,EN_MAT_DOMCMPC,MF_AGG3A,T,,4.99069
2009,EN_MAT_DOMCMPC,MF_AGG3A,T,,3.9445
2010,EN_MAT_DOMCMPC,MF_AGG3A,T,,3.70792
2011,EN_MAT_DOMCMPC,MF_AGG3A,T,,3.83944
2012,EN_MAT_DOMCMPC,MF_AGG3A,T,,3.57032
2013,EN_MAT_DOMCMPC,MF_AGG3A,T,,3.5319
2014,EN_MAT_DOMCMPC,MF_AGG3A,T,,3.6275
2015,EN_MAT_DOMCMPC,MF_AGG3A,T,,3.42684
2016,EN_MAT_DOMCMPC,MF_AGG3A,T,,3.228
2017,EN_MAT_DOMCMPC,MF_AGG3A,T,,3.03145
2000,EN_MAT_DOMCMPC,MF_AGG3B,T,,0.18497
2001,EN_MAT_DOMCMPC,MF_AGG3B,T,,0.20034
2002,EN_MAT_DOMCMPC,MF_AGG3B,T,,0.20558
2003,EN_MAT_DOMCMPC,MF_AGG3B,T,,0.19594
2004,EN_MAT_DOMCMPC,MF_AGG3B,T,,0.19822
2005,EN_MAT_DOMCMPC,MF_AGG3B,T,,0.20667
2006,EN_MAT_DOMCMPC,MF_AGG3B,T,,0.30249
2007,EN_MAT_DOMCMPC,MF_AGG3B,T,,0.28734
2008,EN_MAT_DOMCMPC,MF_AGG3B,T,,0.26784
2009,EN_MAT_DOMCMPC,MF_AGG3B,T,,0.27576
2010,EN_MAT_DOMCMPC,MF_AGG3B,T,,0.31102
2011,EN_MAT_DOMCMPC,MF_AGG3B,T,,0.29214
2012,EN_MAT_DOMCMPC,MF_AGG3B,T,,0.28296
2013,EN_MAT_DOMCMPC,MF_AGG3B,T,,0.30393
2014,EN_MAT_DOMCMPC,MF_AGG3B,T,,0.28029
2015,EN_MAT_DOMCMPC,MF_AGG3B,T,,0.28887
