Year,SOURCE_DETAIL,SERIES,COMPOSITE_BREAKDOWN,UNIT_MEASURE,COMMENT_OBS,Value
2008,UNSD / UNU / WESR,EN_EWT_COLLPCAP,,KG,,7.2091
2009,UNSD / UNU / WESR,EN_EWT_COLLPCAP,,KG,,7.50373
2010,UNSD / UNU / WESR,EN_EWT_COLLPCAP,,KG,,7.5537
2011,UNSD / UNU / WESR,EN_EWT_COLLPCAP,,KG,,8.07836
2012,UNSD / UNU / WESR,EN_EWT_COLLPCAP,,KG,,7.80486
2013,UNSD / UNU / WESR,EN_EWT_COLLPCAP,,KG,,7.57863
2014,UNSD / UNU / WESR,EN_EWT_COLLPCAP,,KG,,7.97974
2015,UNSD / UNU / WESR,EN_EWT_COLLPCAP,,KG,,10.0683
2016,UNSD / UNU / WESR,EN_EWT_COLLPCAP,,KG,,14.65085
2017,UNSD / UNU / WESR,EN_EWT_COLLPCAP,,KG,,13.05145
2018,UNSD / UNU / WESR,EN_EWT_COLLPCAP,,KG,,12.15933
2008,UNSD / UNU / WESR,EN_EWT_COLLV,,T,Eurostat_2021,448010.0
2009,UNSD / UNU / WESR,EN_EWT_COLLV,,T,Eurostat_2021,471449.0
2010,UNSD / UNU / WESR,EN_EWT_COLLV,,T,Eurostat_2021,479356.0
2011,UNSD / UNU / WESR,EN_EWT_COLLV,,T,Eurostat_2021,517192.0
2012,UNSD / UNU / WESR,EN_EWT_COLLV,,T,Eurostat_2021,503611.0
2013,UNSD / UNU / WESR,EN_EWT_COLLV,,T,Eurostat_2021,492490.0
2014,UNSD / UNU / WESR,EN_EWT_COLLV,,T,Eurostat_2021,522059.0
2015,UNSD / UNU / WESR,EN_EWT_COLLV,,T,Eurostat_2021,663100.0
2016,UNSD / UNU / WESR,EN_EWT_COLLV,,T,Eurostat_2021,971321.0
2017,UNSD / UNU / WESR,EN_EWT_COLLV,,T,Eurostat_2021,870890.0
2018,UNSD / UNU / WESR,EN_EWT_COLLV,,T,Eurostat_2021,816398.0
2017,UNSTATS / WESR ,EN_MWT_TREATR,WT_INCINRT,PT,,37.45592
2017,UNSTATS / WESR ,EN_MWT_TREATR,WT_LANDFIL,PT,Eurostat estimate.,16.91307
2000,UNSTATS / WESR ,EN_MWT_TREATR,WT_RECYCL,PT,,8.35248
2001,UNSTATS / WESR ,EN_MWT_TREATR,WT_RECYCL,PT,,9.10288
2002,UNSTATS / WESR ,EN_MWT_TREATR,WT_RECYCL,PT,,10.50602
2003,UNSTATS / WESR ,EN_MWT_TREATR,WT_RECYCL,PT,,13.3167
2004,UNSTATS / WESR ,EN_MWT_TREATR,WT_RECYCL,PT,,15.66125
2005,UNSTATS / WESR ,EN_MWT_TREATR,WT_RECYCL,PT,,18.11452
2006,UNSTATS / WESR ,EN_MWT_TREATR,WT_RECYCL,PT,,20.03157
2007,UNSTATS / WESR ,EN_MWT_TREATR,WT_RECYCL,PT,,22.08166
2008,UNSTATS / WESR ,EN_MWT_TREATR,WT_RECYCL,PT,,23.26173
2009,UNSTATS / WESR ,EN_MWT_TREATR,WT_RECYCL,PT,,24.2717
2010,UNSTATS / WESR ,EN_MWT_TREATR,WT_RECYCL,PT,,25.25113
2011,UNSTATS / WESR ,EN_MWT_TREATR,WT_RECYCL,PT,,26.18297
2012,UNSTATS / WESR ,EN_MWT_TREATR,WT_RECYCL,PT,,26.87338
2013,UNSTATS / WESR ,EN_MWT_TREATR,WT_RECYCL,PT,,27.4134
2014,UNSTATS / WESR ,EN_MWT_TREATR,WT_RECYCL,PT,,27.31361
2015,UNSTATS / WESR ,EN_MWT_TREATR,WT_RECYCL,PT,,27.24998
