Year,UNIT_MULT,NATURE,COMMENT_OBS,SOURCE_DETAIL,SERIES,UNIT_MEASURE,Value
2000,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",AG_LND_FRSTBIOPHA,T_PER_HA,89.0
2010,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",AG_LND_FRSTBIOPHA,T_PER_HA,104.0
2015,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",AG_LND_FRSTBIOPHA,T_PER_HA,109.0
2016,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",AG_LND_FRSTBIOPHA,T_PER_HA,110.0
2017,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",AG_LND_FRSTBIOPHA,T_PER_HA,112.0
2018,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",AG_LND_FRSTBIOPHA,T_PER_HA,113.0
2019,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",AG_LND_FRSTBIOPHA,T_PER_HA,114.0
2020,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",AG_LND_FRSTBIOPHA,T_PER_HA,115.0
2000,3,E,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",AG_LND_FRSTCERT,HA,188.185
2005,3,E,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",AG_LND_FRSTCERT,HA,1606.14
2010,3,E,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",AG_LND_FRSTCERT,HA,1587.478
2015,3,E,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",AG_LND_FRSTCERT,HA,1609.414
2016,3,E,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",AG_LND_FRSTCERT,HA,1599.806
2017,3,E,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",AG_LND_FRSTCERT,HA,1610.434
2018,3,E,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",AG_LND_FRSTCERT,HA,1603.877
2019,3,E,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",AG_LND_FRSTCERT,HA,1632.817
2020,3,E,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",AG_LND_FRSTCERT,HA,1622.602
2010,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",AG_LND_FRSTCHG,PT,0.35
2020,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",AG_LND_FRSTCHG,PT,0.42
2000,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",AG_LND_FRSTMGT,PT,33.76
2010,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",AG_LND_FRSTMGT,PT,52.87
2015,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",AG_LND_FRSTMGT,PT,57.34
2016,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",AG_LND_FRSTMGT,PT,57.27
2017,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",AG_LND_FRSTMGT,PT,59.3
2018,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",AG_LND_FRSTMGT,PT,59.94
2019,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",AG_LND_FRSTMGT,PT,60.51
2020,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",AG_LND_FRSTMGT,PT,61.05
2000,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",AG_LND_FRSTPRCT,PT,9.19
2010,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",AG_LND_FRSTPRCT,PT,9.19
2015,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",AG_LND_FRSTPRCT,PT,9.19
2016,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",AG_LND_FRSTPRCT,PT,9.19
2017,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",AG_LND_FRSTPRCT,PT,9.19
2018,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",AG_LND_FRSTPRCT,PT,9.19
2019,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",AG_LND_FRSTPRCT,PT,9.19
2020,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",AG_LND_FRSTPRCT,PT,9.19
