Year,SERIES,PRODUCT,COMMENT_OBS,Value
2000,TM_TAX_DMFN,,,1.4624
2005,TM_TAX_DMFN,,,1.34616
2010,TM_TAX_DMFN,,,1.14315
2011,TM_TAX_DMFN,,,1.1386
2012,TM_TAX_DMFN,,,1.15028
2013,TM_TAX_DMFN,,,1.14885
2014,TM_TAX_DMFN,,,1.16077
2015,TM_TAX_DMFN,,,1.31898
2016,TM_TAX_DMFN,,,1.28461
2017,TM_TAX_DMFN,,,1.25822
2018,TM_TAX_DMFN,,,1.20337
2019,TM_TAX_DMFN,,,1.18717
2000,TM_TAX_DMFN,AGG_AGR,,7.90685
2005,TM_TAX_DMFN,AGG_AGR,,5.95474
2010,TM_TAX_DMFN,AGG_AGR,,6.1372
2011,TM_TAX_DMFN,AGG_AGR,,6.11992
2012,TM_TAX_DMFN,AGG_AGR,,5.36208
2013,TM_TAX_DMFN,AGG_AGR,,5.59376
2014,TM_TAX_DMFN,AGG_AGR,,5.61063
2015,TM_TAX_DMFN,AGG_AGR,,5.47478
2016,TM_TAX_DMFN,AGG_AGR,,5.48555
2017,TM_TAX_DMFN,AGG_AGR,,5.60478
2018,TM_TAX_DMFN,AGG_AGR,,5.53042
2019,TM_TAX_DMFN,AGG_AGR,,5.70012
2000,TM_TAX_DMFN,AGG_ARMS,,1.92969
2005,TM_TAX_DMFN,AGG_ARMS,,1.91838
2010,TM_TAX_DMFN,AGG_ARMS,,1.92043
2011,TM_TAX_DMFN,AGG_ARMS,,1.92043
2012,TM_TAX_DMFN,AGG_ARMS,,1.91164
2013,TM_TAX_DMFN,AGG_ARMS,,1.91164
2014,TM_TAX_DMFN,AGG_ARMS,,1.91158
2015,TM_TAX_DMFN,AGG_ARMS,,1.91165
2016,TM_TAX_DMFN,AGG_ARMS,,1.91231
2017,TM_TAX_DMFN,AGG_ARMS,,1.88094
2018,TM_TAX_DMFN,AGG_ARMS,,1.91196
2019,TM_TAX_DMFN,AGG_ARMS,,1.91201
2000,TM_TAX_DMFN,AGG_CLTH,,12.43237
2005,TM_TAX_DMFN,AGG_CLTH,,11.37379
2010,TM_TAX_DMFN,AGG_CLTH,,11.30276
2011,TM_TAX_DMFN,AGG_CLTH,,11.28489
2012,TM_TAX_DMFN,AGG_CLTH,,11.28763
2013,TM_TAX_DMFN,AGG_CLTH,,11.28274
2014,TM_TAX_DMFN,AGG_CLTH,,11.29652
2015,TM_TAX_DMFN,AGG_CLTH,,11.19964
2016,TM_TAX_DMFN,AGG_CLTH,,11.19492
2017,TM_TAX_DMFN,AGG_CLTH,,10.99988
2018,TM_TAX_DMFN,AGG_CLTH,,11.18852
2019,TM_TAX_DMFN,AGG_CLTH,,11.18978
2000,TM_TAX_DMFN,AGG_IND,,1.3467
2005,TM_TAX_DMFN,AGG_IND,,1.26288
2010,TM_TAX_DMFN,AGG_IND,,1.05696
2011,TM_TAX_DMFN,AGG_IND,,1.05208
2012,TM_TAX_DMFN,AGG_IND,,1.06523
2013,TM_TAX_DMFN,AGG_IND,,1.06576
2014,TM_TAX_DMFN,AGG_IND,,1.07827
2015,TM_TAX_DMFN,AGG_IND,,1.25323
2016,TM_TAX_DMFN,AGG_IND,,1.22095
2017,TM_TAX_DMFN,AGG_IND,,1.22389
2018,TM_TAX_DMFN,AGG_IND,,1.19348
2019,TM_TAX_DMFN,AGG_IND,,1.17841
2000,TM_TAX_DMFN,AGG_OIL,Obs_Value = 0;  ,0.4378
2005,TM_TAX_DMFN,AGG_OIL,Obs_Value = 0;  ,0.22338
2010,TM_TAX_DMFN,AGG_OIL,Obs_Value = 0;  ,0.0
2011,TM_TAX_DMFN,AGG_OIL,Obs_Value = 0;  ,0.0
2012,TM_TAX_DMFN,AGG_OIL,Obs_Value = 0;  ,0.0
2013,TM_TAX_DMFN,AGG_OIL,Obs_Value = 0;  ,0.0
2014,TM_TAX_DMFN,AGG_OIL,Obs_Value = 0;  ,0.0
2015,TM_TAX_DMFN,AGG_OIL,Obs_Value = 0;  ,0.0
2016,TM_TAX_DMFN,AGG_OIL,Obs_Value = 0;  ,0.0
2017,TM_TAX_DMFN,AGG_OIL,Obs_Value = 0;  ,0.0
2018,TM_TAX_DMFN,AGG_OIL,Obs_Value = 0;  ,0.0
2019,TM_TAX_DMFN,AGG_OIL,Obs_Value = 0;  ,0.0
2000,TM_TAX_DMFN,AGG_TXT,,7.00567
2005,TM_TAX_DMFN,AGG_TXT,,5.50751
2010,TM_TAX_DMFN,AGG_TXT,,5.09471
2011,TM_TAX_DMFN,AGG_TXT,,5.07057
2012,TM_TAX_DMFN,AGG_TXT,,5.05506
2013,TM_TAX_DMFN,AGG_TXT,,5.04082
2014,TM_TAX_DMFN,AGG_TXT,,5.01848
2015,TM_TAX_DMFN,AGG_TXT,,5.09508
2016,TM_TAX_DMFN,AGG_TXT,,5.13314
2017,TM_TAX_DMFN,AGG_TXT,,5.0092
2018,TM_TAX_DMFN,AGG_TXT,,5.12551
2019,TM_TAX_DMFN,AGG_TXT,,5.13181
2000,TM_TAX_DPRF,,,1.43239
2005,TM_TAX_DPRF,,,1.3183
2010,TM_TAX_DPRF,,,1.10921
2011,TM_TAX_DPRF,,,1.10467
2012,TM_TAX_DPRF,,,1.116
2013,TM_TAX_DPRF,,,1.11449
2014,TM_TAX_DPRF,,,1.12612
2015,TM_TAX_DPRF,,,1.28469
2016,TM_TAX_DPRF,,,1.25015
2017,TM_TAX_DPRF,,,1.1204
2018,TM_TAX_DPRF,,,1.05502
2019,TM_TAX_DPRF,,,0.94959
2000,TM_TAX_DPRF,AGG_AGR,,7.79154
2005,TM_TAX_DPRF,AGG_AGR,,5.77923
2010,TM_TAX_DPRF,AGG_AGR,,5.63016
2011,TM_TAX_DPRF,AGG_AGR,,5.61468
2012,TM_TAX_DPRF,AGG_AGR,,4.89146
2013,TM_TAX_DPRF,AGG_AGR,,5.11923
2014,TM_TAX_DPRF,AGG_AGR,,5.11775
2015,TM_TAX_DPRF,AGG_AGR,,4.98927
2016,TM_TAX_DPRF,AGG_AGR,,4.9989
2017,TM_TAX_DPRF,AGG_AGR,,4.90661
2018,TM_TAX_DPRF,AGG_AGR,,4.83222
2019,TM_TAX_DPRF,AGG_AGR,,4.3617
2000,TM_TAX_DPRF,AGG_ARMS,,1.90203
2005,TM_TAX_DPRF,AGG_ARMS,,1.89705
2010,TM_TAX_DPRF,AGG_ARMS,,1.89906
2011,TM_TAX_DPRF,AGG_ARMS,,1.89906
2012,TM_TAX_DPRF,AGG_ARMS,,1.89091
2013,TM_TAX_DPRF,AGG_ARMS,,1.89091
2014,TM_TAX_DPRF,AGG_ARMS,,1.89091
2015,TM_TAX_DPRF,AGG_ARMS,,1.89091
2016,TM_TAX_DPRF,AGG_ARMS,,1.89091
2017,TM_TAX_DPRF,AGG_ARMS,,1.31003
2018,TM_TAX_DPRF,AGG_ARMS,,1.34141
2019,TM_TAX_DPRF,AGG_ARMS,,0.33559
2000,TM_TAX_DPRF,AGG_CLTH,,12.07455
2005,TM_TAX_DPRF,AGG_CLTH,,11.10714
2010,TM_TAX_DPRF,AGG_CLTH,,11.0343
2011,TM_TAX_DPRF,AGG_CLTH,,11.01643
2012,TM_TAX_DPRF,AGG_CLTH,,11.01918
2013,TM_TAX_DPRF,AGG_CLTH,,11.01615
2014,TM_TAX_DPRF,AGG_CLTH,,11.03464
2015,TM_TAX_DPRF,AGG_CLTH,,10.93775
2016,TM_TAX_DPRF,AGG_CLTH,,10.93777
2017,TM_TAX_DPRF,AGG_CLTH,,10.08708
2018,TM_TAX_DPRF,AGG_CLTH,,10.26971
2019,TM_TAX_DPRF,AGG_CLTH,,8.18687
2000,TM_TAX_DPRF,AGG_IND,,1.31925
2005,TM_TAX_DPRF,AGG_IND,,1.23774
2010,TM_TAX_DPRF,AGG_IND,,1.03159
2011,TM_TAX_DPRF,AGG_IND,,1.0267
2012,TM_TAX_DPRF,AGG_IND,,1.03975
2013,TM_TAX_DPRF,AGG_IND,,1.04028
2014,TM_TAX_DPRF,AGG_IND,,1.05282
2015,TM_TAX_DPRF,AGG_IND,,1.22802
2016,TM_TAX_DPRF,AGG_IND,,1.19553
2017,TM_TAX_DPRF,AGG_IND,,1.10823
2018,TM_TAX_DPRF,AGG_IND,,1.06563
2019,TM_TAX_DPRF,AGG_IND,,0.96347
2000,TM_TAX_DPRF,AGG_OIL,Obs_Value = 0;  ,0.4378
2005,TM_TAX_DPRF,AGG_OIL,Obs_Value = 0;  ,0.22338
2010,TM_TAX_DPRF,AGG_OIL,Obs_Value = 0;  ,0.0
2011,TM_TAX_DPRF,AGG_OIL,Obs_Value = 0;  ,0.0
2012,TM_TAX_DPRF,AGG_OIL,Obs_Value = 0;  ,0.0
2013,TM_TAX_DPRF,AGG_OIL,Obs_Value = 0;  ,0.0
2014,TM_TAX_DPRF,AGG_OIL,Obs_Value = 0;  ,0.0
2015,TM_TAX_DPRF,AGG_OIL,Obs_Value = 0;  ,0.0
2016,TM_TAX_DPRF,AGG_OIL,Obs_Value = 0;  ,0.0
2017,TM_TAX_DPRF,AGG_OIL,Obs_Value = 0;  ,0.0
