Year,NATURE,SOURCE_DETAIL,SERIES,COMPOSITE_BREAKDOWN,UNIT_MEASURE,COMMENT_OBS,Value
2000,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",IT_NET_BBND,,PER_100_POP,,0.08976
2001,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",IT_NET_BBND,,PER_100_POP,,0.55977
2002,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",IT_NET_BBND,,PER_100_POP,,2.28648
2003,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",IT_NET_BBND,,PER_100_POP,,5.22772
2004,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",IT_NET_BBND,,PER_100_POP,,10.2282
2005,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",IT_NET_BBND,,PER_100_POP,,16.41896
2006,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",IT_NET_BBND,,PER_100_POP,,21.39545
2007,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",IT_NET_BBND,,PER_100_POP,,25.39412
2008,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",IT_NET_BBND,,PER_100_POP,,27.85421
2009,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",IT_NET_BBND,,PER_100_POP,,28.45395
2010,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",IT_NET_BBND,,PER_100_POP,,30.17896
2011,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",IT_NET_BBND,,PER_100_POP,,32.15914
2012,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",IT_NET_BBND,,PER_100_POP,,33.608
2013,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",IT_NET_BBND,,PER_100_POP,,35.45457
2014,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",IT_NET_BBND,,PER_100_POP,,36.27132
2015,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",IT_NET_BBND,,PER_100_POP,,37.4477
2016,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",IT_NET_BBND,,PER_100_POP,,38.42294
2017,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",IT_NET_BBND,,PER_100_POP,,39.02955
2018,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",IT_NET_BBND,,PER_100_POP,,39.59703
2019,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",IT_NET_BBND,,PER_100_POP,,39.66666
2008,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",IT_NET_BBND,IS_256KT2M,PER_100_POP,Obs_Value = 0;  ,1.34844
2009,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",IT_NET_BBND,IS_256KT2M,PER_100_POP,Obs_Value = 0;  ,0.63029
2010,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",IT_NET_BBND,IS_256KT2M,PER_100_POP,Obs_Value = 0;  ,0.38275
2011,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",IT_NET_BBND,IS_256KT2M,PER_100_POP,Obs_Value = 0;  ,0.0
2012,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",IT_NET_BBND,IS_256KT2M,PER_100_POP,Obs_Value = 0;  ,0.0
2013,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",IT_NET_BBND,IS_256KT2M,PER_100_POP,Obs_Value = 0;  ,0.0
2014,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",IT_NET_BBND,IS_256KT2M,PER_100_POP,Obs_Value = 0;  ,0.0
2015,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",IT_NET_BBND,IS_256KT2M,PER_100_POP,Obs_Value = 0;  ,0.0
2016,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",IT_NET_BBND,IS_256KT2M,PER_100_POP,Obs_Value = 0;  ,0.0
2017,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",IT_NET_BBND,IS_256KT2M,PER_100_POP,Obs_Value = 0;  ,0.0
2018,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",IT_NET_BBND,IS_256KT2M,PER_100_POP,Obs_Value = 0;  ,0.0
2019,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",IT_NET_BBND,IS_256KT2M,PER_100_POP,Obs_Value = 0;  ,0.0
2008,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",IT_NET_BBND,IS_2MT10M,PER_100_POP,,24.56598
2009,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",IT_NET_BBND,IS_2MT10M,PER_100_POP,,18.23661
2010,E,"Data based on the World Telecommunication/ICT Indicators Database, 2020, International Telecommunication Union (ITU)",IT_NET_BBND,IS_2MT10M,PER_100_POP,,9.93042
