Year,Unit multiplier,Upper bound value,Lower bound value,SERIES,Sex,Age,UNIT_MEASURE,Value
2015,Units,4.8,3.0,Prevalence of moderate or severe food insecurity in the population [2.1.2],,,Percent,6.3
2016,Units,4.8,3.0,Prevalence of moderate or severe food insecurity in the population [2.1.2],,,Percent,6.1
2017,Units,4.8,3.0,Prevalence of moderate or severe food insecurity in the population [2.1.2],,,Percent,5.6
2018,Units,4.8,3.0,Prevalence of moderate or severe food insecurity in the population [2.1.2],,,Percent,4.9
2019,Units,4.8,3.0,Prevalence of moderate or severe food insecurity in the population [2.1.2],,,Percent,3.9
2015,Units,4.5,2.3,Prevalence of moderate or severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,7.8
2016,Units,4.5,2.3,Prevalence of moderate or severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,6.7
2017,Units,4.5,2.3,Prevalence of moderate or severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,5.3
2018,Units,4.5,2.3,Prevalence of moderate or severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,3.7
2019,Units,4.5,2.3,Prevalence of moderate or severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,3.4
2015,Units,5.4,2.9,Prevalence of moderate or severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,2.4
2016,Units,5.4,2.9,Prevalence of moderate or severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,3.7
2017,Units,5.4,2.9,Prevalence of moderate or severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,4.7
2018,Units,5.4,2.9,Prevalence of moderate or severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,5.4
2019,Units,5.4,2.9,Prevalence of moderate or severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,4.1
2015,Thousands,320.9,205.6,Population in moderate or severe food insecurity (number) [2.1.2],,,Number,414.2
2016,Thousands,320.9,205.6,Population in moderate or severe food insecurity (number) [2.1.2],,,Number,406.7
2017,Thousands,320.9,205.6,Population in moderate or severe food insecurity (number) [2.1.2],,,Number,374.4
2018,Thousands,320.9,205.6,Population in moderate or severe food insecurity (number) [2.1.2],,,Number,329.6
2019,Thousands,320.9,205.6,Population in moderate or severe food insecurity (number) [2.1.2],,,Number,263.3
2015,Thousands,127.2,64.7,Population in moderate or severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,217.1
2016,Thousands,127.2,64.7,Population in moderate or severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,186.8
2017,Thousands,127.2,64.7,Population in moderate or severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,148.3
2018,Thousands,127.2,64.7,Population in moderate or severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,105.7
2019,Thousands,127.2,64.7,Population in moderate or severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,95.9
2015,Thousands,147.5,78.2,Population in moderate or severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,64.8
2016,Thousands,147.5,78.2,Population in moderate or severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,99.2
