Year,Upper bound value,Lower bound value,SERIES,Value
2000,17.8,7.1,Proportion of women aged 15-49 years with anaemia [2.2.3],9.4
2001,17.8,7.1,Proportion of women aged 15-49 years with anaemia [2.2.3],9.2
2002,17.8,7.1,Proportion of women aged 15-49 years with anaemia [2.2.3],9.1
2003,17.8,7.1,Proportion of women aged 15-49 years with anaemia [2.2.3],9.0
2004,17.8,7.1,Proportion of women aged 15-49 years with anaemia [2.2.3],9.0
2005,17.8,7.1,Proportion of women aged 15-49 years with anaemia [2.2.3],9.0
2006,17.8,7.1,Proportion of women aged 15-49 years with anaemia [2.2.3],9.0
2007,17.8,7.1,Proportion of women aged 15-49 years with anaemia [2.2.3],9.0
2008,17.8,7.1,Proportion of women aged 15-49 years with anaemia [2.2.3],9.1
2009,17.8,7.1,Proportion of women aged 15-49 years with anaemia [2.2.3],9.1
2010,17.8,7.1,Proportion of women aged 15-49 years with anaemia [2.2.3],9.2
2011,17.8,7.1,Proportion of women aged 15-49 years with anaemia [2.2.3],9.3
2012,17.8,7.1,Proportion of women aged 15-49 years with anaemia [2.2.3],9.4
2013,17.8,7.1,Proportion of women aged 15-49 years with anaemia [2.2.3],9.5
2014,17.8,7.1,Proportion of women aged 15-49 years with anaemia [2.2.3],9.7
2015,17.8,7.1,Proportion of women aged 15-49 years with anaemia [2.2.3],9.9
2016,17.8,7.1,Proportion of women aged 15-49 years with anaemia [2.2.3],10.1
2017,17.8,7.1,Proportion of women aged 15-49 years with anaemia [2.2.3],10.4
2018,17.8,7.1,Proportion of women aged 15-49 years with anaemia [2.2.3],10.7
2019,17.8,7.1,Proportion of women aged 15-49 years with anaemia [2.2.3],11.1
2000,17.7,6.9,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",9.2
2001,17.7,6.9,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",9.0
2002,17.7,6.9,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",8.9
2003,17.7,6.9,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",8.8
2004,17.7,6.9,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",8.8
2005,17.7,6.9,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",8.8
2006,17.7,6.9,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",8.8
2007,17.7,6.9,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",8.8
2008,17.7,6.9,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",8.9
2009,17.7,6.9,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",8.9
2010,17.7,6.9,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",9.0
2011,17.7,6.9,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",9.1
2012,17.7,6.9,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",9.2
2013,17.7,6.9,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",9.3
2014,17.7,6.9,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",9.5
2015,17.7,6.9,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",9.7
2016,17.7,6.9,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",9.9
2017,17.7,6.9,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",10.2
2018,17.7,6.9,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",10.5
2019,17.7,6.9,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",10.9
2000,33.0,7.6,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",16.0
2001,33.0,7.6,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",15.7
2002,33.0,7.6,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",15.4
2003,33.0,7.6,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",15.2
2004,33.0,7.6,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",15.1
2005,33.0,7.6,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",15.0
2006,33.0,7.6,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",14.9
2007,33.0,7.6,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",14.9
2008,33.0,7.6,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",14.9
2009,33.0,7.6,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",14.9
2010,33.0,7.6,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",15.0
2011,33.0,7.6,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",15.1
2012,33.0,7.6,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",15.2
2013,33.0,7.6,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",15.2
2014,33.0,7.6,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",15.4
2015,33.0,7.6,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",15.5
2016,33.0,7.6,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",15.8
2017,33.0,7.6,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",16.0
2018,33.0,7.6,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",16.2
2019,33.0,7.6,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",16.5
