Year,Observation status,Unit multiplier,Reporting type,SERIES,Sex,Age,UNIT_MEASURE,Value
2000,Normal value,Units,Global,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",6.5
2001,Normal value,Units,Global,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",6.4
2002,Normal value,Units,Global,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",6.3
2003,Normal value,Units,Global,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",6.2
2004,Normal value,Units,Global,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",6.1
2005,Normal value,Units,Global,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",6.0
2006,Normal value,Units,Global,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",5.9
2007,Normal value,Units,Global,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",5.8
2008,Normal value,Units,Global,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",5.6
2009,Normal value,Units,Global,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",5.4
2010,Normal value,Units,Global,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",5.2
2011,Normal value,Units,Global,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",5.0
2012,Normal value,Units,Global,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",4.8
2013,Normal value,Units,Global,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",4.7
2014,Normal value,Units,Global,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",4.5
2015,Normal value,Units,Global,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",4.5
2016,Normal value,Units,Global,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",4.4
2017,Normal value,Units,Global,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",4.4
2018,Normal value,Units,Global,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",4.3
2019,Normal value,Units,Global,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",4.3
2020,Normal value,Units,Global,Under-five mortality rate [3.2.1],,under 5 years old,"Per 1,000 live births",4.2
2000,Normal value,Units,Global,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",5.8
2001,Normal value,Units,Global,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",5.8
2002,Normal value,Units,Global,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",5.7
2003,Normal value,Units,Global,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",5.6
2004,Normal value,Units,Global,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",5.5
2005,Normal value,Units,Global,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",5.4
2006,Normal value,Units,Global,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",5.3
2007,Normal value,Units,Global,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",5.2
2008,Normal value,Units,Global,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",5.0
2009,Normal value,Units,Global,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",4.8
2010,Normal value,Units,Global,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",4.7
2011,Normal value,Units,Global,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",4.4
2012,Normal value,Units,Global,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",4.3
2013,Normal value,Units,Global,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",4.2
2014,Normal value,Units,Global,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",4.1
2015,Normal value,Units,Global,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",4.0
2016,Normal value,Units,Global,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",4.0
2017,Normal value,Units,Global,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",4.0
2018,Normal value,Units,Global,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",3.9
2019,Normal value,Units,Global,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",3.9
2020,Normal value,Units,Global,Under-five mortality rate [3.2.1],Female,under 5 years old,"Per 1,000 live births",3.8
2000,Normal value,Units,Global,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",7.2
2001,Normal value,Units,Global,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",7.1
2002,Normal value,Units,Global,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",7.0
2003,Normal value,Units,Global,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",6.8
