Year,NATURE,SOURCE_DETAIL,Value
2000,C,Registration National Statistics,29.0
2001,C,Registration National Statistics,27.7
2002,C,Registration National Statistics,26.8
2003,C,Registration National Statistics,26.6
2004,C,Registration National Statistics,26.6
2005,C,Registration National Statistics,26.1
2006,C,Registration National Statistics,26.2
2007,C,Registration National Statistics,25.7
2008,C,Registration National Statistics,25.6
2009,C,Registration National Statistics,24.6
2010,C,Registration National Statistics,23.2
2011,C,Registration National Statistics,21.0
2012,C,Registration National Statistics,19.8
2013,C,Registration National Statistics,17.3
2014,C,Registration National Statistics,15.5
2015,C,Registration National Statistics,14.4
2016,C,Registration National Statistics,13.7
2017,CA,Registration UNSD & WPP2019,12.4
2018,CA,Estimate Human Fertility Database,11.9
