Year,Source details,Sex,Education level,COMPOSITE_BREAKDOWN,Value
2003,Trends in International Mathematics and Science Study (TIMSS). Students achieving at least Intermediate International Benchmark. Grade 4. The results correspond only to England Data extracted on 13 April 2021.,,Primary education,Skill: Mathematics,74.59
2007,Trends in International Mathematics and Science Study (TIMSS). Students achieving at least Intermediate International Benchmark. Grade 4. The results correspond only to England Data extracted on 13 April 2021.,,Primary education,Skill: Mathematics,78.88
2011,Trends in International Mathematics and Science Study (TIMSS). Students achieving at least Intermediate International Benchmark. Grade 4. The results correspond only to England Data extracted on 13 April 2021.,,Primary education,Skill: Mathematics,77.63
2015,Trends in International Mathematics and Science Study (TIMSS). Students achieving at least Intermediate International Benchmark. Grade 4. The results correspond only to England Data extracted on 13 April 2021.,,Primary education,Skill: Mathematics,80.0
2019,Trends in International Mathematics and Science Study (TIMSS). Students achieving at least Intermediate International Benchmark. Grade 4. The results correspond only to England Data extracted on 13 April 2021.,,Primary education,Skill: Mathematics,83.0
2001,Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4.  The results correspond only to England Data extracted on 13 April 2021.,,Primary education,Skill: Reading,94.48
2006,Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4.  The results correspond only to England Data extracted on 13 April 2021.,,Primary education,Skill: Reading,93.25
2011,Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4.  The results correspond only to England Data extracted on 13 April 2021.,,Primary education,Skill: Reading,95.37
2016,Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4.  The results correspond only to England Data extracted on 13 April 2021.,,Primary education,Skill: Reading,96.83
2000,Programme for International Student Assessment (PISA). Students achieving at least proficiency Level 2. Modal grade for PISA: http://dx.doi.org/10.1787/888934038799 Data extracted on 13 April 2021.,,Lower secondary education,Skill: Mathematics,88.42466
2003,Programme for International Student Assessment (PISA). Students achieving at least proficiency Level 2. Modal grade for PISA: http://dx.doi.org/10.1787/888934038799 Data extracted on 13 April 2021.,,Lower secondary education,Skill: Mathematics,82.23685
2006,Programme for International Student Assessment (PISA). Students achieving at least proficiency Level 2. Modal grade for PISA: http://dx.doi.org/10.1787/888934038799 Data extracted on 13 April 2021.,,Lower secondary education,Skill: Mathematics,80.24634
2009,Programme for International Student Assessment (PISA). Students achieving at least proficiency Level 2. Modal grade for PISA: http://dx.doi.org/10.1787/888934038799 Data extracted on 13 April 2021.,,Lower secondary education,Skill: Mathematics,79.81603
2012,Programme for International Student Assessment (PISA). Students achieving at least proficiency Level 2. Modal grade for PISA: http://dx.doi.org/10.1787/888934038799 Data extracted on 13 April 2021.,,Lower secondary education,Skill: Mathematics,78.18722
2015,Programme for International Student Assessment (PISA). Students achieving at least proficiency Level 2. Modal grade for PISA: http://dx.doi.org/10.1787/888934038799 Data extracted on 13 April 2021.,,Lower secondary education,Skill: Mathematics,78.13294
2018,Programme for International Student Assessment (PISA). Students achieving at least proficiency Level 2. Modal grade for PISA: http://dx.doi.org/10.1787/888934038799 Data extracted on 13 April 2021.,,Lower secondary education,Skill: Mathematics,80.77064
2000,Programme for International Student Assessment (PISA). Students achieving at least proficiency Level 2. Modal grade for PISA: http://dx.doi.org/10.1787/888934038799 Data extracted on 13 April 2021.,,Lower secondary education,Skill: Reading,87.15826
