Year,SEX,Value
2000,,97.74716
2001,,97.67889
2002,,99.93596
2003,,94.81344
2004,,93.8931
2005,,91.72227
2006,,89.44449
2007,,89.70832
2008,,97.65107
2009,,99.39399
2010,,99.06167
2011,,99.61698
2012,,99.99739
2013,,97.46029
2014,,96.97484
2015,,98.0951
2016,,99.86013
2017,,99.93238
2018,,99.99949
2000,F,97.61542
2001,F,97.24961
2002,F,99.86874
2003,F,94.92963
2004,F,93.8008
2005,F,91.87704
2006,F,89.71985
2007,F,89.82992
2008,F,97.68302
2009,F,99.55508
2010,F,99.26962
2011,F,99.21577
2012,F,100.0
2013,F,95.75607
2014,F,96.88401
2015,F,96.10174
2016,F,99.71373
2017,F,99.86155
2018,F,99.99895
2000,M,97.87259
2001,M,98.08769
2002,M,100.0
2003,M,94.70267
2004,M,93.98113
2005,M,91.57454
2006,M,89.18141
2007,M,89.59228
2008,M,97.62062
2009,M,99.24052
2010,M,98.86347
2011,M,100.0
2012,M,99.99489
2013,M,99.08878
2014,M,97.06166
2015,M,100.0
2016,M,100.0
2017,M,100.0
2018,M,100.0
