Year,SOURCE_DETAIL,SEX,COMPOSITE_BREAKDOWN,Value
2014,Eurostat,,SKILL_ICTCDV,53.0116
2014,Office for National Statistics,,SKILL_ICTCMFL,72.7946
2015,Office for National Statistics,,SKILL_ICTCMFL,61.4168
2016,Office for National Statistics,,SKILL_ICTCMFL,63.6924
2017,Office for National Statistics,,SKILL_ICTCMFL,61.97075
2019,Office for National Statistics,,SKILL_ICTCMFL,58.34805
2014,Office for National Statistics,,SKILL_ICTCPT,73.3096
2015,Office for National Statistics,,SKILL_ICTCPT,59.8241
2016,Office for National Statistics,,SKILL_ICTCPT,62.1466
2017,Office for National Statistics,,SKILL_ICTCPT,60.7097
2014,Office for National Statistics,,SKILL_ICTPRGM,14.0663
2015,Office for National Statistics,,SKILL_ICTPRGM,6.6802
2016,Office for National Statistics,,SKILL_ICTPRGM,8.4953
2017,Office for National Statistics,,SKILL_ICTPRGM,9.55589
2019,Office for National Statistics,,SKILL_ICTPRGM,8.87271
2014,Office for National Statistics,,SKILL_ICTPST,44.5152
2015,Office for National Statistics,,SKILL_ICTPST,44.5359
2016,Office for National Statistics,,SKILL_ICTPST,47.1722
2017,Office for National Statistics,,SKILL_ICTPST,47.15957
2019,Office for National Statistics,,SKILL_ICTPST,46.32205
2015,Office for National Statistics,,SKILL_ICTSFWR,57.9959
2016,Office for National Statistics,,SKILL_ICTSFWR,61.3198
2017,Office for National Statistics,,SKILL_ICTSFWR,58.86211
2019,Office for National Statistics,,SKILL_ICTSFWR,65.66411
2014,Office for National Statistics,,SKILL_ICTSSHT,53.4227
2015,Office for National Statistics,,SKILL_ICTSSHT,42.7121
2016,Office for National Statistics,,SKILL_ICTSSHT,47.3595
2017,Office for National Statistics,,SKILL_ICTSSHT,45.99998
2019,Office for National Statistics,,SKILL_ICTSSHT,46.47805
2014,Office for National Statistics,,SKILL_ICTTRFF,65.3955
2015,Office for National Statistics,,SKILL_ICTTRFF,51.8944
2016,Office for National Statistics,,SKILL_ICTTRFF,55.1034
2017,Office for National Statistics,,SKILL_ICTTRFF,53.98514
2019,Office for National Statistics,,SKILL_ICTTRFF,52.10508
2014,Eurostat,F,SKILL_ICTCDV,46.2808
2014,Eurostat,F,SKILL_ICTCMFL,71.1476
2015,Eurostat,F,SKILL_ICTCMFL,57.5104
2016,Eurostat,F,SKILL_ICTCMFL,59.4022
2017,Eurostat,F,SKILL_ICTCMFL,56.89431
2014,Eurostat,F,SKILL_ICTCPT,73.2995
2015,Eurostat,F,SKILL_ICTCPT,57.1802
2016,Eurostat,F,SKILL_ICTCPT,59.9863
2017,Eurostat,F,SKILL_ICTCPT,56.65783
2014,Eurostat,F,SKILL_ICTPRGM,9.4241
2015,Eurostat,F,SKILL_ICTPRGM,4.0079
2016,Eurostat,F,SKILL_ICTPRGM,5.2395
2017,Eurostat,F,SKILL_ICTPRGM,6.05419
2014,Eurostat,F,SKILL_ICTPST,40.5701
2015,Eurostat,F,SKILL_ICTPST,42.104
2016,Eurostat,F,SKILL_ICTPST,47.3211
2017,Eurostat,F,SKILL_ICTPST,43.87352
2015,Eurostat,F,SKILL_ICTSFWR,52.5577
2016,Eurostat,F,SKILL_ICTSFWR,57.4564
2017,Eurostat,F,SKILL_ICTSFWR,55.57215
2014,Eurostat,F,SKILL_ICTSSHT,50.6485
2015,Eurostat,F,SKILL_ICTSSHT,38.3587
2016,Eurostat,F,SKILL_ICTSSHT,45.6224
2017,Eurostat,F,SKILL_ICTSSHT,40.76794
2014,Eurostat,F,SKILL_ICTTRFF,62.1218
2015,Eurostat,F,SKILL_ICTTRFF,47.7293
2016,Eurostat,F,SKILL_ICTTRFF,51.4755
2017,Eurostat,F,SKILL_ICTTRFF,47.39474
2014,Eurostat,M,SKILL_ICTCDV,57.67
2014,Eurostat,M,SKILL_ICTCMFL,73.9344
2015,Eurostat,M,SKILL_ICTCMFL,65.2563
2016,Eurostat,M,SKILL_ICTCMFL,66.4323
2017,Eurostat,M,SKILL_ICTCMFL,66.49668
2014,Eurostat,M,SKILL_ICTCPT,73.3167
2015,Eurostat,M,SKILL_ICTCPT,62.4228
2016,Eurostat,M,SKILL_ICTCPT,63.5263
2017,Eurostat,M,SKILL_ICTCPT,64.11784
2014,Eurostat,M,SKILL_ICTPRGM,17.2792
2015,Eurostat,M,SKILL_ICTPRGM,9.3067
2016,Eurostat,M,SKILL_ICTPRGM,10.5746
2017,Eurostat,M,SKILL_ICTPRGM,12.92692
2014,Eurostat,M,SKILL_ICTPST,47.2455
2015,Eurostat,M,SKILL_ICTPST,46.926
2016,Eurostat,M,SKILL_ICTPST,47.0772
2017,Eurostat,M,SKILL_ICTPST,51.45726
2015,Eurostat,M,SKILL_ICTSFWR,63.341
2016,Eurostat,M,SKILL_ICTSFWR,63.7872
2017,Eurostat,M,SKILL_ICTSFWR,62.91898
2014,Eurostat,M,SKILL_ICTSSHT,55.3427
2015,Eurostat,M,SKILL_ICTSSHT,46.991
2016,Eurostat,M,SKILL_ICTSSHT,48.4689
2017,Eurostat,M,SKILL_ICTSSHT,50.78559
2014,Eurostat,M,SKILL_ICTTRFF,67.6613
2015,Eurostat,M,SKILL_ICTTRFF,55.9882
2016,Eurostat,M,SKILL_ICTTRFF,57.4203
2017,Eurostat,M,SKILL_ICTTRFF,60.35752
