Year,SOURCE_DETAIL,SDG Series,Age,Education level,Composite breakdown,Source details,COMMENT_OBS,Observation-level footnotes,Value
2005,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2005. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.","Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Lower secondary education,,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,,1.0
2011,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2011. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.","Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Lower secondary education,,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,,1.0
2013,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.","Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Lower secondary education,,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,,1.0
2014,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.","Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Lower secondary education,,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,,1.0
2005,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2005. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.","Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Upper secondary education,,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,,1.02402
2011,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2011. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.","Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Upper secondary education,,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,,1.01034
2013,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.","Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Upper secondary education,,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,,1.06562
2005,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2005. World Inequality Database on Education (WIDE), June 2019.;Value suppressed (less than 25 unweighted observations in sample). Data extracted on 13 April 2021.","Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Lower secondary education,,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.0
2011,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2011. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.","Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Lower secondary education,,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,1.0
2013,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.","Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Lower secondary education,,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,1.0
2014,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.","Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Lower secondary education,,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,1.0
2005,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2005. World Inequality Database on Education (WIDE), June 2019.;Value suppressed (less than 25 unweighted observations in sample). Data extracted on 13 April 2021.","Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Upper secondary education,,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.0
2011,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2011. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.","Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Upper secondary education,,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.98662
2013,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.","Adjusted location parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Upper secondary education,,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.9969
2005,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2005. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.","Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Lower secondary education,,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,,1.0
2011,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2011. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.","Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Lower secondary education,,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,,1.0
2013,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.","Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Lower secondary education,,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,,1.0
2014,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.","Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Lower secondary education,,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,,1.0
