Year,SERIES,Value
2000,IC_GEN_MGTL,34.5
2001,IC_GEN_MGTL,30.85
2002,IC_GEN_MGTL,32.5
2003,IC_GEN_MGTL,32.3
2004,IC_GEN_MGTL,33.07
2005,IC_GEN_MGTL,34.32
2006,IC_GEN_MGTL,34.6
2007,IC_GEN_MGTL,34.44
2008,IC_GEN_MGTL,34.87
2009,IC_GEN_MGTL,35.56
2010,IC_GEN_MGTL,35.68
2011,IC_GEN_MGTL,34.56
2012,IC_GEN_MGTL,34.38
2013,IC_GEN_MGTL,33.95
2014,IC_GEN_MGTL,35.29
2015,IC_GEN_MGTL,35.36
2016,IC_GEN_MGTL,35.99
2017,IC_GEN_MGTL,36.15
2018,IC_GEN_MGTL,36.28
2019,IC_GEN_MGTL,36.83
2000,IC_GEN_MGTN,34.69
2001,IC_GEN_MGTN,29.62
2002,IC_GEN_MGTN,31.39
2003,IC_GEN_MGTN,31.47
2004,IC_GEN_MGTN,32.46
2005,IC_GEN_MGTN,33.61
2006,IC_GEN_MGTN,34.26
2007,IC_GEN_MGTN,34.35
2008,IC_GEN_MGTN,34.75
2009,IC_GEN_MGTN,35.38
2010,IC_GEN_MGTN,35.98
2011,IC_GEN_MGTN,32.12
2012,IC_GEN_MGTN,32.39
2013,IC_GEN_MGTN,32.31
2014,IC_GEN_MGTN,32.86
2015,IC_GEN_MGTN,32.4
2016,IC_GEN_MGTN,33.78
2017,IC_GEN_MGTN,34.36
2018,IC_GEN_MGTN,34.22
2019,IC_GEN_MGTN,34.91
