Year,Age,Main method of contraception,Observation status,Unit multiplier,Value
2014/15,16 to 17,Contraceptive patch,Undefined,Thousands,1.606
2014/15,18 to 19,Contraceptive patch,Undefined,Thousands,2.229
2014/15,20 to 24,Contraceptive patch,Undefined,Thousands,4.823
2014/15,25 to 34,Contraceptive patch,Undefined,Thousands,3.923
2014/15,35 to 44,Contraceptive patch,Undefined,Thousands,0.669
2014/15,45 and over,Contraceptive patch,Undefined,Thousands,0.056
2014/15,,Contraceptive patch,Undefined,Thousands,13.786
2014/15,15 and under,Contraceptive patch,Undefined,Thousands,0.48
2015/16,16 to 17,Contraceptive patch,Undefined,Thousands,1.407
2015/16,18 to 19,Contraceptive patch,Undefined,Thousands,2.227
2015/16,20 to 24,Contraceptive patch,Undefined,Thousands,4.963
2015/16,25 to 34,Contraceptive patch,Undefined,Thousands,4.169
2015/16,35 to 44,Contraceptive patch,Undefined,Thousands,0.726
2015/16,45 and over,Contraceptive patch,Undefined,Thousands,0.07
2015/16,,Contraceptive patch,Undefined,Thousands,13.962
2015/16,15 and under,Contraceptive patch,Undefined,Thousands,0.399
2016/17,16 to 17,Contraceptive patch,Undefined,Thousands,1.341
2016/17,18 to 19,Contraceptive patch,Undefined,Thousands,2.106
2016/17,20 to 24,Contraceptive patch,Undefined,Thousands,5.022
2016/17,25 to 34,Contraceptive patch,Undefined,Thousands,4.292
2016/17,35 to 44,Contraceptive patch,Undefined,Thousands,0.734
2016/17,45 and over,Contraceptive patch,Undefined,Thousands,0.061
2016/17,,Contraceptive patch,Undefined,Thousands,13.854
2016/17,15 and under,Contraceptive patch,Undefined,Thousands,0.298
2017/18,16 to 17,Contraceptive patch,Undefined,Thousands,1.092
2017/18,18 to 19,Contraceptive patch,Undefined,Thousands,1.83
2017/18,20 to 24,Contraceptive patch,Undefined,Thousands,4.74
2017/18,25 to 34,Contraceptive patch,Undefined,Thousands,4.212
2017/18,35 to 44,Contraceptive patch,Undefined,Thousands,0.762
2017/18,45 and over,Contraceptive patch,Undefined,Thousands,0.052
2017/18,,Contraceptive patch,Undefined,Thousands,12.989
2017/18,15 and under,Contraceptive patch,Undefined,Thousands,0.3
2014/15,16 to 17,Female condom,Undefined,Thousands,0.111
2014/15,18 to 19,Female condom,Undefined,Thousands,0.128
2014/15,20 to 24,Female condom,Undefined,Thousands,0.288
2014/15,25 to 34,Female condom,Undefined,Thousands,0.384
2014/15,35 to 44,Female condom,Undefined,Thousands,0.182
2014/15,45 and over,Female condom,Undefined,Thousands,0.125
2014/15,,Female condom,Undefined,Thousands,1.267
2014/15,15 and under,Female condom,Undefined,Thousands,0.048
2015/16,16 to 17,Female condom,Undefined,Thousands,0.078
2015/16,18 to 19,Female condom,Undefined,Thousands,0.117
2015/16,20 to 24,Female condom,Undefined,Thousands,0.249
2015/16,25 to 34,Female condom,Undefined,Thousands,0.322
2015/16,35 to 44,Female condom,Undefined,Thousands,0.177
2015/16,45 and over,Female condom,Undefined,Thousands,0.093
2015/16,,Female condom,Undefined,Thousands,1.061
2015/16,15 and under,Female condom,Undefined,Thousands,0.024
2016/17,16 to 17,Female condom,Undefined,Thousands,0.104
2016/17,18 to 19,Female condom,Undefined,Thousands,0.104
2016/17,20 to 24,Female condom,Undefined,Thousands,0.254
2016/17,25 to 34,Female condom,Undefined,Thousands,0.334
2016/17,35 to 44,Female condom,Undefined,Thousands,0.166
2016/17,45 and over,Female condom,Undefined,Thousands,0.112
2016/17,,Female condom,Undefined,Thousands,1.105
2016/17,15 and under,Female condom,Undefined,Thousands,0.03
2017/18,16 to 17,Female condom,Undefined,Thousands,0.214
2017/18,18 to 19,Female condom,Undefined,Thousands,0.344
2017/18,20 to 24,Female condom,Undefined,Thousands,0.847
2017/18,25 to 34,Female condom,Undefined,Thousands,1.139
2017/18,35 to 44,Female condom,Undefined,Thousands,0.763
2017/18,45 and over,Female condom,Undefined,Thousands,0.426
2017/18,,Female condom,Undefined,Thousands,3.793
2017/18,15 and under,Female condom,Undefined,Thousands,0.058
2014/15,16 to 17,Implant,Undefined,Thousands,16.216
2014/15,18 to 19,Implant,Undefined,Thousands,18.762
2014/15,20 to 24,Implant,Undefined,Thousands,39.755
2014/15,25 to 34,Implant,Undefined,Thousands,39.52
2014/15,35 to 44,Implant,Undefined,Thousands,14.36
2014/15,45 and over,Implant,Undefined,Thousands,3.267
2014/15,,Implant,Undefined,Thousands,138.937
2014/15,15 and under,Implant,Undefined,Thousands,7.05
2015/16,16 to 17,Implant,Undefined,Thousands,14.458
2015/16,18 to 19,Implant,Undefined,Thousands,17.697
2015/16,20 to 24,Implant,Undefined,Thousands,39.821
2015/16,25 to 34,Implant,Undefined,Thousands,42.425
