Year,Sex,Occupation,Value
2014,,,15.1
2015,,,14.9
2016,,,15.4
2017,,,15.9
2018,,,16.4
2019,,,17.0
2014,,Managers,25.9
2015,,Managers,24.6
2016,,Managers,25.0
2017,,Managers,26.0
2018,,Managers,26.7
2019,,Managers,27.1
2014,,Professionals,21.2
2015,,Professionals,21.0
2016,,Professionals,21.3
2017,,Professionals,21.7
2018,,Professionals,22.4
2019,,Professionals,22.8
2014,,Technicians and associate professionals,15.0
2015,,Technicians and associate professionals,14.6
2016,,Technicians and associate professionals,14.7
2017,,Technicians and associate professionals,15.1
2018,,Technicians and associate professionals,15.8
2019,,Technicians and associate professionals,15.8
2014,,Clerical support workers,10.9
2015,,Clerical support workers,11.0
2016,,Clerical support workers,11.4
2017,,Clerical support workers,11.8
2018,,Clerical support workers,12.5
2019,,Clerical support workers,13.0
2014,,Service and sales workers,8.8
2015,,Service and sales workers,9.4
2016,,Service and sales workers,9.8
2017,,Service and sales workers,10.3
2018,,Service and sales workers,10.5
2019,,Service and sales workers,10.8
2014,,"Skilled agricultural, forestry and fishery workers",9.7
2015,,"Skilled agricultural, forestry and fishery workers",9.7
2016,,"Skilled agricultural, forestry and fishery workers",10.1
2017,,"Skilled agricultural, forestry and fishery workers",10.2
2018,,"Skilled agricultural, forestry and fishery workers",10.6
2019,,"Skilled agricultural, forestry and fishery workers",11.0
2015,,Craft and related trades workers,12.7
2016,,Craft and related trades workers,13.0
2017,,Craft and related trades workers,13.4
2018,,Craft and related trades workers,13.8
2019,,Craft and related trades workers,14.2
2015,,"Plant and machine operators, and assemblers",10.8
2016,,"Plant and machine operators, and assemblers",11.1
2017,,"Plant and machine operators, and assemblers",11.5
2018,,"Plant and machine operators, and assemblers",11.8
2019,,"Plant and machine operators, and assemblers",12.1
2015,,Elementary occupations,8.4
2016,,Elementary occupations,8.8
2017,,Elementary occupations,9.2
2018,,Elementary occupations,9.5
2019,,Elementary occupations,10.0
2014,Female,,13.4
2015,Female,,13.2
2016,Female,,13.7
2017,Female,,14.1
2018,Female,,14.6
2019,Female,,15.2
2014,Female,Managers,21.3
2015,Female,Managers,20.5
2016,Female,Managers,21.2
2017,Female,Managers,22.2
2018,Female,Managers,23.0
2019,Female,Managers,23.2
2014,Female,Professionals,19.6
2015,Female,Professionals,19.5
2016,Female,Professionals,19.7
2017,Female,Professionals,20.1
2018,Female,Professionals,20.5
2019,Female,Professionals,21.1
2014,Female,Technicians and associate professionals,13.6
2015,Female,Technicians and associate professionals,13.3
2016,Female,Technicians and associate professionals,13.4
2017,Female,Technicians and associate professionals,13.7
2018,Female,Technicians and associate professionals,14.1
2019,Female,Technicians and associate professionals,14.5
2014,Female,Clerical support workers,10.6
2015,Female,Clerical support workers,10.7
2016,Female,Clerical support workers,11.1
2017,Female,Clerical support workers,11.6
2018,Female,Clerical support workers,12.2
2019,Female,Clerical support workers,12.7
2014,Female,Service and sales workers,8.6
2015,Female,Service and sales workers,8.8
2016,Female,Service and sales workers,9.3
2017,Female,Service and sales workers,9.6
2018,Female,Service and sales workers,9.9
2019,Female,Service and sales workers,10.3
2014,Female,"Skilled agricultural, forestry and fishery workers",9.6
2015,Female,"Skilled agricultural, forestry and fishery workers",10.0
2016,Female,"Skilled agricultural, forestry and fishery workers",9.9
2017,Female,"Skilled agricultural, forestry and fishery workers",10.0
2018,Female,"Skilled agricultural, forestry and fishery workers",10.3
2019,Female,"Skilled agricultural, forestry and fishery workers",10.7
2014,Female,Craft and related trades workers,10.2
2015,Female,Craft and related trades workers,10.0
2016,Female,Craft and related trades workers,10.3
2017,Female,Craft and related trades workers,10.5
2018,Female,Craft and related trades workers,10.9
2019,Female,Craft and related trades workers,12.1
2014,Female,"Plant and machine operators, and assemblers",9.0
2015,Female,"Plant and machine operators, and assemblers",8.9
2016,Female,"Plant and machine operators, and assemblers",9.3
2017,Female,"Plant and machine operators, and assemblers",9.5
2018,Female,"Plant and machine operators, and assemblers",9.7
2019,Female,"Plant and machine operators, and assemblers",10.3
2014,Female,Elementary occupations,7.7
2015,Female,Elementary occupations,7.7
2016,Female,Elementary occupations,8.2
2017,Female,Elementary occupations,8.5
2018,Female,Elementary occupations,8.9
2019,Female,Elementary occupations,9.4
2014,Male,,16.9
2015,Male,,16.6
2016,Male,,17.1
2017,Male,,17.6
2018,Male,,18.2
2019,Male,,18.8
2014,Male,Managers,28.4
2015,Male,Managers,26.8
2016,Male,Managers,27.2
2017,Male,Managers,28.2
2018,Male,Managers,28.7
2019,Male,Managers,29.5
2014,Male,Professionals,22.8
2015,Male,Professionals,22.4
2016,Male,Professionals,22.9
2017,Male,Professionals,23.4
2018,Male,Professionals,24.2
2019,Male,Professionals,24.5
2014,Male,Technicians and associate professionals,16.3
2015,Male,Technicians and associate professionals,15.9
2016,Male,Technicians and associate professionals,16.1
2017,Male,Technicians and associate professionals,16.5
2018,Male,Technicians and associate professionals,17.5
2019,Male,Technicians and associate professionals,17.0
2014,Male,Clerical support workers,11.6
2015,Male,Clerical support workers,11.7
2016,Male,Clerical support workers,11.9
2017,Male,Clerical support workers,12.3
2018,Male,Clerical support workers,13.2
2019,Male,Clerical support workers,13.7
2014,Male,Service and sales workers,9.3
2015,Male,Service and sales workers,10.8
2016,Male,Service and sales workers,11.0
2017,Male,Service and sales workers,11.8
2018,Male,Service and sales workers,11.8
2019,Male,Service and sales workers,12.0
2014,Male,"Skilled agricultural, forestry and fishery workers",9.7
2015,Male,"Skilled agricultural, forestry and fishery workers",9.7
2016,Male,"Skilled agricultural, forestry and fishery workers",10.1
2017,Male,"Skilled agricultural, forestry and fishery workers",10.2
2018,Male,"Skilled agricultural, forestry and fishery workers",10.6
2019,Male,"Skilled agricultural, forestry and fishery workers",11.0
2015,Male,Craft and related trades workers,12.9
2016,Male,Craft and related trades workers,13.2
2017,Male,Craft and related trades workers,13.6
2018,Male,Craft and related trades workers,13.9
2019,Male,Craft and related trades workers,14.3
2015,Male,"Plant and machine operators, and assemblers",11.1
2016,Male,"Plant and machine operators, and assemblers",11.4
2017,Male,"Plant and machine operators, and assemblers",11.7
2018,Male,"Plant and machine operators, and assemblers",12.0
2019,Male,"Plant and machine operators, and assemblers",12.4
2015,Male,Elementary occupations,9.0
2016,Male,Elementary occupations,9.4
2017,Male,Elementary occupations,9.7
2018,Male,Elementary occupations,10.1
2019,Male,Elementary occupations,10.5
