Year,UNIT_MULT,SOURCE_DETAIL,SDG Series,Economic activity,Unit of measure,Unit multiplier,Source details,BASE_PER,Base period,Value
2000,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",,,520.563
2001,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",,,535.303
2002,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",,,521.177
2003,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",,,533.472
2004,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",,,533.391
2005,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",,,531.649
2006,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",,,532.9
2007,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",,,521.733
2008,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",,,507.897
2009,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",,,460.084
2010,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",,,476.626
2011,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",,,439.179
2012,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",,,461.442
2013,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",,,447.003
2014,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",,,408.663
2015,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",,,394.022
2016,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",,,372.353
2017,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",,,359.944
2018,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],,Metric Tons,Millions,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",,,352.363
2000,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",,,59.373
2001,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",,,62.671
2002,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",,,58.265
2003,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",,,59.118
2004,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",,,57.152
2005,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",,,54.05
2006,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",,,53.39
2007,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",Carbon dioxide emissions from fuel combustion [9.4.1],Manufacturing excl. coke and refined petroleum products and repair and installation of machinery and equipment,Metric Tons,Millions,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",,,52.484
