Year,Age,Sex,SERIES,Observation status,Unit multiplier,UNIT_MEASURE,Reporting type,Sex1,Age1,Degree of urbanisation,Value
2004,,,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,,,,0.4
2005,,,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,,,,0.5
2006,,,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,,,,0.2
2007,,,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,,,,0.3
2008,,,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,,,,0.3
2009,,,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,,,,0.2
2010,,,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,,,,0.1
2011,,,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,,,,0.4
2012,,,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,,,,0.2
2013,,,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,,,,0.2
2014,,,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,,,,0.2
2015,,,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,,,,0.1
2016,,,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,,,,0.2
2004,under 15 years old,,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,,,,0.2
2005,under 15 years old,,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,,,,0.3
2006,under 15 years old,,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,,,,0.4
2007,under 15 years old,,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,,,,0.4
2008,under 15 years old,,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,,,,0.4
2009,under 15 years old,,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,,,,0.3
2010,under 15 years old,,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,,,,0.3
2011,under 15 years old,,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,,,,0.3
2012,under 15 years old,,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,,,,0.6
2013,under 15 years old,,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,,,,0.4
2014,under 15 years old,,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,,,,0.4
2015,under 15 years old,,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,,,,0.2
2016,under 15 years old,,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,,,,0.3
2004,,Male,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,,,,0.5
2005,,Male,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,,,,0.6
2006,,Male,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,,,,0.9
2007,,Male,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,,,,0.7
2008,,Male,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,,,,0.8
2009,,Male,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,,,,0.5
2010,,Male,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,,,,0.8
2011,,Male,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,,,,0.4
2012,,Male,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,,,,0.6
2013,,Male,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,,,,0.4
2014,,Male,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,,,,0.4
2015,,Male,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,,,,0.5
2016,,Male,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,,,,0.4
1969,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,,,0.2
1974,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,,,0.2
1979,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,,,0.2
1986,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,,,0.7
1991,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,,,0.2
1994,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,,,0.2
1995,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,,,0.2
1996,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,,,0.2
1997,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,,,0.2
1998,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,,,0.2
1999,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,,,0.2
2000,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,,,0.2
2001,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,,,0.2
2002,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,,,0.2
2003,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,,,0.2
2004,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,,,0.4
2005,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,,,0.5
2006,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,,,0.2
2007,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,,,0.3
2008,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,,,0.3
2009,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,,,0.2
2010,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,,,0.1
2011,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,,,0.4
2012,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,,,0.2
2013,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,,,0.2
2014,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,,,0.2
2015,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,,,0.1
2016,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,,,0.2
2017,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,,,0.3
2008,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,,Rural,0.35218
2009,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,,Rural,0.63412
2010,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,,Rural,0.80617
2011,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,,Rural,1.06198
2012,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,,Rural,0.62223
2013,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,,Rural,0.8626
2014,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,,Rural,0.78211
2015,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,,Rural,1.00924
2016,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,,Rural,0.20429
2017,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,,Rural,1.1628
2008,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,,Urban,0.67085
2009,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,,Urban,0.55273
2010,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,,Urban,0.62398
2011,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,,Urban,0.78753
2012,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,,Urban,0.43585
2013,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,,Urban,0.46287
2014,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,,Urban,0.64614
2015,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,,Urban,0.61198
2016,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,,Urban,0.61124
