Year,Age,Observation status,Sex,Unit multiplier,Value
2005,,Undefined,,Units,19.0
2005,15 and under,Undefined,,Units,23.3
2005,16 to 24,Undefined,,Units,23.4
2005,25 to 49,Undefined,,Units,14.4
2005,50 to 64,Undefined,,Units,15.6
2005,65 to 74,Undefined,,Units,21.4
2005,75 and over,Undefined,,Units,28.7
2005,,Undefined,Female,Units,19.4
2005,15 and under,Undefined,Female,Units,22.3
2005,16 to 24,Undefined,Female,Units,22.4
2005,25 to 49,Undefined,Female,Units,15.3
2005,50 to 64,Undefined,Female,Units,15.4
2005,65 to 74,Undefined,Female,Units,23.2
2005,75 and over,Undefined,Female,Units,31.0
2005,,Undefined,Male,Units,18.6
2005,15 and under,Undefined,Male,Units,24.4
2005,16 to 24,Undefined,Male,Units,24.3
2005,25 to 49,Undefined,Male,Units,13.5
2005,50 to 64,Undefined,Male,Units,15.8
2005,65 to 74,Undefined,Male,Units,19.4
2005,75 and over,Undefined,Male,Units,25.2
2006,,Undefined,,Units,19.0
2006,15 and under,Undefined,,Units,24.5
2006,16 to 24,Undefined,,Units,21.0
2006,25 to 49,Undefined,,Units,13.8
2006,50 to 64,Undefined,,Units,15.8
2006,65 to 74,Undefined,,Units,21.7
2006,75 and over,Undefined,,Units,31.1
2006,,Undefined,Female,Units,19.9
2006,15 and under,Undefined,Female,Units,23.7
2006,16 to 24,Undefined,Female,Units,22.6
2006,25 to 49,Undefined,Female,Units,14.5
2006,50 to 64,Undefined,Female,Units,16.3
2006,65 to 74,Undefined,Female,Units,24.5
2006,75 and over,Undefined,Female,Units,33.4
2006,,Undefined,Male,Units,18.0
2006,15 and under,Undefined,Male,Units,25.4
2006,16 to 24,Undefined,Male,Units,19.6
2006,25 to 49,Undefined,Male,Units,13.0
2006,50 to 64,Undefined,Male,Units,15.4
2006,65 to 74,Undefined,Male,Units,18.6
2006,75 and over,Undefined,Male,Units,27.5
2007,,Undefined,,Units,18.6
2007,15 and under,Undefined,,Units,23.2
2007,16 to 24,Undefined,,Units,19.7
2007,25 to 49,Undefined,,Units,14.0
2007,50 to 64,Undefined,,Units,15.3
2007,65 to 74,Undefined,,Units,22.4
2007,75 and over,Undefined,,Units,31.2
2007,,Undefined,Female,Units,19.6
2007,15 and under,Undefined,Female,Units,23.4
2007,16 to 24,Undefined,Female,Units,21.0
2007,25 to 49,Undefined,Female,Units,14.8
2007,50 to 64,Undefined,Female,Units,15.3
2007,65 to 74,Undefined,Female,Units,25.3
2007,75 and over,Undefined,Female,Units,32.7
2007,,Undefined,Male,Units,17.6
2007,15 and under,Undefined,Male,Units,23.1
2007,16 to 24,Undefined,Male,Units,18.4
2007,25 to 49,Undefined,Male,Units,13.2
2007,50 to 64,Undefined,Male,Units,15.4
2007,65 to 74,Undefined,Male,Units,19.1
2007,75 and over,Undefined,Male,Units,29.0
2008,,Undefined,,Units,18.7
2008,15 and under,Undefined,,Units,24.4
2008,16 to 24,Undefined,,Units,18.8
2008,25 to 49,Undefined,,Units,13.5
2008,50 to 64,Undefined,,Units,15.3
2008,65 to 74,Undefined,,Units,23.9
2008,75 and over,Undefined,,Units,31.2
2008,,Undefined,Female,Units,20.0
2008,15 and under,Undefined,Female,Units,25.4
2008,16 to 24,Undefined,Female,Units,20.9
2008,25 to 49,Undefined,Female,Units,14.5
2008,50 to 64,Undefined,Female,Units,15.5
2008,65 to 74,Undefined,Female,Units,26.4
2008,75 and over,Undefined,Female,Units,33.1
2008,,Undefined,Male,Units,17.4
2008,15 and under,Undefined,Male,Units,23.5
2008,16 to 24,Undefined,Male,Units,16.9
2008,25 to 49,Undefined,Male,Units,12.6
2008,50 to 64,Undefined,Male,Units,15.0
2008,65 to 74,Undefined,Male,Units,21.3
2008,75 and over,Undefined,Male,Units,28.6
2009,,Undefined,,Units,17.3
2009,15 and under,Undefined,,Units,20.6
2009,16 to 24,Undefined,,Units,20.1
2009,25 to 49,Undefined,,Units,13.7
2009,50 to 64,Undefined,,Units,14.4
2009,65 to 74,Undefined,,Units,19.2
2009,75 and over,Undefined,,Units,25.8
2009,,Undefined,Female,Units,17.8
2009,15 and under,Undefined,Female,Units,21.3
2009,16 to 24,Undefined,Female,Units,20.7
2009,25 to 49,Undefined,Female,Units,14.0
2009,50 to 64,Undefined,Female,Units,13.8
2009,65 to 74,Undefined,Female,Units,21.3
2009,75 and over,Undefined,Female,Units,27.0
2009,,Undefined,Male,Units,16.7
2009,15 and under,Undefined,Male,Units,20.1
2009,16 to 24,Undefined,Male,Units,19.5
2009,25 to 49,Undefined,Male,Units,13.4
2009,50 to 64,Undefined,Male,Units,14.9
2009,65 to 74,Undefined,Male,Units,16.9
2009,75 and over,Undefined,Male,Units,24.2
2010,,Undefined,,Units,17.1
2010,15 and under,Undefined,,Units,20.0
2010,16 to 24,Undefined,,Units,21.2
2010,25 to 49,Undefined,,Units,13.7
2010,50 to 64,Undefined,,Units,14.3
2010,65 to 74,Undefined,,Units,17.8
2010,75 and over,Undefined,,Units,25.5
2010,,Undefined,Female,Units,17.8
2010,15 and under,Undefined,Female,Units,19.3
2010,16 to 24,Undefined,Female,Units,21.3
2010,25 to 49,Undefined,Female,Units,14.8
2010,50 to 64,Undefined,Female,Units,13.6
2010,65 to 74,Undefined,Female,Units,20.0
2010,75 and over,Undefined,Female,Units,29.0
2010,,Undefined,Male,Units,16.4
2010,15 and under,Undefined,Male,Units,20.6
2010,16 to 24,Undefined,Male,Units,21.0
2010,25 to 49,Undefined,Male,Units,12.7
2010,50 to 64,Undefined,Male,Units,15.1
2010,65 to 74,Undefined,Male,Units,15.4
2010,75 and over,Undefined,Male,Units,20.6
2011,,Undefined,,Units,16.2
2011,15 and under,Undefined,,Units,17.6
2011,16 to 24,Undefined,,Units,20.1
2011,25 to 49,Undefined,,Units,12.3
2011,50 to 64,Undefined,,Units,14.5
2011,65 to 74,Undefined,,Units,17.3
2011,75 and over,Undefined,,Units,27.2
2011,,Undefined,Female,Units,17.6
2011,15 and under,Undefined,Female,Units,17.5
2011,16 to 24,Undefined,Female,Units,23.7
2011,25 to 49,Undefined,Female,Units,13.2
2011,50 to 64,Undefined,Female,Units,15.0
2011,65 to 74,Undefined,Female,Units,19.5
2011,75 and over,Undefined,Female,Units,30.5
2011,,Undefined,Male,Units,14.8
2011,15 and under,Undefined,Male,Units,17.7
2011,16 to 24,Undefined,Male,Units,16.7
2011,25 to 49,Undefined,Male,Units,11.5
2011,50 to 64,Undefined,Male,Units,14.1
2011,65 to 74,Undefined,Male,Units,14.8
2011,75 and over,Undefined,Male,Units,22.7
2012,,Undefined,,Units,16.0
2012,15 and under,Undefined,,Units,17.6
