Year,Series,Type of expenditure,Observation status,Unit multiplier,Value
2000,Cultural heritage,Central government expenditure,Normal value,Units,31.63734735
2001,Cultural heritage,Central government expenditure,Normal value,Units,33.44442001
2002,Cultural heritage,Central government expenditure,Normal value,Units,34.49803506
2003,Cultural heritage,Central government expenditure,Normal value,Units,42.00433626
2004,Cultural heritage,Central government expenditure,Normal value,Units,39.53268035
2005,Cultural heritage,Central government expenditure,Normal value,Units,43.31827594
2006,Cultural heritage,Central government expenditure,Normal value,Units,41.75770339
2007,Cultural heritage,Central government expenditure,Normal value,Units,40.18323818
2008,Cultural heritage,Central government expenditure,Normal value,Units,42.9931515
2009,Cultural heritage,Central government expenditure,Normal value,Units,39.46322307
2010,Cultural heritage,Central government expenditure,Normal value,Units,42.19281543
2011,Cultural heritage,Central government expenditure,Normal value,Units,39.23514382
2012,Cultural heritage,Central government expenditure,Normal value,Units,39.60442665
2013,Cultural heritage,Central government expenditure,Normal value,Units,41.54076783
2014,Cultural heritage,Central government expenditure,Normal value,Units,42.06090704
2015,Cultural heritage,Central government expenditure,Normal value,Units,44.30962986
2016,Cultural heritage,Central government expenditure,Normal value,Units,46.32274201
2017,Cultural heritage,Central government expenditure,Normal value,Units,45.77514908
2018,Cultural heritage,Central government expenditure,Normal value,Units,40.12908742
2019,Cultural heritage,Central government expenditure,Normal value,Units,37.48682572
2020,Cultural heritage,Central government expenditure,Normal value,Units,46.13825077
2000/01,Natural heritage,Central government expenditure,Normal value,Units,4.900855306
2001/02,Natural heritage,Central government expenditure,Normal value,Units,6.012039748
2002/03,Natural heritage,Central government expenditure,Normal value,Units,6.060188368
2003/04,Natural heritage,Central government expenditure,Normal value,Units,6.646385107
2004/05,Natural heritage,Central government expenditure,Normal value,Units,7.330204396
2005/06,Natural heritage,Central government expenditure,Normal value,Units,8.184371265
2006/07,Natural heritage,Central government expenditure,Normal value,Units,9.380290308
2007/08,Natural heritage,Central government expenditure,Normal value,Units,10.8737905
2008/09,Natural heritage,Central government expenditure,Normal value,Units,11.65610319
2009/10,Natural heritage,Central government expenditure,Normal value,Units,11.08159112
2010/11,Natural heritage,Central government expenditure,Normal value,Units,10.91570503
2011/12,Natural heritage,Central government expenditure,Normal value,Units,10.51230568
2012/13,Natural heritage,Central government expenditure,Normal value,Units,10.52200413
2013/14,Natural heritage,Central government expenditure,Normal value,Units,11.29350497
2014/15,Natural heritage,Central government expenditure,Normal value,Units,10.26158198
2015/16,Natural heritage,Central government expenditure,Normal value,Units,9.649918093
2016/17,Natural heritage,Central government expenditure,Normal value,Units,8.623482701
2017/18,Natural heritage,Central government expenditure,Normal value,Units,7.281206068
2018/19,Natural heritage,Central government expenditure,Normal value,Units,7.38893241
2019/20,Natural heritage,Central government expenditure,Normal value,Units,7.517285863
2000/01,Natural heritage,NGO expenditure,Normal value,Units,
2001/02,Natural heritage,NGO expenditure,Missing value,Units,
2002/03,Natural heritage,NGO expenditure,Missing value,Units,
2003/04,Natural heritage,NGO expenditure,Missing value,Units,
2004/05,Natural heritage,NGO expenditure,Missing value,Units,
2005/06,Natural heritage,NGO expenditure,Missing value,Units,
2006/07,Natural heritage,NGO expenditure,Missing value,Units,
2007/08,Natural heritage,NGO expenditure,Missing value,Units,
2008/09,Natural heritage,NGO expenditure,Missing value,Units,
2009/10,Natural heritage,NGO expenditure,Missing value,Units,
2010/11,Natural heritage,NGO expenditure,Normal value,Units,3.173090333
2011/12,Natural heritage,NGO expenditure,Normal value,Units,3.31138289
2012/13,Natural heritage,NGO expenditure,Normal value,Units,3.186793648
2013/14,Natural heritage,NGO expenditure,Normal value,Units,3.26020132
2014/15,Natural heritage,NGO expenditure,Normal value,Units,3.517341541
2015/16,Natural heritage,NGO expenditure,Normal value,Units,3.653911101
2016/17,Natural heritage,NGO expenditure,Normal value,Units,3.823392017
2017/18,Natural heritage,NGO expenditure,Normal value,Units,3.817478122
2018/19,Natural heritage,NGO expenditure,Normal value,Units,3.966543908
2019/20,Natural heritage,NGO expenditure,Normal value,Units,3.983453131
2000,Cultural heritage,General government expenditure,Normal value,Units,77.93010575
2001,Cultural heritage,General government expenditure,Normal value,Units,71.84544855
2002,Cultural heritage,General government expenditure,Normal value,Units,74.06633797
2003,Cultural heritage,General government expenditure,Normal value,Units,83.40501738
2004,Cultural heritage,General government expenditure,Normal value,Units,81.58410953
2005,Cultural heritage,General government expenditure,Normal value,Units,88.98702769
2006,Cultural heritage,General government expenditure,Normal value,Units,88.84197997
2007,Cultural heritage,General government expenditure,Normal value,Units,88.25961242
2008,Cultural heritage,General government expenditure,Normal value,Units,90.41825316
2009,Cultural heritage,General government expenditure,Normal value,Units,89.01309819
2010,Cultural heritage,General government expenditure,Normal value,Units,91.01410942
2011,Cultural heritage,General government expenditure,Normal value,Units,86.10241589
2012,Cultural heritage,General government expenditure,Normal value,Units,84.45176988
2013,Cultural heritage,General government expenditure,Normal value,Units,83.17513107
2014,Cultural heritage,General government expenditure,Normal value,Units,82.35702078
2015,Cultural heritage,General government expenditure,Normal value,Units,82.6908309
2016,Cultural heritage,General government expenditure,Normal value,Units,80.48976284
2017,Cultural heritage,General government expenditure,Normal value,Units,81.8440889
2018,Cultural heritage,General government expenditure,Normal value,Units,75.98335832
2019,Cultural heritage,General government expenditure,Normal value,Units,75.93178116
2020,Cultural heritage,General government expenditure,Normal value,Units,84.1967174
2000,Cultural heritage,Local government expenditure,Normal value,Units,47.88906041
2001,Cultural heritage,Local government expenditure,Normal value,Units,40.02503679
2002,Cultural heritage,Local government expenditure,Normal value,Units,41.80865382
2003,Cultural heritage,Local government expenditure,Normal value,Units,44.18420201
2004,Cultural heritage,Local government expenditure,Normal value,Units,44.73698257
2005,Cultural heritage,Local government expenditure,Normal value,Units,48.30062255
2006,Cultural heritage,Local government expenditure,Normal value,Units,49.97772374
2007,Cultural heritage,Local government expenditure,Normal value,Units,50.96291368
2008,Cultural heritage,Local government expenditure,Normal value,Units,51.4365018
2009,Cultural heritage,Local government expenditure,Normal value,Units,52.6979385
2010,Cultural heritage,Local government expenditure,Normal value,Units,52.13553327
2011,Cultural heritage,Local government expenditure,Normal value,Units,49.63253594
2012,Cultural heritage,Local government expenditure,Normal value,Units,47.10776234
2013,Cultural heritage,Local government expenditure,Normal value,Units,43.31908083
2014,Cultural heritage,Local government expenditure,Normal value,Units,41.50360389
