Year,Observation status,Unit multiplier,Reporting type,SERIES,Type of product,UNIT_MEASURE,Base period,Value
2000,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,13.66576
2001,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,13.75163
2002,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,13.30561
2003,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,13.06867
2004,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,13.48239
2005,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,13.15461
2006,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,12.99372
2007,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,12.63189
2008,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,11.8959
2009,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,10.2246
2010,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,9.8744
2011,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,9.98363
2012,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,9.50886
2013,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,9.57251
2014,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,10.65636
2015,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,10.53961
2016,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,10.42176
2017,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,10.44107
2018,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,10.40221
2019,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,Metric Tons,,10.12325
2000,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,6.16159
2001,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,6.31768
2002,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,5.95155
2003,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,5.80218
2004,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,6.03816
2005,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,5.78878
2006,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,5.77124
2007,Normal value,Units,Global,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,5.75546
