Year,Unit multiplier,Base period,SERIES,UNIT_MEASURE,Value
2015,Millions,2015,Fossil-fuel subsidies (consumption and production) (millions of constant United States dollars) [12.c.1],Constant USD,20167.644
2016,Millions,2015,Fossil-fuel subsidies (consumption and production) (millions of constant United States dollars) [12.c.1],Constant USD,15104.068
2017,Millions,2015,Fossil-fuel subsidies (consumption and production) (millions of constant United States dollars) [12.c.1],Constant USD,16494.264
2018,Millions,2015,Fossil-fuel subsidies (consumption and production) (millions of constant United States dollars) [12.c.1],Constant USD,15493.532
2019,Millions,2015,Fossil-fuel subsidies (consumption and production) (millions of constant United States dollars) [12.c.1],Constant USD,15398.101
2015,Units,,Fossil-fuel subsidies (consumption and production) as a proportion of total GDP [12.c.1],Percent,0.68766
2016,Units,,Fossil-fuel subsidies (consumption and production) as a proportion of total GDP [12.c.1],Percent,0.50629
2017,Units,,Fossil-fuel subsidies (consumption and production) as a proportion of total GDP [12.c.1],Percent,0.54343
2018,Units,,Fossil-fuel subsidies (consumption and production) as a proportion of total GDP [12.c.1],Percent,0.50414
2019,Units,,Fossil-fuel subsidies (consumption and production) as a proportion of total GDP [12.c.1],Percent,0.4948
2015,Units,2015,Fossil-fuel subsidies (consumption and production) per capita (constant United States dollars) [12.c.1],Constant USD,306.21923
2016,Units,2015,Fossil-fuel subsidies (consumption and production) per capita (constant United States dollars) [12.c.1],Constant USD,227.82106
2017,Units,2015,Fossil-fuel subsidies (consumption and production) per capita (constant United States dollars) [12.c.1],Constant USD,247.18854
2018,Units,2015,Fossil-fuel subsidies (consumption and production) per capita (constant United States dollars) [12.c.1],Constant USD,230.75878
2019,Units,2015,Fossil-fuel subsidies (consumption and production) per capita (constant United States dollars) [12.c.1],Constant USD,228.01813
