Year,Source details,SERIES,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2015,"Plastic Pollution (MLW, MDMAP, ICC)",Beach litter per square kilometer (Number) [14.1.1],,Number,954398.0
2016,"Plastic Pollution (MLW, MDMAP, ICC)",Beach litter per square kilometer (Number) [14.1.1],,Number,1180157.0
2017,"Plastic Pollution (MLW, MDMAP, ICC)",Beach litter per square kilometer (Number) [14.1.1],,Number,505209.0
2018,"Plastic Pollution (MLW, MDMAP, ICC)",Beach litter per square kilometer (Number) [14.1.1],,Number,1151873.0
2019,"Plastic Pollution (MLW, MDMAP, ICC)",Beach litter per square kilometer (Number) [14.1.1],,Number,26712.0
2018,World Environment Situation Room,"Chlorophyll-a anomaly, remote sensing (%) [14.1.1]",Frequency of Chlorophyll-a concentration: High,Percent,3.82462
2019,World Environment Situation Room,"Chlorophyll-a anomaly, remote sensing (%) [14.1.1]",Frequency of Chlorophyll-a concentration: High,Percent,2.69281
2020,World Environment Situation Room,"Chlorophyll-a anomaly, remote sensing (%) [14.1.1]",Frequency of Chlorophyll-a concentration: High,Percent,3.44213
2018,World Environment Situation Room,"Chlorophyll-a anomaly, remote sensing (%) [14.1.1]",Frequency of Chlorophyll-a concentration: Moderate,Percent,3.55289
2019,World Environment Situation Room,"Chlorophyll-a anomaly, remote sensing (%) [14.1.1]",Frequency of Chlorophyll-a concentration: Moderate,Percent,3.15603
2020,World Environment Situation Room,"Chlorophyll-a anomaly, remote sensing (%) [14.1.1]",Frequency of Chlorophyll-a concentration: Moderate,Percent,3.22562
2000,World Environment Situation Room,"Chlorophyll-a deviations, remote sensing  [14.1.1]",,Percent,3.34
2001,World Environment Situation Room,"Chlorophyll-a deviations, remote sensing  [14.1.1]",,Percent,3.06
2002,World Environment Situation Room,"Chlorophyll-a deviations, remote sensing  [14.1.1]",,Percent,5.24
2003,World Environment Situation Room,"Chlorophyll-a deviations, remote sensing  [14.1.1]",,Percent,7.6
2004,World Environment Situation Room,"Chlorophyll-a deviations, remote sensing  [14.1.1]",,Percent,8.19
2005,World Environment Situation Room,"Chlorophyll-a deviations, remote sensing  [14.1.1]",,Percent,3.31
2006,World Environment Situation Room,"Chlorophyll-a deviations, remote sensing  [14.1.1]",,Percent,3.0
2007,World Environment Situation Room,"Chlorophyll-a deviations, remote sensing  [14.1.1]",,Percent,4.13
2008,World Environment Situation Room,"Chlorophyll-a deviations, remote sensing  [14.1.1]",,Percent,2.3
2009,World Environment Situation Room,"Chlorophyll-a deviations, remote sensing  [14.1.1]",,Percent,3.46
2010,World Environment Situation Room,"Chlorophyll-a deviations, remote sensing  [14.1.1]",,Percent,3.39
2011,World Environment Situation Room,"Chlorophyll-a deviations, remote sensing  [14.1.1]",,Percent,3.97
2012,World Environment Situation Room,"Chlorophyll-a deviations, remote sensing  [14.1.1]",,Percent,2.99
2013,World Environment Situation Room,"Chlorophyll-a deviations, remote sensing  [14.1.1]",,Percent,2.29
2014,World Environment Situation Room,"Chlorophyll-a deviations, remote sensing  [14.1.1]",,Percent,3.49
2015,World Environment Situation Room,"Chlorophyll-a deviations, remote sensing  [14.1.1]",,Percent,2.01
2016,World Environment Situation Room,"Chlorophyll-a deviations, remote sensing  [14.1.1]",,Percent,2.05
2017,World Environment Situation Room,"Chlorophyll-a deviations, remote sensing  [14.1.1]",,Percent,1.16
2018,World Environment Situation Room,"Chlorophyll-a deviations, remote sensing  [14.1.1]",,Percent,1.64
2019,World Environment Situation Room,"Chlorophyll-a deviations, remote sensing  [14.1.1]",,Percent,1.42
