Year,Unit multiplier,Nature of data points,Observation-level footnotes,Source details,SERIES,UNIT_MEASURE,Value
2000,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",Forest area as a proportion of total land area [15.1.1],Percent,12.21014
2010,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",Forest area as a proportion of total land area [15.1.1],Percent,12.64415
2015,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",Forest area as a proportion of total land area [15.1.1],Percent,13.04096
2016,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",Forest area as a proportion of total land area [15.1.1],Percent,13.0575
2017,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",Forest area as a proportion of total land area [15.1.1],Percent,13.07816
2018,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",Forest area as a proportion of total land area [15.1.1],Percent,13.11536
2019,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",Forest area as a proportion of total land area [15.1.1],Percent,13.15256
2020,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",Forest area as a proportion of total land area [15.1.1],Percent,13.18563
2000,Thousands,Country Data,Official Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Forest area (hectares) [15.1.1],Hectares,2954.0
2010,Thousands,Country Data,Official Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Forest area (hectares) [15.1.1],Hectares,3059.0
2015,Thousands,Country Data,Official Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Forest area (hectares) [15.1.1],Hectares,3155.0
2016,Thousands,Country Data,Official Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Forest area (hectares) [15.1.1],Hectares,3159.0
2017,Thousands,Country Data,Official Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Forest area (hectares) [15.1.1],Hectares,3164.0
2018,Thousands,Country Data,Official Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Forest area (hectares) [15.1.1],Hectares,3173.0
2019,Thousands,Country Data,Official Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Forest area (hectares) [15.1.1],Hectares,3182.0
2020,Thousands,Country Data,Official Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Forest area (hectares) [15.1.1],Hectares,3190.0
2000,Thousands,Estimated,,FAO estimate based on FAOSTAT data from 2018,Land area (hectares) [15.1.1],Hectares,24193.0
2010,Thousands,Estimated,,FAO estimate based on FAOSTAT data from 2018,Land area (hectares) [15.1.1],Hectares,24193.0
2015,Thousands,Estimated,,FAO estimate based on FAOSTAT data from 2018,Land area (hectares) [15.1.1],Hectares,24193.0
2016,Thousands,Estimated,,FAO estimate based on FAOSTAT data from 2018,Land area (hectares) [15.1.1],Hectares,24193.0
2017,Thousands,Estimated,,FAO estimate based on FAOSTAT data from 2018,Land area (hectares) [15.1.1],Hectares,24193.0
2018,Thousands,Estimated,,FAO estimate based on FAOSTAT data from 2018,Land area (hectares) [15.1.1],Hectares,24193.0
2019,Thousands,Estimated,,FAO estimate based on FAOSTAT data from 2018,Land area (hectares) [15.1.1],Hectares,24193.0
2020,Thousands,Estimated,,FAO estimate based on FAOSTAT data from 2018,Land area (hectares) [15.1.1],Hectares,24193.0
