Year,Upper bound value,Lower bound value,SERIES,Value
2000,91.15162,91.15162,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],88.19697
2001,91.15162,91.15162,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],88.19697
2002,91.15162,91.15162,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],88.19697
2003,91.15162,91.15162,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],88.19697
2004,91.15162,91.15162,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],88.19762
2005,91.15162,91.15162,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],89.91778
2006,91.15162,91.15162,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],89.91778
2007,91.15162,91.15162,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],90.0184
2008,91.15162,91.15162,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],90.0184
2009,91.15162,91.15162,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],90.02515
2010,91.15162,91.15162,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],91.15162
2011,91.15162,91.15162,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],91.15162
2012,91.15162,91.15162,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],91.15162
2013,91.15162,91.15162,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],91.15162
2014,91.15162,91.15162,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],91.15162
2015,91.15162,91.15162,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],91.15162
2016,91.15162,91.15162,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],91.15162
2017,91.15162,91.15162,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],91.15162
2018,91.15162,91.15162,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],91.15162
2019,91.15162,91.15162,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],91.15162
2020,91.15162,91.15162,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],91.15162
2000,86.3682,86.3682,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],77.02029
2001,86.3682,86.3682,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],78.79135
2002,86.3682,86.3682,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],79.24432
2003,86.3682,86.3682,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],80.54966
2004,86.3682,86.3682,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],81.38046
2005,86.3682,86.3682,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],83.32763
2006,86.3682,86.3682,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],84.06727
2007,86.3682,86.3682,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],84.0926
2008,86.3682,86.3682,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],84.12355
2009,86.3682,86.3682,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],84.4379
2010,86.3682,86.3682,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],85.78108
2011,86.3682,86.3682,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],85.80697
2012,86.3682,86.3682,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],85.80858
2013,86.3682,86.3682,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],85.80858
2014,86.3682,86.3682,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],85.91679
2015,86.3682,86.3682,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],85.91679
2016,86.3682,86.3682,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],85.91718
2017,86.3682,86.3682,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],86.19733
2018,86.3682,86.3682,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],86.35768
2019,86.3682,86.3682,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],86.3682
2020,86.3682,86.3682,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],86.3682
