Year,Unit multiplier,Nature of data points,Observation-level footnotes,Source details,SERIES,UNIT_MEASURE,Value
2000,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Above-ground biomass in forest per hectare (tonnes per hectare) [15.2.1],Tonnes per hectare,89.0
2010,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Above-ground biomass in forest per hectare (tonnes per hectare) [15.2.1],Tonnes per hectare,104.0
2015,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Above-ground biomass in forest per hectare (tonnes per hectare) [15.2.1],Tonnes per hectare,109.0
2016,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Above-ground biomass in forest per hectare (tonnes per hectare) [15.2.1],Tonnes per hectare,110.0
2017,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Above-ground biomass in forest per hectare (tonnes per hectare) [15.2.1],Tonnes per hectare,112.0
2018,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Above-ground biomass in forest per hectare (tonnes per hectare) [15.2.1],Tonnes per hectare,113.0
2019,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Above-ground biomass in forest per hectare (tonnes per hectare) [15.2.1],Tonnes per hectare,114.0
2020,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Above-ground biomass in forest per hectare (tonnes per hectare) [15.2.1],Tonnes per hectare,115.0
2000,Thousands,Estimated,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",Forest area certified under an independently verified certification scheme (hectares) [15.2.1],Hectares,188.185
2005,Thousands,Estimated,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",Forest area certified under an independently verified certification scheme (hectares) [15.2.1],Hectares,1606.14
2010,Thousands,Estimated,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",Forest area certified under an independently verified certification scheme (hectares) [15.2.1],Hectares,1587.478
2015,Thousands,Estimated,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",Forest area certified under an independently verified certification scheme (hectares) [15.2.1],Hectares,1609.414
2016,Thousands,Estimated,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",Forest area certified under an independently verified certification scheme (hectares) [15.2.1],Hectares,1599.806
2017,Thousands,Estimated,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",Forest area certified under an independently verified certification scheme (hectares) [15.2.1],Hectares,1610.434
2018,Thousands,Estimated,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",Forest area certified under an independently verified certification scheme (hectares) [15.2.1],Hectares,1603.877
2019,Thousands,Estimated,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",Forest area certified under an independently verified certification scheme (hectares) [15.2.1],Hectares,1632.817
2020,Thousands,Estimated,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",Forest area certified under an independently verified certification scheme (hectares) [15.2.1],Hectares,1622.602
2010,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Forest area net change rate (%) [15.2.1],Percent,0.35
2020,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Forest area net change rate (%) [15.2.1],Percent,0.42
2000,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Proportion of forest area with a long-term management plan [15.2.1],Percent,33.76
2010,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Proportion of forest area with a long-term management plan [15.2.1],Percent,52.87
2015,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Proportion of forest area with a long-term management plan [15.2.1],Percent,57.34
2016,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Proportion of forest area with a long-term management plan [15.2.1],Percent,57.27
2017,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Proportion of forest area with a long-term management plan [15.2.1],Percent,59.3
2018,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Proportion of forest area with a long-term management plan [15.2.1],Percent,59.94
2019,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Proportion of forest area with a long-term management plan [15.2.1],Percent,60.51
2020,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Proportion of forest area with a long-term management plan [15.2.1],Percent,61.05
2000,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Proportion of forest area within legally established protected areas [15.2.1],Percent,9.19
2010,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Proportion of forest area within legally established protected areas [15.2.1],Percent,9.19
2015,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Proportion of forest area within legally established protected areas [15.2.1],Percent,9.19
2016,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Proportion of forest area within legally established protected areas [15.2.1],Percent,9.19
2017,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Proportion of forest area within legally established protected areas [15.2.1],Percent,9.19
2018,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Proportion of forest area within legally established protected areas [15.2.1],Percent,9.19
2019,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Proportion of forest area within legally established protected areas [15.2.1],Percent,9.19
2020,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Proportion of forest area within legally established protected areas [15.2.1],Percent,9.19
