Year,UPPER_BOUND,LOWER_BOUND,Value
2000,71.96096,71.96096,71.96096
2001,77.1083,77.1083,77.1083
2002,78.8828,78.8828,78.8828
2003,81.19204,81.19204,81.19204
2004,81.22215,81.22215,81.22215
2005,81.22466,81.22466,81.22466
2006,82.75954,82.75954,82.75954
2007,82.86016,82.86016,82.86016
2008,82.98904,82.98904,82.98904
2009,82.9958,82.9958,82.9958
2010,88.50205,88.50205,88.50205
2011,88.50284,88.50284,88.50284
2012,88.50284,88.50284,88.50284
2013,88.50284,88.50284,88.50284
2014,88.50284,88.50284,88.50284
2015,88.50284,88.50284,88.50284
2016,88.50284,88.50284,88.50284
2017,88.50284,88.50284,88.50284
2018,88.50284,88.50284,88.50284
2019,88.50284,88.50284,88.50284
2020,88.50284,88.50284,88.50284
