Year,Observation-level footnotes,SERIES,Sex,Age,Value
2009,"Data in reference to one country but derived from different types of sources should not be compared between them.
",Detected victims of human trafficking (number) [16.2.2],,,549
2010,"Data in reference to one country but derived from different types of sources should not be compared between them.
",Detected victims of human trafficking (number) [16.2.2],,,297
2011,"Data in reference to one country but derived from different types of sources should not be compared between them.
",Detected victims of human trafficking (number) [16.2.2],,,482
2012,"Data in reference to one country but derived from different types of sources should not be compared between them.
",Detected victims of human trafficking (number) [16.2.2],,,555
2013,"Data in reference to one country but derived from different types of sources should not be compared between them.
",Detected victims of human trafficking (number) [16.2.2],,,816
2014,"Data in reference to one country but derived from different types of sources should not be compared between them.
",Detected victims of human trafficking (number) [16.2.2],,,543
2015,"Data in reference to one country but derived from different types of sources should not be compared between them.
",Detected victims of human trafficking (number) [16.2.2],,,596
2016,"Data in reference to one country but derived from different types of sources should not be compared between them.
",Detected victims of human trafficking (number) [16.2.2],,,601
2017,"Data in reference to one country but derived from different types of sources should not be compared between them.
",Detected victims of human trafficking (number) [16.2.2],,,29
2010,"Data in reference to one country but derived from different types of sources should not be compared between them.
","Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Female,,36
2011,"Data in reference to one country but derived from different types of sources should not be compared between them.
","Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Female,,44
2012,"Data in reference to one country but derived from different types of sources should not be compared between them.
","Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Female,,100
2013,"Data in reference to one country but derived from different types of sources should not be compared between them.
","Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Female,,148
2014,"Data in reference to one country but derived from different types of sources should not be compared between them.
","Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Female,,123
2015,"Data in reference to one country but derived from different types of sources should not be compared between them.
","Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Female,,30
2016,"Data in reference to one country but derived from different types of sources should not be compared between them.
","Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Female,,35
2017,"Data in reference to one country but derived from different types of sources should not be compared between them.
","Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Female,,3
2014,"Data in reference to one country but derived from different types of sources should not be compared between them.
","Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Female,18 years old and over,81
2015,"Data in reference to one country but derived from different types of sources should not be compared between them.
","Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Female,18 years old and over,80
2016,"Data in reference to one country but derived from different types of sources should not be compared between them.
","Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Female,18 years old and over,77
