Year,Unit multiplier,SERIES,UNIT_MEASURE,Value
2000,Units,Total government revenue as a proportion of GDP [17.1.1],Percent,36.5584145330817
2001,Units,Total government revenue as a proportion of GDP [17.1.1],Percent,36.3990353477645
2002,Units,Total government revenue as a proportion of GDP [17.1.1],Percent,35.4531030966713
2003,Units,Total government revenue as a proportion of GDP [17.1.1],Percent,35.4649595419392
2004,Units,Total government revenue as a proportion of GDP [17.1.1],Percent,36.7193938769574
2005,Units,Total government revenue as a proportion of GDP [17.1.1],Percent,37.9091782844914
2006,Units,Total government revenue as a proportion of GDP [17.1.1],Percent,37.743122861329
2007,Units,Total government revenue as a proportion of GDP [17.1.1],Percent,38.045514963028
2008,Units,Total government revenue as a proportion of GDP [17.1.1],Percent,38.9779808054563
2009,Units,Total government revenue as a proportion of GDP [17.1.1],Percent,36.9427525359242
2010,Units,Total government revenue as a proportion of GDP [17.1.1],Percent,37.8403483309144
2011,Units,Total government revenue as a proportion of GDP [17.1.1],Percent,38.0289615823736
2012,Units,Total government revenue as a proportion of GDP [17.1.1],Percent,37.2115025228929
2013,Units,Total government revenue as a proportion of GDP [17.1.1],Percent,38.126904695504
2014,Units,Total government revenue as a proportion of GDP [17.1.1],Percent,37.3276619055675
2015,Units,Total government revenue as a proportion of GDP [17.1.1],Percent,37.5437165083552
2016,Units,Total government revenue as a proportion of GDP [17.1.1],Percent,38.0067332238191
2017,Units,Total government revenue as a proportion of GDP [17.1.1],Percent,38.5516591228223
2018,Units,Total government revenue as a proportion of GDP [17.1.1],Percent,38.5284455935352
2019,Units,Total government revenue as a proportion of GDP [17.1.1],Percent,38.5124965485379
2000,Millions,"Total government revenue, in local currency [17.1.1]",Local currency,400553.0
2001,Millions,"Total government revenue, in local currency [17.1.1]",Local currency,414759.0
2002,Millions,"Total government revenue, in local currency [17.1.1]",Local currency,422105.0
2003,Millions,"Total government revenue, in local currency [17.1.1]",Local currency,445963.0
2004,Millions,"Total government revenue, in local currency [17.1.1]",Local currency,484743.0
2005,Millions,"Total government revenue, in local currency [17.1.1]",Local currency,529316.0
2006,Millions,"Total government revenue, in local currency [17.1.1]",Local currency,556682.0
2007,Millions,"Total government revenue, in local currency [17.1.1]",Local currency,589637.0
2008,Millions,"Total government revenue, in local currency [17.1.1]",Local currency,619723.0
2009,Millions,"Total government revenue, in local currency [17.1.1]",Local currency,571712.0
2010,Millions,"Total government revenue, in local currency [17.1.1]",Local currency,606174.0
2011,Millions,"Total government revenue, in local currency [17.1.1]",Local currency,631199.0
2012,Millions,"Total government revenue, in local currency [17.1.1]",Local currency,637180.0
2013,Millions,"Total government revenue, in local currency [17.1.1]",Local currency,679463.0
2014,Millions,"Total government revenue, in local currency [17.1.1]",Local currency,695028.0
2015,Millions,"Total government revenue, in local currency [17.1.1]",Local currency,719674.0
2016,Millions,"Total government revenue, in local currency [17.1.1]",Local currency,758416.0
2017,Millions,"Total government revenue, in local currency [17.1.1]",Local currency,798662.0
2018,Millions,"Total government revenue, in local currency [17.1.1]",Local currency,826167.0
2019,Millions,"Total government revenue, in local currency [17.1.1]",Local currency,853611.0
