Year,SERIES,Type of product,Observation-level footnotes,Value
2000,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,,1.4624
2005,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,,1.34616
2010,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,,1.14315
2011,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,,1.1386
2012,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,,1.15028
2013,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,,1.14885
2014,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,,1.16077
2015,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,,1.31898
2016,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,,1.28461
2017,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,,1.25822
2018,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,,1.20337
2019,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,,1.18717
2000,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,,7.90685
2005,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,,5.95474
2010,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,,6.1372
2011,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,,6.11992
2012,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,,5.36208
2013,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,,5.59376
2014,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,,5.61063
2015,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,,5.47478
2016,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,,5.48555
