Year,Source details,SERIES,UNIT_MEASURE,Observation-level footnotes,Value
1970,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,,1.5079
1971,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,,1.8343
1972,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,,0.3138
1973,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,,-1.2525
1974,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,,-3.6134
1975,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,,-1.4333
1976,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,,-0.5934
1977,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,,0.0551
1978,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,,0.6441
1979,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,,-0.1783
1980,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,,1.2146
1981,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,,2.6124
1982,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,,1.5503
1983,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,,1.0808
1984,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,,0.3973
1985,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,,0.6774
1986,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,,-0.2201
1987,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,,-1.6895
1988,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,,-3.8815
1989,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,,-4.6509
1990,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,,-3.5503
