Year,Series,Sex,Age,Observation status,Unit multiplier,Value
2009,Median,,1.5 to 3,Undefined,Units,1108.3
2009,Median,Female,11 to 18,Undefined,Units,1601.4
2009,Median,Male,11 to 18,Undefined,Units,1914.7
2009,Median,,11 to 18,Undefined,Units,1780.4
2009,Median,Female,19 to 64,Undefined,Units,1602.1
2009,Median,Male,19 to 64,Undefined,Units,2103.4
2009,Median,,19 to 64,Undefined,Units,1831.1
2009,Median,Female,4 to 10,Undefined,Units,1489.8
2009,Median,Male,4 to 10,Undefined,Units,1576.0
2009,Median,,4 to 10,Undefined,Units,1540.8
2009,Median,Female,65 and over,Undefined,Units,1478.9
2009,Median,Male,65 and over,Undefined,Units,1895.2
2009,Median,,65 and over,Undefined,Units,1633.7
2009,Median,Female,65 to 74,Undefined,Units,1484.1
2009,Median,Male,65 to 74,Undefined,Units,2094.6
2009,Median,,65 to 74,Undefined,Units,1722.9
2009,Median,Female,75 and over,Undefined,Units,1477.1
2009,Median,Male,75 and over,Undefined,Units,1721.8
2009,Median,,75 and over,Undefined,Units,1575.4
2009,Percentile (2.5th),,1.5 to 3,Undefined,Units,645.5
2009,Percentile (2.5th),Female,11 to 18,Undefined,Units,858.1
2009,Percentile (2.5th),Male,11 to 18,Undefined,Units,1071.9
2009,Percentile (2.5th),,11 to 18,Undefined,Units,953.5
2009,Percentile (2.5th),Female,19 to 64,Undefined,Units,779.3
2009,Percentile (2.5th),Male,19 to 64,Undefined,Units,1095.7
2009,Percentile (2.5th),,19 to 64,Undefined,Units,862.9
2009,Percentile (2.5th),Female,4 to 10,Undefined,Units,898.9
2009,Percentile (2.5th),Male,4 to 10,Undefined,Units,1016.1
2009,Percentile (2.5th),,4 to 10,Undefined,Units,951.5
2009,Percentile (2.5th),Female,65 and over,Undefined,Units,962.8
2009,Percentile (2.5th),Male,65 and over,Undefined,Units,860.4
2009,Percentile (2.5th),,65 and over,Undefined,Units,947.4
2009,Percentile (2.5th),Female,65 to 74,Undefined,Units,1035.2
2009,Percentile (2.5th),Male,65 to 74,Undefined,Units,1002.3
2009,Percentile (2.5th),,65 to 74,Undefined,Units,1031.7
2009,Percentile (2.5th),Female,75 and over,Undefined,Units,955.3
2009,Percentile (2.5th),Male,75 and over,Undefined,Units,752.6
2009,Percentile (2.5th),,75 and over,Undefined,Units,866.6
2011,Median,,1.5 to 3,Undefined,Units,1118.0
2011,Median,Female,11 to 18,Undefined,Units,1492.9
2011,Median,Male,11 to 18,Undefined,Units,1923.0
2011,Median,,11 to 18,Undefined,Units,1719.0
2011,Median,Female,19 to 64,Undefined,Units,1541.3
2011,Median,Male,19 to 64,Undefined,Units,2053.4
2011,Median,,19 to 64,Undefined,Units,1775.4
2011,Median,Female,4 to 10,Undefined,Units,1404.1
2011,Median,Male,4 to 10,Undefined,Units,1537.3
2011,Median,,4 to 10,Undefined,Units,1482.9
2011,Median,Female,65 and over,Undefined,Units,1463.4
2011,Median,Male,65 and over,Undefined,Units,1813.4
2011,Median,,65 and over,Undefined,Units,1626.8
2011,Median,Female,65 to 74,Undefined,Units,1514.3
2011,Median,Male,65 to 74,Undefined,Units,1835.6
2011,Median,,65 to 74,Undefined,Units,1643.8
2011,Median,Female,75 and over,Undefined,Units,1407.3
2011,Median,Male,75 and over,Undefined,Units,1811.7
2011,Median,,75 and over,Undefined,Units,1598.3
2011,Percentile (2.5th),,1.5 to 3,Undefined,Units,721.2
2011,Percentile (2.5th),Female,11 to 18,Undefined,Units,746.8
2011,Percentile (2.5th),Male,11 to 18,Undefined,Units,1097.1
2011,Percentile (2.5th),,11 to 18,Undefined,Units,793.0
2011,Percentile (2.5th),Female,19 to 64,Undefined,Units,737.9
2011,Percentile (2.5th),Male,19 to 64,Undefined,Units,1045.1
2011,Percentile (2.5th),,19 to 64,Undefined,Units,847.9
2011,Percentile (2.5th),Female,4 to 10,Undefined,Units,799.8
2011,Percentile (2.5th),Male,4 to 10,Undefined,Units,970.8
2011,Percentile (2.5th),,4 to 10,Undefined,Units,903.5
2011,Percentile (2.5th),Female,65 and over,Undefined,Units,893.2
2011,Percentile (2.5th),Male,65 and over,Undefined,Units,929.7
2011,Percentile (2.5th),,65 and over,Undefined,Units,912.8
2011,Percentile (2.5th),Female,65 to 74,Undefined,Units,904.9
2011,Percentile (2.5th),Male,65 to 74,Undefined,Units,1051.3
2011,Percentile (2.5th),,65 to 74,Undefined,Units,913.7
2011,Percentile (2.5th),Female,75 and over,Undefined,Units,854.7
2011,Percentile (2.5th),Male,75 and over,Undefined,Units,853.0
2011,Percentile (2.5th),,75 and over,Undefined,Units,879.9
