Year,SERIES,Country,Sex,Observation status,Unit multiplier,UNIT_MEASURE,Reporting type,Value
2000,Under-five mortality rate [3.2.1],,,Normal value,Units,"Per 1,000 live births",National,6.55
2001,Under-five mortality rate [3.2.1],,,Normal value,Units,"Per 1,000 live births",National,6.44
2002,Under-five mortality rate [3.2.1],,,Normal value,Units,"Per 1,000 live births",National,6.19
2003,Under-five mortality rate [3.2.1],,,Normal value,Units,"Per 1,000 live births",National,6.25
2004,Under-five mortality rate [3.2.1],,,Normal value,Units,"Per 1,000 live births",National,5.86
2005,Under-five mortality rate [3.2.1],,,Normal value,Units,"Per 1,000 live births",National,5.9
2006,Under-five mortality rate [3.2.1],,,Normal value,Units,"Per 1,000 live births",National,5.75
2007,Under-five mortality rate [3.2.1],,,Normal value,Units,"Per 1,000 live births",National,5.55
2008,Under-five mortality rate [3.2.1],,,Normal value,Units,"Per 1,000 live births",National,5.32
2009,Under-five mortality rate [3.2.1],,,Normal value,Units,"Per 1,000 live births",National,5.18
2010,Under-five mortality rate [3.2.1],,,Normal value,Units,"Per 1,000 live births",National,4.9
2011,Under-five mortality rate [3.2.1],,,Normal value,Units,"Per 1,000 live births",National,4.81
2012,Under-five mortality rate [3.2.1],,,Normal value,Units,"Per 1,000 live births",National,4.58
2013,Under-five mortality rate [3.2.1],,,Normal value,Units,"Per 1,000 live births",National,4.47
2014,Under-five mortality rate [3.2.1],,,Normal value,Units,"Per 1,000 live births",National,4.23
2015,Under-five mortality rate [3.2.1],,,Normal value,Units,"Per 1,000 live births",National,4.29
2000,Under-five mortality rate [3.2.1],,Male,Normal value,Units,"Per 1,000 live births",National,7.19
2000,Under-five mortality rate [3.2.1],,Female,Normal value,Units,"Per 1,000 live births",National,5.88
2000,Under-five mortality rate [3.2.1],England and Wales,,Normal value,Units,"Per 1,000 live births",National,6.55
2000,Under-five mortality rate [3.2.1],England and Wales,Male,Normal value,Units,"Per 1,000 live births",National,7.17
2000,Under-five mortality rate [3.2.1],England and Wales,Female,Normal value,Units,"Per 1,000 live births",National,5.89
2000,Under-five mortality rate [3.2.1],England,,Normal value,Units,"Per 1,000 live births",National,6.49
2000,Under-five mortality rate [3.2.1],England,Male,Normal value,Units,"Per 1,000 live births",National,7.11
