Year,SERIES,UNIT_MEASURE,Value
2000,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,3.8
2001,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,3.7
2002,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,3.6
2003,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,3.6
2004,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,3.5
2005,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,3.5
2006,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,3.4
2007,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,3.3
2008,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,3.2
2009,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,3.1
2010,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,3.0
2011,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,3.0
2012,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,2.9
2013,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,2.8
2014,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,2.7
2015,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,2.7
2016,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,2.7
2017,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,2.8
2018,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,2.8
2019,SH_DYN_NMRT,PER_1000_LIVE_BIRTHS,2.8
2000,SH_DYN_NMRTN,NUMBER,2636.0
2001,SH_DYN_NMRTN,NUMBER,2554.0
2002,SH_DYN_NMRTN,NUMBER,2497.0
2003,SH_DYN_NMRTN,NUMBER,2482.0
2004,SH_DYN_NMRTN,NUMBER,2494.0
2005,SH_DYN_NMRTN,NUMBER,2512.0
2006,SH_DYN_NMRTN,NUMBER,2525.0
2007,SH_DYN_NMRTN,NUMBER,2527.0
2008,SH_DYN_NMRTN,NUMBER,2509.0
2009,SH_DYN_NMRTN,NUMBER,2476.0
2010,SH_DYN_NMRTN,NUMBER,2430.0
2011,SH_DYN_NMRTN,NUMBER,2373.0
2012,SH_DYN_NMRTN,NUMBER,2305.0
2013,SH_DYN_NMRTN,NUMBER,2235.0
2014,SH_DYN_NMRTN,NUMBER,2182.0
2015,SH_DYN_NMRTN,NUMBER,2157.0
2016,SH_DYN_NMRTN,NUMBER,2154.0
2017,SH_DYN_NMRTN,NUMBER,2158.0
2018,SH_DYN_NMRTN,NUMBER,2156.0
2019,SH_DYN_NMRTN,NUMBER,2142.0
