Year,Upper bound value,Lower bound value,Sex,Value
2000,12.97976,9.93644,,13.86857
2005,12.97976,9.93644,,13.9026
2010,12.97976,9.93644,,12.04115
2015,12.97976,9.93644,,11.19543
2019,12.97976,9.93644,,11.44531
2000,6.20952,4.70684,Female,6.67688
2005,6.20952,4.70684,Female,6.76066
2010,6.20952,4.70684,Female,5.73558
2015,6.20952,4.70684,Female,5.28014
2019,6.20952,4.70684,Female,5.39986
2000,20.25599,15.49693,Male,21.59916
2005,20.25599,15.49693,Male,21.50043
2010,20.25599,15.49693,Male,18.6861
2015,20.25599,15.49693,Male,17.37993
2019,20.25599,15.49693,Male,17.74285
