Year,UPPER_BOUND,LOWER_BOUND,Sex,Upper bound value,Lower bound value,Value
2000,0.3,0.3,,0.4,0.3,0.3
2005,0.2,0.2,,0.4,0.3,0.2
2010,0.3,0.3,,0.4,0.3,0.3
2015,0.4,0.3,,0.4,0.3,0.3
2019,0.4,0.3,,0.4,0.3,0.3
2000,0.1,0.1,Female,0.3,0.2,0.1
2005,0.2,0.1,Female,0.3,0.2,0.2
2010,0.3,0.2,Female,0.3,0.2,0.3
2015,0.3,0.3,Female,0.3,0.2,0.3
2019,0.3,0.2,Female,0.3,0.2,0.2
2000,0.5,0.4,Male,0.4,0.4,0.4
2005,0.3,0.2,Male,0.4,0.4,0.2
2010,0.4,0.4,Male,0.4,0.4,0.4
2015,0.4,0.4,Male,0.4,0.4,0.4
2019,0.4,0.4,Male,0.4,0.4,0.4
