Year,SOURCE_DETAIL,Sex,Education level,Composite breakdown,Source details,Value
2003,Trends in International Mathematics and Science Study (TIMSS). Students achieving at least Intermediate International Benchmark. Grade 4. The results correspond only to England Data extracted on 13 April 2021.,,Primary education,Skill: Mathematics,Trends in International Mathematics and Science Study (TIMSS). Students achieving at least Intermediate International Benchmark. Grade 4. The results correspond only to England Data extracted on 13 April 2021.,74.59
2007,Trends in International Mathematics and Science Study (TIMSS). Students achieving at least Intermediate International Benchmark. Grade 4. The results correspond only to England Data extracted on 13 April 2021.,,Primary education,Skill: Mathematics,Trends in International Mathematics and Science Study (TIMSS). Students achieving at least Intermediate International Benchmark. Grade 4. The results correspond only to England Data extracted on 13 April 2021.,78.88
2011,Trends in International Mathematics and Science Study (TIMSS). Students achieving at least Intermediate International Benchmark. Grade 4. The results correspond only to England Data extracted on 13 April 2021.,,Primary education,Skill: Mathematics,Trends in International Mathematics and Science Study (TIMSS). Students achieving at least Intermediate International Benchmark. Grade 4. The results correspond only to England Data extracted on 13 April 2021.,77.63
2015,Trends in International Mathematics and Science Study (TIMSS). Students achieving at least Intermediate International Benchmark. Grade 4. The results correspond only to England Data extracted on 13 April 2021.,,Primary education,Skill: Mathematics,Trends in International Mathematics and Science Study (TIMSS). Students achieving at least Intermediate International Benchmark. Grade 4. The results correspond only to England Data extracted on 13 April 2021.,80.0
2019,Trends in International Mathematics and Science Study (TIMSS). Students achieving at least Intermediate International Benchmark. Grade 4. The results correspond only to England Data extracted on 13 April 2021.,,Primary education,Skill: Mathematics,Trends in International Mathematics and Science Study (TIMSS). Students achieving at least Intermediate International Benchmark. Grade 4. The results correspond only to England Data extracted on 13 April 2021.,83.0
2001,Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4.  The results correspond only to England Data extracted on 13 April 2021.,,Primary education,Skill: Reading,Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4.  The results correspond only to England Data extracted on 13 April 2021.,94.48
2006,Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4.  The results correspond only to England Data extracted on 13 April 2021.,,Primary education,Skill: Reading,Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4.  The results correspond only to England Data extracted on 13 April 2021.,93.25
2011,Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4.  The results correspond only to England Data extracted on 13 April 2021.,,Primary education,Skill: Reading,Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4.  The results correspond only to England Data extracted on 13 April 2021.,95.37
2016,Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4.  The results correspond only to England Data extracted on 13 April 2021.,,Primary education,Skill: Reading,Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4.  The results correspond only to England Data extracted on 13 April 2021.,96.83
2000,Programme for International Student Assessment (PISA). Students achieving at least proficiency Level 2. Modal grade for PISA: http://dx.doi.org/10.1787/888934038799 Data extracted on 13 April 2021.,,Lower secondary education,Skill: Mathematics,Programme for International Student Assessment (PISA). Students achieving at least proficiency Level 2. Modal grade for PISA: http://dx.doi.org/10.1787/888934038799 Data extracted on 13 April 2021.,88.42466
2003,Programme for International Student Assessment (PISA). Students achieving at least proficiency Level 2. Modal grade for PISA: http://dx.doi.org/10.1787/888934038799 Data extracted on 13 April 2021.,,Lower secondary education,Skill: Mathematics,Programme for International Student Assessment (PISA). Students achieving at least proficiency Level 2. Modal grade for PISA: http://dx.doi.org/10.1787/888934038799 Data extracted on 13 April 2021.,82.23685
2006,Programme for International Student Assessment (PISA). Students achieving at least proficiency Level 2. Modal grade for PISA: http://dx.doi.org/10.1787/888934038799 Data extracted on 13 April 2021.,,Lower secondary education,Skill: Mathematics,Programme for International Student Assessment (PISA). Students achieving at least proficiency Level 2. Modal grade for PISA: http://dx.doi.org/10.1787/888934038799 Data extracted on 13 April 2021.,80.24634
