Year,Source details,Sex,COMPOSITE_BREAKDOWN,Value
2014,Eurostat,,Skill: ICT Skill: connecting and installing new devices,53.0116
2014,Office for National Statistics,,Skill: ICT Skill: Copying or moving a file or folder,72.7946
2015,Office for National Statistics,,Skill: ICT Skill: Copying or moving a file or folder,61.4168
2016,Office for National Statistics,,Skill: ICT Skill: Copying or moving a file or folder,63.6924
2017,Office for National Statistics,,Skill: ICT Skill: Copying or moving a file or folder,61.97075
2019,Office for National Statistics,,Skill: ICT Skill: Copying or moving a file or folder,58.34805
2014,Office for National Statistics,,Skill: ICT Skill: Using copy and paste tools to duplicate or move information within a document,73.3096
2015,Office for National Statistics,,Skill: ICT Skill: Using copy and paste tools to duplicate or move information within a document,59.8241
2016,Office for National Statistics,,Skill: ICT Skill: Using copy and paste tools to duplicate or move information within a document,62.1466
2017,Office for National Statistics,,Skill: ICT Skill: Using copy and paste tools to duplicate or move information within a document,60.7097
2014,Office for National Statistics,,Skill: ICT Skill: Writing a computer program using a specialized programming language,14.0663
2015,Office for National Statistics,,Skill: ICT Skill: Writing a computer program using a specialized programming language,6.6802
2016,Office for National Statistics,,Skill: ICT Skill: Writing a computer program using a specialized programming language,8.4953
2017,Office for National Statistics,,Skill: ICT Skill: Writing a computer program using a specialized programming language,9.55589
2019,Office for National Statistics,,Skill: ICT Skill: Writing a computer program using a specialized programming language,8.87271
2014,Office for National Statistics,,Skill: ICT Skill: Creating electronic presentations with presentation software,44.5152
2015,Office for National Statistics,,Skill: ICT Skill: Creating electronic presentations with presentation software,44.5359
2016,Office for National Statistics,,Skill: ICT Skill: Creating electronic presentations with presentation software,47.1722
2017,Office for National Statistics,,Skill: ICT Skill: Creating electronic presentations with presentation software,47.15957
2019,Office for National Statistics,,Skill: ICT Skill: Creating electronic presentations with presentation software,46.32205
2015,Office for National Statistics,,"Skill: ICT Skill: Finding, downloading, installing and configuring software",57.9959
2016,Office for National Statistics,,"Skill: ICT Skill: Finding, downloading, installing and configuring software",61.3198
2017,Office for National Statistics,,"Skill: ICT Skill: Finding, downloading, installing and configuring software",58.86211
2019,Office for National Statistics,,"Skill: ICT Skill: Finding, downloading, installing and configuring software",65.66411
2014,Office for National Statistics,,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,53.4227
