Year,COMMENT_OBS,SERIES,URBANISATION,Value
2000,Obs_Value = 0;  ,SH_SAN_DEFECT,,0
2001,Obs_Value = 0;  ,SH_SAN_DEFECT,,0
2002,Obs_Value = 0;  ,SH_SAN_DEFECT,,0
2003,Obs_Value = 0;  ,SH_SAN_DEFECT,,0
2004,Obs_Value = 0;  ,SH_SAN_DEFECT,,0
2005,Obs_Value = 0;  ,SH_SAN_DEFECT,,0
2006,Obs_Value = 0;  ,SH_SAN_DEFECT,,0
2007,Obs_Value = 0;  ,SH_SAN_DEFECT,,0
2008,Obs_Value = 0;  ,SH_SAN_DEFECT,,0
2009,Obs_Value = 0;  ,SH_SAN_DEFECT,,0
2010,Obs_Value = 0;  ,SH_SAN_DEFECT,,0
2011,Obs_Value = 0;  ,SH_SAN_DEFECT,,0
2012,Obs_Value = 0;  ,SH_SAN_DEFECT,,0
2013,Obs_Value = 0;  ,SH_SAN_DEFECT,,0
2014,Obs_Value = 0;  ,SH_SAN_DEFECT,,0
2015,Obs_Value = 0;  ,SH_SAN_DEFECT,,0
2016,Obs_Value = 0;  ,SH_SAN_DEFECT,,0
2017,Obs_Value = 0;  ,SH_SAN_DEFECT,,0
2018,Obs_Value = 0;  ,SH_SAN_DEFECT,,0
2019,Obs_Value = 0;  ,SH_SAN_DEFECT,,0
2020,Obs_Value = 0;  ,SH_SAN_DEFECT,,0
2000,Obs_Value = 0;  ,SH_SAN_DEFECT,R,0
2001,Obs_Value = 0;  ,SH_SAN_DEFECT,R,0
2002,Obs_Value = 0;  ,SH_SAN_DEFECT,R,0
2003,Obs_Value = 0;  ,SH_SAN_DEFECT,R,0
2004,Obs_Value = 0;  ,SH_SAN_DEFECT,R,0
2005,Obs_Value = 0;  ,SH_SAN_DEFECT,R,0
2006,Obs_Value = 0;  ,SH_SAN_DEFECT,R,0
2007,Obs_Value = 0;  ,SH_SAN_DEFECT,R,0
2008,Obs_Value = 0;  ,SH_SAN_DEFECT,R,0
2009,Obs_Value = 0;  ,SH_SAN_DEFECT,R,0
2010,Obs_Value = 0;  ,SH_SAN_DEFECT,R,0
2011,Obs_Value = 0;  ,SH_SAN_DEFECT,R,0
2012,Obs_Value = 0;  ,SH_SAN_DEFECT,R,0
2013,Obs_Value = 0;  ,SH_SAN_DEFECT,R,0
2014,Obs_Value = 0;  ,SH_SAN_DEFECT,R,0
