Year,Observation status,Unit multiplier,Reporting type,SERIES,Degree of urbanisation,UNIT_MEASURE,Value
2000,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],,Percent,100
2001,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],,Percent,100
2002,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],,Percent,100
2003,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],,Percent,100
2004,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],,Percent,100
2005,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],,Percent,100
2006,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],,Percent,100
2007,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],,Percent,100
2008,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],,Percent,100
2009,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],,Percent,100
2010,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],,Percent,100
2011,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],,Percent,100
2012,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],,Percent,100
2013,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],,Percent,100
2014,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],,Percent,100
2015,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],,Percent,100
2016,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],,Percent,100
2017,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],,Percent,100
2018,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],,Percent,100
2019,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],,Percent,100
2020,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],,Percent,100
2000,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],Rural,Percent,100
2001,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],Rural,Percent,100
2002,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],Rural,Percent,100
2003,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],Rural,Percent,100
2004,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],Rural,Percent,100
2005,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],Rural,Percent,100
2006,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],Rural,Percent,100
2007,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],Rural,Percent,100
2008,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],Rural,Percent,100
2009,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],Rural,Percent,100
2010,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],Rural,Percent,100
2011,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],Rural,Percent,100
2012,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],Rural,Percent,100
2013,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],Rural,Percent,100
2014,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],Rural,Percent,100
2015,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],Rural,Percent,100
2016,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],Rural,Percent,100
2017,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],Rural,Percent,100
2018,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],Rural,Percent,100
2019,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],Rural,Percent,100
2020,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],Rural,Percent,100
2000,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],Urban,Percent,100
2001,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],Urban,Percent,100
2002,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],Urban,Percent,100
2003,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],Urban,Percent,100
2004,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],Urban,Percent,100
2005,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],Urban,Percent,100
2006,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],Urban,Percent,100
2007,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],Urban,Percent,100
2008,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],Urban,Percent,100
2009,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],Urban,Percent,100
2010,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],Urban,Percent,100
2011,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],Urban,Percent,100
2012,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],Urban,Percent,100
2013,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],Urban,Percent,100
2014,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],Urban,Percent,100
2015,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],Urban,Percent,100
2016,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],Urban,Percent,100
2017,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],Urban,Percent,100
2018,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],Urban,Percent,100
2019,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],Urban,Percent,100
2020,Normal value,Units,Global,Proportion of population with access to electricity [7.1.1],Urban,Percent,100
