Year,SERIES,Degree of urbanisation,Observation status,Unit multiplier,UNIT_MEASURE,Reporting type,Value
2000,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2],,Normal value,Units,Percent,National,100
2001,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2],,Normal value,Units,Percent,National,100
2002,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2],,Normal value,Units,Percent,National,100
2003,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2],,Normal value,Units,Percent,National,100
2004,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2],,Normal value,Units,Percent,National,100
2005,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2],,Normal value,Units,Percent,National,100
2006,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2],,Normal value,Units,Percent,National,100
2007,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2],,Normal value,Units,Percent,National,100
2008,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2],,Normal value,Units,Percent,National,100
2009,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2],,Normal value,Units,Percent,National,100
2010,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2],,Normal value,Units,Percent,National,100
2011,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2],,Normal value,Units,Percent,National,100
2012,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2],,Normal value,Units,Percent,National,100
2013,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2],,Normal value,Units,Percent,National,100
2014,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2],,Normal value,Units,Percent,National,100
2015,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2],,Normal value,Units,Percent,National,100
2016,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2],,Normal value,Units,Percent,National,100
2017,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2],,Normal value,Units,Percent,National,100
2018,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2],,Normal value,Units,Percent,National,100
2019,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2],,Normal value,Units,Percent,National,100
2000,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2],Urban,Normal value,Units,Percent,National,100
2001,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2],Urban,Normal value,Units,Percent,National,100
2002,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2],Urban,Normal value,Units,Percent,National,100
2003,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2],Urban,Normal value,Units,Percent,National,100
2004,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2],Urban,Normal value,Units,Percent,National,100
2005,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2],Urban,Normal value,Units,Percent,National,100
2006,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2],Urban,Normal value,Units,Percent,National,100
2007,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2],Urban,Normal value,Units,Percent,National,100
2008,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2],Urban,Normal value,Units,Percent,National,100
2009,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2],Urban,Normal value,Units,Percent,National,100
2010,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2],Urban,Normal value,Units,Percent,National,100
2011,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2],Urban,Normal value,Units,Percent,National,100
2012,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2],Urban,Normal value,Units,Percent,National,100
2013,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2],Urban,Normal value,Units,Percent,National,100
2014,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2],Urban,Normal value,Units,Percent,National,100
2015,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2],Urban,Normal value,Units,Percent,National,100
2016,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2],Urban,Normal value,Units,Percent,National,100
2017,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2],Urban,Normal value,Units,Percent,National,100
2018,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2],Urban,Normal value,Units,Percent,National,100
2019,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2],Urban,Normal value,Units,Percent,National,100
2000,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2],Rural,Normal value,Units,Percent,National,100
2001,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2],Rural,Normal value,Units,Percent,National,100
2002,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2],Rural,Normal value,Units,Percent,National,100
2003,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2],Rural,Normal value,Units,Percent,National,100
2004,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2],Rural,Normal value,Units,Percent,National,100
2005,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2],Rural,Normal value,Units,Percent,National,100
2006,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2],Rural,Normal value,Units,Percent,National,100
2007,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2],Rural,Normal value,Units,Percent,National,100
2008,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2],Rural,Normal value,Units,Percent,National,100
2009,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2],Rural,Normal value,Units,Percent,National,100
2010,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2],Rural,Normal value,Units,Percent,National,100
2011,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2],Rural,Normal value,Units,Percent,National,100
2012,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2],Rural,Normal value,Units,Percent,National,100
2013,Proportion of population with primary reliance on clean fuels and technology for cooking [7.1.2],Rural,Normal value,Units,Percent,National,100
