Year,SDG Series,Value
2005,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",117.648614233714
2006,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",120.937956776141
2007,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",125.802108344717
2008,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",125.562283428586
2009,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",121.152025005878
2010,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",121.921205690789
2011,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",123.415449565063
2012,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",125.92340945771
2013,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",128.513274640505
2014,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",129.513532531153
2015,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",131.285520132908
2016,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",129.497095016931
2017,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",127.937515471829
2018,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",115.442056623269
2019,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",110.279328912234
2004,"Number of commercial bank branches per 100,000 adults [8.10.1]",29.0259600420828
2005,"Number of commercial bank branches per 100,000 adults [8.10.1]",28.3171329150186
2006,"Number of commercial bank branches per 100,000 adults [8.10.1]",26.4304276443193
2007,"Number of commercial bank branches per 100,000 adults [8.10.1]",26.380866219934
2008,"Number of commercial bank branches per 100,000 adults [8.10.1]",26.0275156947452
2009,"Number of commercial bank branches per 100,000 adults [8.10.1]",25.4113794206217
2010,"Number of commercial bank branches per 100,000 adults [8.10.1]",24.6989547970729
2011,"Number of commercial bank branches per 100,000 adults [8.10.1]",24.0565123847324
2012,"Number of commercial bank branches per 100,000 adults [8.10.1]",22.0833414414752
2013,"Number of commercial bank branches per 100,000 adults [8.10.1]",25.1399141642588
