Year,SEX,OCCUPATION,Value
2014,,,15.1
2015,,,14.9
2016,,,15.4
2017,,,15.9
2018,,,16.4
2019,,,17.0
2014,,ISCO08_1,25.9
2015,,ISCO08_1,24.6
2016,,ISCO08_1,25.0
2017,,ISCO08_1,26.0
2018,,ISCO08_1,26.7
2019,,ISCO08_1,27.1
2014,,ISCO08_2,21.2
2015,,ISCO08_2,21.0
2016,,ISCO08_2,21.3
2017,,ISCO08_2,21.7
2018,,ISCO08_2,22.4
2019,,ISCO08_2,22.8
2014,,ISCO08_3,15.0
2015,,ISCO08_3,14.6
2016,,ISCO08_3,14.7
2017,,ISCO08_3,15.1
2018,,ISCO08_3,15.8
2019,,ISCO08_3,15.8
2014,,ISCO08_4,10.9
2015,,ISCO08_4,11.0
2016,,ISCO08_4,11.4
2017,,ISCO08_4,11.8
2018,,ISCO08_4,12.5
2019,,ISCO08_4,13.0
2014,,ISCO08_5,8.8
2015,,ISCO08_5,9.4
2016,,ISCO08_5,9.8
2017,,ISCO08_5,10.3
2018,,ISCO08_5,10.5
2019,,ISCO08_5,10.8
2014,,ISCO08_6,9.7
2015,,ISCO08_6,9.7
2016,,ISCO08_6,10.1
2017,,ISCO08_6,10.2
2018,,ISCO08_6,10.6
2019,,ISCO08_6,11.0
2015,,ISCO08_7,12.7
2016,,ISCO08_7,13.0
2017,,ISCO08_7,13.4
2018,,ISCO08_7,13.8
2019,,ISCO08_7,14.2
2015,,ISCO08_8,10.8
2016,,ISCO08_8,11.1
2017,,ISCO08_8,11.5
2018,,ISCO08_8,11.8
2019,,ISCO08_8,12.1
2015,,ISCO08_9,8.4
2016,,ISCO08_9,8.8
2017,,ISCO08_9,9.2
2018,,ISCO08_9,9.5
2019,,ISCO08_9,10.0
2014,F,,13.4
2015,F,,13.2
2016,F,,13.7
2017,F,,14.1
2018,F,,14.6
2019,F,,15.2
2014,F,ISCO08_1,21.3
2015,F,ISCO08_1,20.5
2016,F,ISCO08_1,21.2
2017,F,ISCO08_1,22.2
2018,F,ISCO08_1,23.0
2019,F,ISCO08_1,23.2
2014,F,ISCO08_2,19.6
2015,F,ISCO08_2,19.5
2016,F,ISCO08_2,19.7
2017,F,ISCO08_2,20.1
2018,F,ISCO08_2,20.5
2019,F,ISCO08_2,21.1
2014,F,ISCO08_3,13.6
2015,F,ISCO08_3,13.3
2016,F,ISCO08_3,13.4
2017,F,ISCO08_3,13.7
2018,F,ISCO08_3,14.1
2019,F,ISCO08_3,14.5
2014,F,ISCO08_4,10.6
2015,F,ISCO08_4,10.7
2016,F,ISCO08_4,11.1
2017,F,ISCO08_4,11.6
2018,F,ISCO08_4,12.2
2019,F,ISCO08_4,12.7
2014,F,ISCO08_5,8.6
2015,F,ISCO08_5,8.8
2016,F,ISCO08_5,9.3
2017,F,ISCO08_5,9.6
2018,F,ISCO08_5,9.9
2019,F,ISCO08_5,10.3
2014,F,ISCO08_6,9.6
2015,F,ISCO08_6,10.0
2016,F,ISCO08_6,9.9
2017,F,ISCO08_6,10.0
2018,F,ISCO08_6,10.3
2019,F,ISCO08_6,10.7
2014,F,ISCO08_7,10.2
2015,F,ISCO08_7,10.0
2016,F,ISCO08_7,10.3
2017,F,ISCO08_7,10.5
2018,F,ISCO08_7,10.9
2019,F,ISCO08_7,12.1
2014,F,ISCO08_8,9.0
2015,F,ISCO08_8,8.9
2016,F,ISCO08_8,9.3
2017,F,ISCO08_8,9.5
2018,F,ISCO08_8,9.7
2019,F,ISCO08_8,10.3
2014,F,ISCO08_9,7.7
2015,F,ISCO08_9,7.7
2016,F,ISCO08_9,8.2
2017,F,ISCO08_9,8.5
2018,F,ISCO08_9,8.9
2019,F,ISCO08_9,9.4
2014,M,,16.9
2015,M,,16.6
2016,M,,17.1
2017,M,,17.6
2018,M,,18.2
2019,M,,18.8
2014,M,ISCO08_1,28.4
2015,M,ISCO08_1,26.8
2016,M,ISCO08_1,27.2
2017,M,ISCO08_1,28.2
2018,M,ISCO08_1,28.7
2019,M,ISCO08_1,29.5
2014,M,ISCO08_2,22.8
2015,M,ISCO08_2,22.4
2016,M,ISCO08_2,22.9
2017,M,ISCO08_2,23.4
2018,M,ISCO08_2,24.2
2019,M,ISCO08_2,24.5
2014,M,ISCO08_3,16.3
2015,M,ISCO08_3,15.9
2016,M,ISCO08_3,16.1
2017,M,ISCO08_3,16.5
2018,M,ISCO08_3,17.5
2019,M,ISCO08_3,17.0
2014,M,ISCO08_4,11.6
2015,M,ISCO08_4,11.7
2016,M,ISCO08_4,11.9
2017,M,ISCO08_4,12.3
2018,M,ISCO08_4,13.2
2019,M,ISCO08_4,13.7
2014,M,ISCO08_5,9.3
2015,M,ISCO08_5,10.8
2016,M,ISCO08_5,11.0
2017,M,ISCO08_5,11.8
2018,M,ISCO08_5,11.8
2019,M,ISCO08_5,12.0
2014,M,ISCO08_6,9.7
2015,M,ISCO08_6,9.7
2016,M,ISCO08_6,10.1
2017,M,ISCO08_6,10.2
2018,M,ISCO08_6,10.6
2019,M,ISCO08_6,11.0
2015,M,ISCO08_7,12.9
2016,M,ISCO08_7,13.2
2017,M,ISCO08_7,13.6
2018,M,ISCO08_7,13.9
2019,M,ISCO08_7,14.3
2015,M,ISCO08_8,11.1
2016,M,ISCO08_8,11.4
2017,M,ISCO08_8,11.7
2018,M,ISCO08_8,12.0
2019,M,ISCO08_8,12.4
2015,M,ISCO08_9,9.0
2016,M,ISCO08_9,9.4
2017,M,ISCO08_9,9.7
2018,M,ISCO08_9,10.1
2019,M,ISCO08_9,10.5
