Year,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Sex,Age,Disability status,Observation-level footnotes,Source details,Value
2000,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],,15 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,5.6
2001,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],,15 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,4.7
2002,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],,15 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,5.0
2003,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],,15 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,4.8
2004,Repository: Eurostat special tabulation | Break in series: Methodology revised,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],,15 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,4.6
2005,Repository: Eurostat special tabulation | Break in series: Methodology revised,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],,15 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,4.8
2006,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],,15 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,5.4
2007,Repository: Eurostat special tabulation | Break in series: Methodology revised,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],,15 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,5.3
2008,Repository: Eurostat special tabulation | Break in series: Methodology revised,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],,15 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,5.6
2009,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],,15 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,7.5
2010,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],,15 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,7.8
2011,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],,15 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,8.0
2012,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],,15 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,7.9
2013,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],,15 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,7.5
2014,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],,15 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,6.1
2015,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],,15 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,5.3
2016,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],,15 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,4.8
2017,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],,15 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,4.3
2018,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],,15 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,4.0
2019,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],,15 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,3.7
2000,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],,25 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,4.4
2001,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],,25 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,3.7
2002,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],,25 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,4.0
2003,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],,25 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,3.7
2004,Repository: Eurostat special tabulation | Break in series: Methodology revised,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],,25 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,3.5
2005,Repository: Eurostat special tabulation | Break in series: Methodology revised,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],,25 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,3.3
2006,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],,25 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,3.8
2007,Repository: Eurostat special tabulation | Break in series: Methodology revised,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],,25 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,3.6
2008,Repository: Eurostat special tabulation | Break in series: Methodology revised,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],,25 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,3.9
2009,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],,25 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,5.6
2010,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],,25 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,5.8
2011,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],,25 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,5.8
2012,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],,25 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,5.7
2013,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],,25 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,5.4
2014,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],,25 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,4.4
2015,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],,25 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,3.8
2016,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],,25 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,3.6
2017,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],,25 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,3.2
2018,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],,25 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,3.0
2019,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],,25 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,2.7
2000,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],,15 to 24 years old,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,12.0
2001,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],,15 to 24 years old,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,10.3
2002,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],,15 to 24 years old,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,10.9
2003,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],,15 to 24 years old,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,11.4
2004,Repository: Eurostat special tabulation | Break in series: Methodology revised,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],,15 to 24 years old,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,10.7
2005,Repository: Eurostat special tabulation | Break in series: Methodology revised,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],,15 to 24 years old,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,12.7
2006,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],,15 to 24 years old,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,13.9
2007,Repository: Eurostat special tabulation | Break in series: Methodology revised,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],,15 to 24 years old,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,14.3
2008,Repository: Eurostat special tabulation | Break in series: Methodology revised,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],,15 to 24 years old,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,15.0
2009,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],,15 to 24 years old,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,19.1
2010,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],,15 to 24 years old,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,19.9
