Year,Sex,Value
2004,,5.5
2005,,8.4
2006,,8.6
2007,,11.9
2008,,12.1
2009,,13.2
2010,,13.6
2011,,14.2
2012,,13.9
2013,,13.2
2014,,11.9
2015,,11.1
2016,,10.9
2017,,10.3
2018,,10.5
2019,,10.5
2004,Female,6.7
2005,Female,9.6
2006,Female,9.6
2007,Female,13.7
2008,Female,14.1
2009,Female,14.5
2010,Female,15.1
2011,Female,15.4
2012,Female,15.0
2013,Female,14.4
2014,Female,13.1
2015,Female,12.4
2016,Female,11.5
2017,Female,10.4
2018,Female,11.2
2019,Female,10.6
2004,Male,4.2
2005,Male,7.3
2006,Male,7.5
2007,Male,10.1
2008,Male,10.1
2009,Male,11.9
2010,Male,12.1
2011,Male,13.1
2012,Male,12.8
2013,Male,12.2
2014,Male,10.7
2015,Male,9.8
2016,Male,10.3
2017,Male,10.2
2018,Male,9.7
2019,Male,10.5
