Year,Observation-level footnotes,SERIES,Sex,COMPOSITE_BREAKDOWN,Value
2000,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],,,0.9
2001,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],,,0.8
2002,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],,,0.7
2003,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],,,0.7
2004,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],,,0.7
2005,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],,,0.6
2006,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],,,0.7
2009,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],,,0.5
2010,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],,,0.5
2011,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],,,0.7
2012,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],,,0.6
2013,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],,,0.9
2014,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],,,0.8
2015,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],,,0.8
2009,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],,Migrant Status: EU Migrant,0.0
2010,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],,Migrant Status: EU Migrant,0.0
2011,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],,Migrant Status: EU Migrant,0.0
2012,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],,Migrant Status: EU Migrant,0.0
2013,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],,Migrant Status: EU Migrant,0.0
2014,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],,Migrant Status: EU Migrant,0.0
2015,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],,Migrant Status: EU Migrant,0.0
2009,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],,Migrant Status: Non-migrant,0.0
2010,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],,Migrant Status: Non-migrant,0.0
2011,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],,Migrant Status: Non-migrant,0.0
2012,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],,Migrant Status: Non-migrant,0.0
2013,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],,Migrant Status: Non-migrant,0.0
2014,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],,Migrant Status: Non-migrant,0.0
2015,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],,Migrant Status: Non-migrant,0.0
2009,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],,Migrant Status: Non-EU Migrant,0.0
2010,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],,Migrant Status: Non-EU Migrant,0.0
2011,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],,Migrant Status: Non-EU Migrant,0.0
2012,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],,Migrant Status: Non-EU Migrant,0.0
2013,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],,Migrant Status: Non-EU Migrant,0.0
