Year,Observation-level footnotes,SERIES,Value
2005,"Commitments; Based on OECD, CRS databased, 2021; Constant 2019 USD million","Total official flows (commitments) for Aid for Trade, by donor countries [8.a.1]",326.5
2006,"Commitments; Based on OECD, CRS databased, 2021; Constant 2019 USD million","Total official flows (commitments) for Aid for Trade, by donor countries [8.a.1]",562.2
2007,"Commitments; Based on OECD, CRS databased, 2021; Constant 2019 USD million","Total official flows (commitments) for Aid for Trade, by donor countries [8.a.1]",423.9
2008,"Commitments; Based on OECD, CRS databased, 2021; Constant 2019 USD million","Total official flows (commitments) for Aid for Trade, by donor countries [8.a.1]",1533.2
2009,"Commitments; Based on OECD, CRS databased, 2021; Constant 2019 USD million","Total official flows (commitments) for Aid for Trade, by donor countries [8.a.1]",1806.8
2010,"Commitments; Based on OECD, CRS databased, 2021; Constant 2019 USD million","Total official flows (commitments) for Aid for Trade, by donor countries [8.a.1]",921.6
2011,"Commitments; Based on OECD, CRS databased, 2021; Constant 2019 USD million","Total official flows (commitments) for Aid for Trade, by donor countries [8.a.1]",722.2
2012,"Commitments; Based on OECD, CRS databased, 2021; Constant 2019 USD million","Total official flows (commitments) for Aid for Trade, by donor countries [8.a.1]",854.4
2013,"Commitments; Based on OECD, CRS databased, 2021; Constant 2019 USD million","Total official flows (commitments) for Aid for Trade, by donor countries [8.a.1]",879.4
2014,"Commitments; Based on OECD, CRS databased, 2021; Constant 2019 USD million","Total official flows (commitments) for Aid for Trade, by donor countries [8.a.1]",914.2
2015,"Commitments; Based on OECD, CRS databased, 2021; Constant 2019 USD million","Total official flows (commitments) for Aid for Trade, by donor countries [8.a.1]",1566.2
2016,"Commitments; Based on OECD, CRS databased, 2021; Constant 2019 USD million","Total official flows (commitments) for Aid for Trade, by donor countries [8.a.1]",838.9
2017,"Commitments; Based on OECD, CRS databased, 2021; Constant 2019 USD million","Total official flows (commitments) for Aid for Trade, by donor countries [8.a.1]",1175.9
2018,"Commitments; Based on OECD, CRS databased, 2021; Constant 2019 USD million","Total official flows (commitments) for Aid for Trade, by donor countries [8.a.1]",648.5
2019,"Commitments; Based on OECD, CRS databased, 2021; Constant 2019 USD million","Total official flows (commitments) for Aid for Trade, by donor countries [8.a.1]",1175.3
2006,"Gross disbursements; Based on OECD, CRS databased, 2021; Constant 2019 USD million","Total official flows (disbursement) for Aid for Trade, by donor countries [8.a.1]",380.0
2007,"Gross disbursements; Based on OECD, CRS databased, 2021; Constant 2019 USD million","Total official flows (disbursement) for Aid for Trade, by donor countries [8.a.1]",1081.0
2008,"Gross disbursements; Based on OECD, CRS databased, 2021; Constant 2019 USD million","Total official flows (disbursement) for Aid for Trade, by donor countries [8.a.1]",1124.0
2009,"Gross disbursements; Based on OECD, CRS databased, 2021; Constant 2019 USD million","Total official flows (disbursement) for Aid for Trade, by donor countries [8.a.1]",1251.0
2010,"Gross disbursements; Based on OECD, CRS databased, 2021; Constant 2019 USD million","Total official flows (disbursement) for Aid for Trade, by donor countries [8.a.1]",1177.0
2011,"Gross disbursements; Based on OECD, CRS databased, 2021; Constant 2019 USD million","Total official flows (disbursement) for Aid for Trade, by donor countries [8.a.1]",1240.0
2012,"Gross disbursements; Based on OECD, CRS databased, 2021; Constant 2019 USD million","Total official flows (disbursement) for Aid for Trade, by donor countries [8.a.1]",1263.0
2013,"Gross disbursements; Based on OECD, CRS databased, 2021; Constant 2019 USD million","Total official flows (disbursement) for Aid for Trade, by donor countries [8.a.1]",1300.0
2014,"Gross disbursements; Based on OECD, CRS databased, 2021; Constant 2019 USD million","Total official flows (disbursement) for Aid for Trade, by donor countries [8.a.1]",1461.0
2015,"Gross disbursements; Based on OECD, CRS databased, 2021; Constant 2019 USD million","Total official flows (disbursement) for Aid for Trade, by donor countries [8.a.1]",2028.0
2016,"Gross disbursements; Based on OECD, CRS databased, 2021; Constant 2019 USD million","Total official flows (disbursement) for Aid for Trade, by donor countries [8.a.1]",1877.0
2017,"Gross disbursements; Based on OECD, CRS databased, 2021; Constant 2019 USD million","Total official flows (disbursement) for Aid for Trade, by donor countries [8.a.1]",1985.0
2018,"Gross disbursements; Based on OECD, CRS databased, 2021; Constant 2019 USD million","Total official flows (disbursement) for Aid for Trade, by donor countries [8.a.1]",2445.0
2019,"Gross disbursements; Based on OECD, CRS databased, 2021; Constant 2019 USD million","Total official flows (disbursement) for Aid for Trade, by donor countries [8.a.1]",2687.0
