Year,Base period,SERIES,UNIT_MEASURE,Value
2000,2015,Manufacturing value added as a proportion of GDP [9.2.1],Percent,12.7
2001,2015,Manufacturing value added as a proportion of GDP [9.2.1],Percent,12.15
2002,2015,Manufacturing value added as a proportion of GDP [9.2.1],Percent,11.6
2003,2015,Manufacturing value added as a proportion of GDP [9.2.1],Percent,11.18
2004,2015,Manufacturing value added as a proportion of GDP [9.2.1],Percent,11.16
2005,2015,Manufacturing value added as a proportion of GDP [9.2.1],Percent,10.81
2006,2015,Manufacturing value added as a proportion of GDP [9.2.1],Percent,10.79
2007,2015,Manufacturing value added as a proportion of GDP [9.2.1],Percent,10.59
2008,2015,Manufacturing value added as a proportion of GDP [9.2.1],Percent,10.33
2009,2015,Manufacturing value added as a proportion of GDP [9.2.1],Percent,9.85
2010,2015,Manufacturing value added as a proportion of GDP [9.2.1],Percent,10.11
2011,2015,Manufacturing value added as a proportion of GDP [9.2.1],Percent,10.19
2012,2015,Manufacturing value added as a proportion of GDP [9.2.1],Percent,9.93
2013,2015,Manufacturing value added as a proportion of GDP [9.2.1],Percent,9.61
2014,2015,Manufacturing value added as a proportion of GDP [9.2.1],Percent,9.62
2015,2015,Manufacturing value added as a proportion of GDP [9.2.1],Percent,9.35
2016,2015,Manufacturing value added as a proportion of GDP [9.2.1],Percent,9.23
2017,2015,Manufacturing value added as a proportion of GDP [9.2.1],Percent,9.24
2018,2015,Manufacturing value added as a proportion of GDP [9.2.1],Percent,9.28
2019,2015,Manufacturing value added as a proportion of GDP [9.2.1],Percent,9.0
2020,2015,Manufacturing value added as a proportion of GDP [9.2.1],Percent,8.61
2000,,Manufacturing value added (current United States dollars) as a proportion of GDP [9.2.1],Percent,13.43
2001,,Manufacturing value added (current United States dollars) as a proportion of GDP [9.2.1],Percent,12.56
2002,,Manufacturing value added (current United States dollars) as a proportion of GDP [9.2.1],Percent,12.25
2003,,Manufacturing value added (current United States dollars) as a proportion of GDP [9.2.1],Percent,11.71
2004,,Manufacturing value added (current United States dollars) as a proportion of GDP [9.2.1],Percent,11.08
2005,,Manufacturing value added (current United States dollars) as a proportion of GDP [9.2.1],Percent,10.59
2006,,Manufacturing value added (current United States dollars) as a proportion of GDP [9.2.1],Percent,10.22
2007,,Manufacturing value added (current United States dollars) as a proportion of GDP [9.2.1],Percent,9.68
2008,,Manufacturing value added (current United States dollars) as a proportion of GDP [9.2.1],Percent,9.55
2009,,Manufacturing value added (current United States dollars) as a proportion of GDP [9.2.1],Percent,9.17
2010,,Manufacturing value added (current United States dollars) as a proportion of GDP [9.2.1],Percent,9.52
2011,,Manufacturing value added (current United States dollars) as a proportion of GDP [9.2.1],Percent,9.4
2012,,Manufacturing value added (current United States dollars) as a proportion of GDP [9.2.1],Percent,9.33
2013,,Manufacturing value added (current United States dollars) as a proportion of GDP [9.2.1],Percent,9.57
2014,,Manufacturing value added (current United States dollars) as a proportion of GDP [9.2.1],Percent,9.38
2015,,Manufacturing value added (current United States dollars) as a proportion of GDP [9.2.1],Percent,9.35
2016,,Manufacturing value added (current United States dollars) as a proportion of GDP [9.2.1],Percent,9.14
2017,,Manufacturing value added (current United States dollars) as a proportion of GDP [9.2.1],Percent,9.14
2018,,Manufacturing value added (current United States dollars) as a proportion of GDP [9.2.1],Percent,8.95
2019,,Manufacturing value added (current United States dollars) as a proportion of GDP [9.2.1],Percent,8.69
2000,2015,Manufacturing value added per capita [9.2.1],Constant USD,4870.7
2001,2015,Manufacturing value added per capita [9.2.1],Constant USD,4786.5
2002,2015,Manufacturing value added per capita [9.2.1],Constant USD,4652.2
2003,2015,Manufacturing value added per capita [9.2.1],Constant USD,4617.1
2004,2015,Manufacturing value added per capita [9.2.1],Constant USD,4676.6
2005,2015,Manufacturing value added per capita [9.2.1],Constant USD,4644.4
2006,2015,Manufacturing value added per capita [9.2.1],Constant USD,4718.7
2007,2015,Manufacturing value added per capita [9.2.1],Constant USD,4686.3
2008,2015,Manufacturing value added per capita [9.2.1],Constant USD,4505.6
2009,2015,Manufacturing value added per capita [9.2.1],Constant USD,4074.6
2010,2015,Manufacturing value added per capita [9.2.1],Constant USD,4223.1
2011,2015,Manufacturing value added per capita [9.2.1],Constant USD,4279.8
2012,2015,Manufacturing value added per capita [9.2.1],Constant USD,4199.9
2013,2015,Manufacturing value added per capita [9.2.1],Constant USD,4124.1
2014,2015,Manufacturing value added per capita [9.2.1],Constant USD,4218.7
2015,2015,Manufacturing value added per capita [9.2.1],Constant USD,4160.3
2016,2015,Manufacturing value added per capita [9.2.1],Constant USD,4147.9
2017,2015,Manufacturing value added per capita [9.2.1],Constant USD,4211.2
2018,2015,Manufacturing value added per capita [9.2.1],Constant USD,4244.8
2019,2015,Manufacturing value added per capita [9.2.1],Constant USD,4146.3
2020,2015,Manufacturing value added per capita [9.2.1],Constant USD,3552.5
