Year,Economic activity,Value
2000,Manufacturing (ISIC3 D),14.0
2001,Manufacturing (ISIC3 D),13.94
2002,Manufacturing (ISIC3 D),13.18
2003,Manufacturing (ISIC3 D),13.44
2004,Manufacturing (ISIC3 D),13.72
2005,Manufacturing,14.37
2006,Manufacturing,12.96
2007,Manufacturing,13.3
2008,Manufacturing,12.77
2009,Manufacturing,12.28
2010,Manufacturing,11.84
2011,Manufacturing,12.07
2012,Manufacturing,11.99
2013,Manufacturing,12.29
2014,Manufacturing,12.22
2015,Manufacturing,12.0
2016,Manufacturing,13.63
2017,Manufacturing,13.7
2018,Manufacturing,14.13
