Year,SERIES,Observation-level footnotes,Value
2000,Proportion of population covered by at least a 2G mobile network [9.c.1],99.7% of UK premises with 2G mobile coverage from at least one mobile network in September 2018. (Form would not allow 99.7 to be submitted),99.0
2001,Proportion of population covered by at least a 2G mobile network [9.c.1],99.7% of UK premises with 2G mobile coverage from at least one mobile network in September 2018. (Form would not allow 99.7 to be submitted),99.0
2002,Proportion of population covered by at least a 2G mobile network [9.c.1],99.7% of UK premises with 2G mobile coverage from at least one mobile network in September 2018. (Form would not allow 99.7 to be submitted),99.0
2003,Proportion of population covered by at least a 2G mobile network [9.c.1],99.7% of UK premises with 2G mobile coverage from at least one mobile network in September 2018. (Form would not allow 99.7 to be submitted),99.0
2004,Proportion of population covered by at least a 2G mobile network [9.c.1],99.7% of UK premises with 2G mobile coverage from at least one mobile network in September 2018. (Form would not allow 99.7 to be submitted),99.0
2005,Proportion of population covered by at least a 2G mobile network [9.c.1],99.7% of UK premises with 2G mobile coverage from at least one mobile network in September 2018. (Form would not allow 99.7 to be submitted),99.0
2006,Proportion of population covered by at least a 2G mobile network [9.c.1],99.7% of UK premises with 2G mobile coverage from at least one mobile network in September 2018. (Form would not allow 99.7 to be submitted),99.8
2007,Proportion of population covered by at least a 2G mobile network [9.c.1],99.7% of UK premises with 2G mobile coverage from at least one mobile network in September 2018. (Form would not allow 99.7 to be submitted),99.8
2008,Proportion of population covered by at least a 2G mobile network [9.c.1],99.7% of UK premises with 2G mobile coverage from at least one mobile network in September 2018. (Form would not allow 99.7 to be submitted),99.8
2009,Proportion of population covered by at least a 2G mobile network [9.c.1],99.7% of UK premises with 2G mobile coverage from at least one mobile network in September 2018. (Form would not allow 99.7 to be submitted),99.8
2010,Proportion of population covered by at least a 2G mobile network [9.c.1],99.7% of UK premises with 2G mobile coverage from at least one mobile network in September 2018. (Form would not allow 99.7 to be submitted),99.8
2011,Proportion of population covered by at least a 2G mobile network [9.c.1],99.7% of UK premises with 2G mobile coverage from at least one mobile network in September 2018. (Form would not allow 99.7 to be submitted),99.7
2012,Proportion of population covered by at least a 2G mobile network [9.c.1],99.7% of UK premises with 2G mobile coverage from at least one mobile network in September 2018. (Form would not allow 99.7 to be submitted),99.6
2013,Proportion of population covered by at least a 2G mobile network [9.c.1],99.7% of UK premises with 2G mobile coverage from at least one mobile network in September 2018. (Form would not allow 99.7 to be submitted),99.7
2014,Proportion of population covered by at least a 2G mobile network [9.c.1],99.7% of UK premises with 2G mobile coverage from at least one mobile network in September 2018. (Form would not allow 99.7 to be submitted),99.7
2015,Proportion of population covered by at least a 2G mobile network [9.c.1],99.7% of UK premises with 2G mobile coverage from at least one mobile network in September 2018. (Form would not allow 99.7 to be submitted),99.6
2016,Proportion of population covered by at least a 2G mobile network [9.c.1],99.7% of UK premises with 2G mobile coverage from at least one mobile network in September 2018. (Form would not allow 99.7 to be submitted),99.6
