Year,Value,Reporting type,Observation status,Unit multiplier,UNIT_MEASURE,SERIES,DATA_LAST_UPDATE
2004,0.4,National,Estimated value,Units,Percent,Proportion of population below international poverty line [1.1.1],
2005,0.5,National,Estimated value,Units,Percent,Proportion of population below international poverty line [1.1.1],
2006,0.2,National,Estimated value,Units,Percent,Proportion of population below international poverty line [1.1.1],
2007,0.3,National,Estimated value,Units,Percent,Proportion of population below international poverty line [1.1.1],
2008,0.3,National,Estimated value,Units,Percent,Proportion of population below international poverty line [1.1.1],
2009,0.2,National,Estimated value,Units,Percent,Proportion of population below international poverty line [1.1.1],
2010,0.1,National,Estimated value,Units,Percent,Proportion of population below international poverty line [1.1.1],
2011,0.4,National,Estimated value,Units,Percent,Proportion of population below international poverty line [1.1.1],
2012,0.2,National,Estimated value,Units,Percent,Proportion of population below international poverty line [1.1.1],
2013,0.2,National,Estimated value,Units,Percent,Proportion of population below international poverty line [1.1.1],
2014,0.2,National,Estimated value,Units,Percent,Proportion of population below international poverty line [1.1.1],
2015,0.1,National,Estimated value,Units,Percent,Proportion of population below international poverty line [1.1.1],
2016,0.2,National,Estimated value,Units,Percent,Proportion of population below international poverty line [1.1.1],
