Year,Value,Unit multiplier,UNIT_MEASURE,SERIES
2000,36.5584145330817,Units,Percent,Total government revenue as a proportion of GDP [17.1.1]
2001,36.3990353477645,Units,Percent,Total government revenue as a proportion of GDP [17.1.1]
2002,35.4531030966713,Units,Percent,Total government revenue as a proportion of GDP [17.1.1]
2003,35.4649595419392,Units,Percent,Total government revenue as a proportion of GDP [17.1.1]
2004,36.7193938769574,Units,Percent,Total government revenue as a proportion of GDP [17.1.1]
2005,37.9091782844914,Units,Percent,Total government revenue as a proportion of GDP [17.1.1]
2006,37.743122861329,Units,Percent,Total government revenue as a proportion of GDP [17.1.1]
2007,38.045514963028,Units,Percent,Total government revenue as a proportion of GDP [17.1.1]
2008,38.9779808054563,Units,Percent,Total government revenue as a proportion of GDP [17.1.1]
2009,36.9427525359242,Units,Percent,Total government revenue as a proportion of GDP [17.1.1]
2010,37.8403483309144,Units,Percent,Total government revenue as a proportion of GDP [17.1.1]
2011,38.0289615823736,Units,Percent,Total government revenue as a proportion of GDP [17.1.1]
2012,37.2115025228929,Units,Percent,Total government revenue as a proportion of GDP [17.1.1]
2013,38.126904695504,Units,Percent,Total government revenue as a proportion of GDP [17.1.1]
2014,37.3276619055675,Units,Percent,Total government revenue as a proportion of GDP [17.1.1]
2015,37.5437165083552,Units,Percent,Total government revenue as a proportion of GDP [17.1.1]
2016,38.0067332238191,Units,Percent,Total government revenue as a proportion of GDP [17.1.1]
2017,38.5516591228223,Units,Percent,Total government revenue as a proportion of GDP [17.1.1]
2018,38.5284455935352,Units,Percent,Total government revenue as a proportion of GDP [17.1.1]
2019,38.5124965485379,Units,Percent,Total government revenue as a proportion of GDP [17.1.1]
2000,400553.0,Millions,Local currency,"Total government revenue, in local currency [17.1.1]"
2001,414759.0,Millions,Local currency,"Total government revenue, in local currency [17.1.1]"
2002,422105.0,Millions,Local currency,"Total government revenue, in local currency [17.1.1]"
2003,445963.0,Millions,Local currency,"Total government revenue, in local currency [17.1.1]"
2004,484743.0,Millions,Local currency,"Total government revenue, in local currency [17.1.1]"
2005,529316.0,Millions,Local currency,"Total government revenue, in local currency [17.1.1]"
2006,556682.0,Millions,Local currency,"Total government revenue, in local currency [17.1.1]"
2007,589637.0,Millions,Local currency,"Total government revenue, in local currency [17.1.1]"
2008,619723.0,Millions,Local currency,"Total government revenue, in local currency [17.1.1]"
2009,571712.0,Millions,Local currency,"Total government revenue, in local currency [17.1.1]"
2010,606174.0,Millions,Local currency,"Total government revenue, in local currency [17.1.1]"
2011,631199.0,Millions,Local currency,"Total government revenue, in local currency [17.1.1]"
2012,637180.0,Millions,Local currency,"Total government revenue, in local currency [17.1.1]"
2013,679463.0,Millions,Local currency,"Total government revenue, in local currency [17.1.1]"
2014,695028.0,Millions,Local currency,"Total government revenue, in local currency [17.1.1]"
2015,719674.0,Millions,Local currency,"Total government revenue, in local currency [17.1.1]"
2016,758416.0,Millions,Local currency,"Total government revenue, in local currency [17.1.1]"
2017,798662.0,Millions,Local currency,"Total government revenue, in local currency [17.1.1]"
2018,826167.0,Millions,Local currency,"Total government revenue, in local currency [17.1.1]"
2019,853611.0,Millions,Local currency,"Total government revenue, in local currency [17.1.1]"
