Year,Value
1990,30461.116
1991,14846.168
1992,17236.65875
1993,16956.70237
1994,10235.26729
1995,23589.64
1996,28448.04184
1997,33128.36833
1998,65062.00482
1999,90033.76711
2000,115304.01812
2001,35948.78033
2002,19683.07447
2003,16590.14616
2004,61219.74441
2005,182927.93792
2006,147372.43025
2007,176838.63842
2008,92158.33343
2009,89709.13776
2010,58200.28153
2011,42200.40023
2012,55446.12011
2013,51675.89032
2014,24690.24073
2015,39185.7001
2016,258698.67545
2017,101240.70118
2018,65299.58774
2019,59137.14979
