Year,Value,Observation status,Unit multiplier
1959,420.058869589,Undefined,Units
1960,476.81368665344553,Undefined,Units
1961,631.2446133009075,Undefined,Units
1962,705.8805966322301,Undefined,Units
1963,770.7046860425576,Undefined,Units
1964,781.3414136573247,Undefined,Units
1965,854.3466423631806,Undefined,Units
1966,911.8999348447252,Undefined,Units
1967,1023.746872426568,Undefined,Units
1968,1189.552776946604,Undefined,Units
1969,1205.6311058369358,Undefined,Units
1970,1794.945686582582,Undefined,Units
1971,2638.606486677276,Undefined,Units
1972,3310.2328975899727,Undefined,Units
1973,3914.5100642580646,Undefined,Units
1974,5307.832020000535,Undefined,Units
1975,5917.059925292482,Undefined,Units
1976,6771.991761724823,Undefined,Units
1977,7652.789231347428,Undefined,Units
1978,8044.722455132886,Undefined,Units
1979,8569.671839548122,Undefined,Units
1980,8952.27252645137,Undefined,Units
1981,9891.448242702763,Undefined,Units
1982,10757.61178490837,Undefined,Units
1983,12211.077584788329,Undefined,Units
1984,13063.222379586185,Undefined,Units
1985,13787.415333125487,Undefined,Units
1986,14457.683276304013,Undefined,Units
1987,14825.171854251064,Undefined,Units
1988,15782.897199236531,Undefined,Units
1989,16842.991520706153,Undefined,Units
1990,18584.401149594683,Undefined,Units
1991,19554.8953565654,Undefined,Units
1992,20822.797581008537,Undefined,Units
1993,21134.6849828494,Undefined,Units
1994,21627.89674662272,Undefined,Units
1995,22468.151170438065,Undefined,Units
1996,23609.602948637224,Undefined,Units
1997,25381.617146908404,Undefined,Units
1998,27476.822536713524,Undefined,Units
1999,29174.290823785734,Undefined,Units
2000,30233.244592296003,Undefined,Units
2001,32810.91065055996,Undefined,Units
2002,36742.84552121843,Undefined,Units
2003,41420.50212121069,Undefined,Units
2004,48563.887092641206,Undefined,Units
2005,57915.69240782908,Undefined,Units
2006,74076.87846525578,Undefined,Units
2007,89304.69739507118,Undefined,Units
2008,100953.31158501448,Undefined,Units
2009,111625.53025834338,Undefined,Units
2010,117077.0010828151,Undefined,Units
2011,120081.71410487306,Undefined,Units
2012,126787.33823662308,Undefined,Units
2013,133286.24799482955,Undefined,Units
2014,140132.67775948194,Undefined,Units
2015,144527.9086778364,Undefined,Units
2016,149218.58228395524,Undefined,Units
2017,153138.2929793188,Undefined,Units
2018,153138.5148274343,Undefined,Units
