Year,Value,GeoCode,Observation status,Unit multiplier
1982,14.4,,Normal value,Units
1983,14.0,,Normal value,Units
1984,14.0,,Normal value,Units
1985,14.7,,Normal value,Units
1986,14.2,,Normal value,Units
1987,13.4,,Normal value,Units
1988,14.4,,Normal value,Units
1989,12.7,,Normal value,Units
1990,13.2,,Normal value,Units
1991,12.8,,Normal value,Units
1992,12.9,,Normal value,Units
1993,12.5,,Normal value,Units
1994,12.1,,Normal value,Units
1995,12.1,,Normal value,Units
1996,11.6,,Normal value,Units
1997,11.4,,Normal value,Units
1998,12.4,,Normal value,Units
1999,12.2,,Normal value,Units
2000,11.9,,Normal value,Units
2001,11.5,,Normal value,Units
2002,11.2,,Normal value,Units
2003,10.9,,Normal value,Units
2004,11.1,,Normal value,Units
2005,10.7,,Normal value,Units
2006,10.4,,Normal value,Units
2007,10.0,,Normal value,Units
2008,10.5,,Normal value,Units
2009,10.3,,Normal value,Units
2010,10.2,,Normal value,Units
2011,10.9,,Normal value,Units
2012,10.7,,Normal value,Units
2013,11.1,,Normal value,Units
2014,10.8,,Normal value,Units
2015,10.9,,Normal value,Units
2016,10.4,,Normal value,Units
2017,10.1,,Normal value,Units
2018,11.2,,Normal value,Units
