Year,Value,Reporting type,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2009,273706.16,National,Normal value,Thousands,GBP,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]"
2010,324857.4027,National,Normal value,Thousands,GBP,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]"
2011,490791.7551,National,Normal value,Thousands,GBP,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]"
2012,557455.1557,National,Normal value,Thousands,GBP,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]"
2013,817519.8378,National,Normal value,Thousands,GBP,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]"
2014,652950.0299,National,Normal value,Thousands,GBP,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]"
2015,543329.124,National,Normal value,Thousands,GBP,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]"
2016,593232.2188,National,Normal value,Thousands,GBP,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]"
2017,767594.8459,National,Normal value,Thousands,GBP,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]"
2018,779790.7926,National,Normal value,Thousands,GBP,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]"
2019,822382.886,National,Normal value,Thousands,GBP,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]"
2020,1110232.547,National,Normal value,Thousands,GBP,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]"
2009,417238.5008,National,Normal value,Thousands,Constant USD,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]"
2010,487382.5057,National,Normal value,Thousands,Constant USD,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]"
2011,721419.0151,National,Normal value,Thousands,Constant USD,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]"
2012,806060.6463,National,Normal value,Thousands,Constant USD,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]"
2013,1161426.228,National,Normal value,Thousands,Constant USD,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]"
2014,911839.8585,National,Normal value,Thousands,Constant USD,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]"
2015,753771.3231,National,Normal value,Thousands,Constant USD,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]"
2016,805670.9665,National,Normal value,Thousands,Constant USD,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]"
2017,1022654.2,National,Normal value,Thousands,Constant USD,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]"
2018,1016045.584,National,Normal value,Thousands,Constant USD,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]"
2019,1049493.218,National,Normal value,Thousands,Constant USD,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]"
2020,1337595.186,National,Normal value,Thousands,Constant USD,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]"
