Year,Value,Reporting type,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2000,98.0,Global,Normal value,Units,Percent,Proportion of population using safely managed sanitation services [6.2.1]
2001,98.0,Global,Normal value,Units,Percent,Proportion of population using safely managed sanitation services [6.2.1]
2002,98.0,Global,Normal value,Units,Percent,Proportion of population using safely managed sanitation services [6.2.1]
2003,98.0,Global,Normal value,Units,Percent,Proportion of population using safely managed sanitation services [6.2.1]
2004,98.0,Global,Normal value,Units,Percent,Proportion of population using safely managed sanitation services [6.2.1]
2005,98.0,Global,Normal value,Units,Percent,Proportion of population using safely managed sanitation services [6.2.1]
2006,98.0,Global,Normal value,Units,Percent,Proportion of population using safely managed sanitation services [6.2.1]
2007,98.0,Global,Normal value,Units,Percent,Proportion of population using safely managed sanitation services [6.2.1]
2008,98.0,Global,Normal value,Units,Percent,Proportion of population using safely managed sanitation services [6.2.1]
2009,98.0,Global,Normal value,Units,Percent,Proportion of population using safely managed sanitation services [6.2.1]
2010,98.0,Global,Normal value,Units,Percent,Proportion of population using safely managed sanitation services [6.2.1]
2011,98.0,Global,Normal value,Units,Percent,Proportion of population using safely managed sanitation services [6.2.1]
2012,98.0,Global,Normal value,Units,Percent,Proportion of population using safely managed sanitation services [6.2.1]
2013,98.0,Global,Normal value,Units,Percent,Proportion of population using safely managed sanitation services [6.2.1]
2014,98.0,Global,Normal value,Units,Percent,Proportion of population using safely managed sanitation services [6.2.1]
2015,98.0,Global,Normal value,Units,Percent,Proportion of population using safely managed sanitation services [6.2.1]
2016,98.0,Global,Normal value,Units,Percent,Proportion of population using safely managed sanitation services [6.2.1]
2017,98.0,Global,Normal value,Units,Percent,Proportion of population using safely managed sanitation services [6.2.1]
2018,98.0,Global,Normal value,Units,Percent,Proportion of population using safely managed sanitation services [6.2.1]
2019,98.0,Global,Normal value,Units,Percent,Proportion of population using safely managed sanitation services [6.2.1]
2020,98.0,Global,Normal value,Units,Percent,Proportion of population using safely managed sanitation services [6.2.1]
