Year,Value,UNIT_MEASURE,SERIES
2006,-14.41305,PT,EN_LKRV_PWAC
2007,-20.2395,PT,EN_LKRV_PWAC
2008,-30.82618,PT,EN_LKRV_PWAC
2009,-41.54095,PT,EN_LKRV_PWAC
2010,-34.74241,PT,EN_LKRV_PWAC
2011,-22.68663,PT,EN_LKRV_PWAC
2012,-16.11993,PT,EN_LKRV_PWAC
2013,-8.45769,PT,EN_LKRV_PWAC
2014,2.96089,PT,EN_LKRV_PWAC
2015,3.53803,PT,EN_LKRV_PWAC
2016,6.7615,PT,EN_LKRV_PWAC
2017,6.6955,PT,EN_LKRV_PWAC
2018,9.59632,PT,EN_LKRV_PWAC
2019,9.21681,PT,EN_LKRV_PWAC
2020,8.72763,PT,EN_LKRV_PWAC
2000,764.73,KM2,EN_LKRV_PWAN
2001,1121.362,KM2,EN_LKRV_PWAN
2002,1476.748,KM2,EN_LKRV_PWAN
2003,1713.728,KM2,EN_LKRV_PWAN
2004,1726.706,KM2,EN_LKRV_PWAN
2005,1684.834,KM2,EN_LKRV_PWAN
2006,1441.998,KM2,EN_LKRV_PWAN
2007,1343.832,KM2,EN_LKRV_PWAN
2008,1165.464,KM2,EN_LKRV_PWAN
2009,984.938,KM2,EN_LKRV_PWAN
2010,1099.482,KM2,EN_LKRV_PWAN
2011,1302.602,KM2,EN_LKRV_PWAN
2012,1413.24,KM2,EN_LKRV_PWAN
2013,1542.336,KM2,EN_LKRV_PWAN
2014,1734.72,KM2,EN_LKRV_PWAN
2015,1744.444,KM2,EN_LKRV_PWAN
2016,1798.754,KM2,EN_LKRV_PWAN
2017,1797.642,KM2,EN_LKRV_PWAN
2018,1846.516,KM2,EN_LKRV_PWAN
2019,1840.122,KM2,EN_LKRV_PWAN
2020,1831.88,KM2,EN_LKRV_PWAN
2000,0.00316,PT,EN_LKRV_PWAP
2001,0.00464,PT,EN_LKRV_PWAP
2002,0.0061,PT,EN_LKRV_PWAP
2003,0.00708,PT,EN_LKRV_PWAP
2004,0.00714,PT,EN_LKRV_PWAP
2005,0.00696,PT,EN_LKRV_PWAP
2006,0.00596,PT,EN_LKRV_PWAP
2007,0.00555,PT,EN_LKRV_PWAP
2008,0.00482,PT,EN_LKRV_PWAP
2009,0.00407,PT,EN_LKRV_PWAP
2010,0.00454,PT,EN_LKRV_PWAP
2011,0.00538,PT,EN_LKRV_PWAP
2012,0.00584,PT,EN_LKRV_PWAP
2013,0.00638,PT,EN_LKRV_PWAP
2014,0.00717,PT,EN_LKRV_PWAP
2015,0.00721,PT,EN_LKRV_PWAP
2016,0.00744,PT,EN_LKRV_PWAP
2017,0.00743,PT,EN_LKRV_PWAP
2018,0.00763,PT,EN_LKRV_PWAP
2019,0.00761,PT,EN_LKRV_PWAP
2020,0.00757,PT,EN_LKRV_PWAP
2006,-20.50058,PT,EN_LKRV_SWAC
2007,-30.68101,PT,EN_LKRV_SWAC
2008,-46.09193,PT,EN_LKRV_SWAC
2009,-65.33827,PT,EN_LKRV_SWAC
2010,-56.95537,PT,EN_LKRV_SWAC
2011,-50.83281,PT,EN_LKRV_SWAC
2012,-34.04802,PT,EN_LKRV_SWAC
2013,-28.55035,PT,EN_LKRV_SWAC
2014,-2.50291,PT,EN_LKRV_SWAC
2015,16.53662,PT,EN_LKRV_SWAC
2016,39.57253,PT,EN_LKRV_SWAC
2017,59.67627,PT,EN_LKRV_SWAC
2018,91.40024,PT,EN_LKRV_SWAC
2019,107.29185,PT,EN_LKRV_SWAC
2020,114.3646,PT,EN_LKRV_SWAC
2000,55.862,KM2,EN_LKRV_SWAN
2001,104.136,KM2,EN_LKRV_SWAN
2002,138.8,KM2,EN_LKRV_SWAN
2003,169.97,KM2,EN_LKRV_SWAN
2004,175.778,KM2,EN_LKRV_SWAN
2005,178.912,KM2,EN_LKRV_SWAN
2006,142.234,KM2,EN_LKRV_SWAN
2007,124.02,KM2,EN_LKRV_SWAN
2008,96.448,KM2,EN_LKRV_SWAN
2009,62.014,KM2,EN_LKRV_SWAN
2010,77.012,KM2,EN_LKRV_SWAN
2011,87.966,KM2,EN_LKRV_SWAN
2012,117.996,KM2,EN_LKRV_SWAN
2013,127.832,KM2,EN_LKRV_SWAN
2014,174.434,KM2,EN_LKRV_SWAN
2015,208.498,KM2,EN_LKRV_SWAN
2016,249.712,KM2,EN_LKRV_SWAN
2017,285.68,KM2,EN_LKRV_SWAN
2018,342.438,KM2,EN_LKRV_SWAN
2019,370.87,KM2,EN_LKRV_SWAN
2020,383.524,KM2,EN_LKRV_SWAN
2000,0.00023,PT,EN_LKRV_SWAP
2001,0.00043,PT,EN_LKRV_SWAP
2002,0.00057,PT,EN_LKRV_SWAP
2003,0.0007,PT,EN_LKRV_SWAP
2004,0.00073,PT,EN_LKRV_SWAP
2005,0.00074,PT,EN_LKRV_SWAP
2006,0.00059,PT,EN_LKRV_SWAP
2007,0.00051,PT,EN_LKRV_SWAP
2008,0.0004,PT,EN_LKRV_SWAP
2009,0.00026,PT,EN_LKRV_SWAP
2010,0.00032,PT,EN_LKRV_SWAP
2011,0.00036,PT,EN_LKRV_SWAP
2012,0.00049,PT,EN_LKRV_SWAP
2013,0.00053,PT,EN_LKRV_SWAP
2014,0.00072,PT,EN_LKRV_SWAP
2015,0.00086,PT,EN_LKRV_SWAP
2016,0.00103,PT,EN_LKRV_SWAP
2017,0.00118,PT,EN_LKRV_SWAP
2018,0.00142,PT,EN_LKRV_SWAP
2019,0.00153,PT,EN_LKRV_SWAP
2020,0.00159,PT,EN_LKRV_SWAP
2000,136.084,KM2,EN_RSRV_MNWAN
2001,204.286,KM2,EN_RSRV_MNWAN
2002,268.542,KM2,EN_RSRV_MNWAN
2003,316.122,KM2,EN_RSRV_MNWAN
2004,324.186,KM2,EN_RSRV_MNWAN
2005,314.058,KM2,EN_RSRV_MNWAN
2006,261.054,KM2,EN_RSRV_MNWAN
2007,230.032,KM2,EN_RSRV_MNWAN
2008,188.582,KM2,EN_RSRV_MNWAN
2009,144.872,KM2,EN_RSRV_MNWAN
2010,164.954,KM2,EN_RSRV_MNWAN
2011,202.812,KM2,EN_RSRV_MNWAN
2012,238.128,KM2,EN_RSRV_MNWAN
2013,273.34,KM2,EN_RSRV_MNWAN
2014,317.384,KM2,EN_RSRV_MNWAN
2015,318.64,KM2,EN_RSRV_MNWAN
2016,334.084,KM2,EN_RSRV_MNWAN
2017,333.596,KM2,EN_RSRV_MNWAN
2018,338.928,KM2,EN_RSRV_MNWAN
2019,337.216,KM2,EN_RSRV_MNWAN
2020,334.984,KM2,EN_RSRV_MNWAN
2000,0.00056,PT,EN_RSRV_MNWAP
2001,0.00084,PT,EN_RSRV_MNWAP
2002,0.00111,PT,EN_RSRV_MNWAP
2003,0.00131,PT,EN_RSRV_MNWAP
2004,0.00134,PT,EN_RSRV_MNWAP
2005,0.0013,PT,EN_RSRV_MNWAP
2006,0.00108,PT,EN_RSRV_MNWAP
2007,0.00095,PT,EN_RSRV_MNWAP
2008,0.00078,PT,EN_RSRV_MNWAP
2009,0.0006,PT,EN_RSRV_MNWAP
2010,0.00068,PT,EN_RSRV_MNWAP
2011,0.00084,PT,EN_RSRV_MNWAP
2012,0.00098,PT,EN_RSRV_MNWAP
2013,0.00113,PT,EN_RSRV_MNWAP
2014,0.00131,PT,EN_RSRV_MNWAP
2015,0.00132,PT,EN_RSRV_MNWAP
2016,0.00138,PT,EN_RSRV_MNWAP
2017,0.00138,PT,EN_RSRV_MNWAP
2018,0.0014,PT,EN_RSRV_MNWAP
2019,0.00139,PT,EN_RSRV_MNWAP
2020,0.00138,PT,EN_RSRV_MNWAP
2000,140.704,KM2,EN_RSRV_MXWAN
2001,215.076,KM2,EN_RSRV_MXWAN
2002,282.368,KM2,EN_RSRV_MXWAN
2003,333.786,KM2,EN_RSRV_MXWAN
2004,343.248,KM2,EN_RSRV_MXWAN
2005,333.984,KM2,EN_RSRV_MXWAN
2006,275.66,KM2,EN_RSRV_MXWAN
2007,242.488,KM2,EN_RSRV_MXWAN
2008,197.688,KM2,EN_RSRV_MXWAN
2009,150.018,KM2,EN_RSRV_MXWAN
2010,171.93,KM2,EN_RSRV_MXWAN
2011,210.978,KM2,EN_RSRV_MXWAN
2012,249.842,KM2,EN_RSRV_MXWAN
2013,286.396,KM2,EN_RSRV_MXWAN
2014,335.744,KM2,EN_RSRV_MXWAN
2015,339.88,KM2,EN_RSRV_MXWAN
2016,359.926,KM2,EN_RSRV_MXWAN
2017,361.948,KM2,EN_RSRV_MXWAN
2018,371.478,KM2,EN_RSRV_MXWAN
2019,371.436,KM2,EN_RSRV_MXWAN
2020,369.616,KM2,EN_RSRV_MXWAN
2000,0.00058,PT,EN_RSRV_MXWAP
2001,0.00089,PT,EN_RSRV_MXWAP
